NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	187	0.682243	2.794796	0.0	0.0	0.0	2135	tags=43%, list=11%, signal=48%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	0.7286024	2.7334661	0.0	0.0	0.0	4519	tags=90%, list=24%, signal=118%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	89	0.725486	2.6976752	0.0	0.0	0.0	1522	tags=40%, list=8%, signal=44%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	89	0.70687264	2.6659648	0.0	0.0	0.0	3002	tags=49%, list=16%, signal=58%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	175	0.63798004	2.6241946	0.0	0.0	0.0	4836	tags=73%, list=25%, signal=97%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	88	0.692475	2.5867455	0.0	0.0	0.0	4519	tags=88%, list=24%, signal=114%	
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	Details ...	90	0.6766524	2.4947047	0.0	0.0	0.0	2611	tags=47%, list=14%, signal=54%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	0.717242	2.485247	0.0	0.0	0.0	5077	tags=94%, list=27%, signal=128%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	0.65464973	2.4732747	0.0	0.0	0.0	4546	tags=73%, list=24%, signal=95%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	0.62740445	2.4372249	0.0	0.0	0.0	4546	tags=71%, list=24%, signal=92%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	Details ...	165	0.6070472	2.4291875	0.0	0.0	0.0	3210	tags=52%, list=17%, signal=61%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	30	0.8011595	2.4227314	0.0	0.0	0.0	803	tags=37%, list=4%, signal=38%	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Details ...	183	0.5865424	2.4159245	0.0	0.0	0.0	4017	tags=46%, list=21%, signal=58%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	29	0.80851644	2.4095905	0.0	0.0	0.0	1522	tags=59%, list=8%, signal=64%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	0.72773486	2.3858433	0.0	0.0	0.0	4519	tags=91%, list=24%, signal=119%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	Details ...	69	0.6712881	2.3695242	0.0	0.0	0.0	803	tags=23%, list=4%, signal=24%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	697	0.51055926	2.3691185	0.0	0.0	0.0	4022	tags=41%, list=21%, signal=50%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	45	0.7222609	2.3553421	0.0	0.0	0.0	1169	tags=36%, list=6%, signal=38%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	23	0.8236946	2.3294039	0.0	0.0	0.0	1575	tags=70%, list=8%, signal=76%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION	Details ...	161	0.57319504	2.3161917	0.0	0.0	0.0	5104	tags=52%, list=27%, signal=71%	
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE		51	0.6824762	2.309155	0.0	0.0	0.0	2566	tags=49%, list=14%, signal=57%	
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	REACTOME_PEROXISOMAL_PROTEIN_IMPORT		61	0.6605194	2.301349	0.0	0.0	0.0	3820	tags=57%, list=20%, signal=72%	
REACTOME_PEROXISOMAL_LIPID_METABOLISM	REACTOME_PEROXISOMAL_LIPID_METABOLISM		26	0.7873091	2.3010156	0.0	0.0	0.0	3439	tags=88%, list=18%, signal=108%	
REACTOME_VISUAL_PHOTOTRANSDUCTION	REACTOME_VISUAL_PHOTOTRANSDUCTION		78	0.62986326	2.296566	0.0	0.0	0.0	2025	tags=35%, list=11%, signal=39%	
REACTOME_PARACETAMOL_ADME	REACTOME_PARACETAMOL_ADME		26	0.7976895	2.2948174	0.0	0.0	0.0	1212	tags=54%, list=6%, signal=57%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE		53	0.67258596	2.2605884	0.0	0.0	0.0	4779	tags=75%, list=25%, signal=101%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES		659	0.48858306	2.2582574	0.0	0.0	0.0	4213	tags=40%, list=22%, signal=50%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT		216	0.5393942	2.2558513	0.0	0.0	0.0	2454	tags=35%, list=13%, signal=39%	
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES		17	0.85446525	2.2416956	0.0	0.0	0.0	803	tags=41%, list=4%, signal=43%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM		31	0.74235606	2.2397575	0.0	0.0	0.0	2298	tags=58%, list=12%, signal=66%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS		57	0.65536296	2.2304492	0.0	0.0	0.0	4546	tags=74%, list=24%, signal=97%	
REACTOME_XENOBIOTICS	REACTOME_XENOBIOTICS		17	0.8287435	2.1926243	0.0	0.0	0.0	1522	tags=65%, list=8%, signal=70%	
REACTOME_DIGESTION	REACTOME_DIGESTION		19	0.8048896	2.1667047	0.0	3.1723997E-5	0.001	841	tags=58%, list=4%, signal=61%	
REACTOME_GLUTATHIONE_CONJUGATION	REACTOME_GLUTATHIONE_CONJUGATION		33	0.7004814	2.1622708	0.0	3.079094E-5	0.001	3346	tags=48%, list=18%, signal=59%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION		35	0.694992	2.1578264	0.0	2.99112E-5	0.001	3118	tags=66%, list=16%, signal=78%	
REACTOME_GLUCONEOGENESIS	REACTOME_GLUCONEOGENESIS		29	0.7167351	2.1547923	0.0	2.9080331E-5	0.001	3165	tags=62%, list=17%, signal=74%	
REACTOME_METABOLISM_OF_STEROIDS	REACTOME_METABOLISM_OF_STEROIDS		143	0.53738004	2.1420853	0.0	2.8294377E-5	0.001	4134	tags=45%, list=22%, signal=58%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY		17	0.79608613	2.1361306	0.0	2.754979E-5	0.001	81	tags=29%, list=0%, signal=30%	
REACTOME_CHYLOMICRON_REMODELING	REACTOME_CHYLOMICRON_REMODELING		10	0.9088585	2.070314	0.0	1.8872216E-4	0.007	49	tags=50%, list=0%, signal=50%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS		71	0.5779245	2.0684304	0.0	1.840041E-4	0.007	2352	tags=39%, list=12%, signal=45%	
TAURO-CHOLATE SYNTHESIS	TAURO-CHOLATE SYNTHESIS		24	0.710063	2.0608814	0.0	2.8155214E-4	0.011	5077	tags=92%, list=27%, signal=125%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION		14	0.8323379	2.0545888	0.0	3.2429732E-4	0.013	2923	tags=86%, list=15%, signal=101%	
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION		17	0.79407275	2.0449336	0.0	4.129722E-4	0.017	1190	tags=65%, list=6%, signal=69%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM		53	0.59819144	2.0370548	0.0	6.191519E-4	0.026	1499	tags=36%, list=8%, signal=39%	
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM		39	0.63341326	2.0289376	0.0	7.448971E-4	0.032	3705	tags=62%, list=19%, signal=76%	
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS		17	0.75484014	2.0262644	0.0	8.8853005E-4	0.039	1249	tags=41%, list=7%, signal=44%	
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS		121	0.5216886	2.0177329	0.0	9.802977E-4	0.044	3105	tags=40%, list=16%, signal=47%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION		31	0.6808753	2.011105	0.0	0.0010693714	0.049	5077	tags=81%, list=27%, signal=110%	
ARGININE DEGRADATION	ARGININE DEGRADATION		21	0.72029966	1.9972827	0.0	0.0013241074	0.061	5077	tags=95%, list=27%, signal=130%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION		187	0.48749757	1.9962627	0.0	0.0012976252	0.061	1710	tags=24%, list=9%, signal=26%	
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES		40	0.606753	1.990515	0.0	0.0013758666	0.066	3701	tags=45%, list=19%, signal=56%	
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES		93	0.5350529	1.9741813	0.0	0.0018476141	0.09	2446	tags=33%, list=13%, signal=38%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS		10	0.88367283	1.9701656	0.0	0.0020114358	0.099	1522	tags=90%, list=8%, signal=98%	
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE		22	0.72467214	1.9700948	0.0	0.001974187	0.099	4738	tags=91%, list=25%, signal=121%	
REACTOME_PEPTIDE_HORMONE_METABOLISM	REACTOME_PEPTIDE_HORMONE_METABOLISM		76	0.54961675	1.9692413	0.0	0.0019382928	0.099	2105	tags=26%, list=11%, signal=29%	
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS		120	0.50852674	1.9656001	0.0	0.0020155974	0.105	3669	tags=38%, list=19%, signal=46%	
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES		22	0.7003528	1.961139	0.0	0.0021104591	0.112	3813	tags=59%, list=20%, signal=74%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS		20	0.7194721	1.9581767	0.0	0.0021632658	0.116	5077	tags=95%, list=27%, signal=129%	
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS		16	0.7554638	1.9529464	0.0	0.002320406	0.126	3542	tags=69%, list=19%, signal=84%	
REACTOME_PYRUVATE_METABOLISM	REACTOME_PYRUVATE_METABOLISM		29	0.65773225	1.9490552	0.0	0.0024208764	0.132	4970	tags=76%, list=26%, signal=103%	
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY		50	0.586057	1.9469715	0.0	0.0024167544	0.134	2222	tags=36%, list=12%, signal=41%	
REACTOME_HEME_DEGRADATION	REACTOME_HEME_DEGRADATION		14	0.7768928	1.946397	0.0	0.002412055	0.136	1431	tags=57%, list=8%, signal=62%	
REACTOME_SLC_TRANSPORTER_DISORDERS	REACTOME_SLC_TRANSPORTER_DISORDERS		90	0.5177071	1.9462498	0.0	0.0023737685	0.136	2824	tags=36%, list=15%, signal=42%	
REACTOME_MISCELLANEOUS_SUBSTRATES	REACTOME_MISCELLANEOUS_SUBSTRATES		10	0.8383321	1.9458678	0.0	0.0023534566	0.136	2566	tags=90%, list=14%, signal=104%	
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM		19	0.7214453	1.938456	0.0	0.0025710969	0.147	2298	tags=53%, list=12%, signal=60%	
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA		116	0.49532974	1.9376589	0.0	0.0025638181	0.147	2295	tags=22%, list=12%, signal=25%	
REACTOME_CHYLOMICRON_ASSEMBLY	REACTOME_CHYLOMICRON_ASSEMBLY		10	0.86475384	1.9280581	0.0	0.002917285	0.169	81	tags=50%, list=0%, signal=50%	
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM		21	0.68283087	1.9112055	0.0	0.0040364717	0.234	3325	tags=48%, list=17%, signal=58%	
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS		165	0.47002566	1.902784	0.0	0.004609178	0.268	3278	tags=29%, list=17%, signal=35%	
REACTOME_UREA_CYCLE	REACTOME_UREA_CYCLE		9	0.85492694	1.90232	0.0	0.0045583537	0.269	1015	tags=67%, list=5%, signal=70%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL		20	0.69457406	1.8967322	0.0019569471	0.004992697	0.297	3705	tags=75%, list=19%, signal=93%	
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS		12	0.7870703	1.8953705	0.0	0.0050097336	0.302	1895	tags=67%, list=10%, signal=74%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING		18	0.7138954	1.8943554	0.004008016	0.005112167	0.312	5077	tags=89%, list=27%, signal=121%	
REACTOME_NUCLEOTIDE_CATABOLISM	REACTOME_NUCLEOTIDE_CATABOLISM		31	0.62228936	1.8937286	0.0	0.005100758	0.314	2734	tags=35%, list=14%, signal=41%	
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM		20	0.6769194	1.8935452	0.0	0.005074776	0.316	3958	tags=65%, list=21%, signal=82%	
REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE		12	0.7819937	1.8934971	0.0	0.0050080027	0.316	1748	tags=42%, list=9%, signal=46%	
REACTOME_METABOLISM_OF_PORPHYRINS	REACTOME_METABOLISM_OF_PORPHYRINS		26	0.6524872	1.8913635	0.0	0.0050922283	0.324	4346	tags=65%, list=23%, signal=85%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS		10	0.8279881	1.8905613	0.0	0.00507994	0.328	1867	tags=70%, list=10%, signal=78%	
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE		36	0.6047042	1.8887949	0.0	0.00510612	0.332	801	tags=19%, list=4%, signal=20%	
REACTOME_CARNITINE_METABOLISM	REACTOME_CARNITINE_METABOLISM		14	0.7480885	1.8857559	0.0019157088	0.005236487	0.344	2462	tags=57%, list=13%, signal=66%	
REACTOME_STIMULI_SENSING_CHANNELS	REACTOME_STIMULI_SENSING_CHANNELS		93	0.50039726	1.8697026	0.0	0.0067269388	0.419	3235	tags=35%, list=17%, signal=43%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS		26	0.64822686	1.8693898	0.0	0.0066954247	0.421	4583	tags=62%, list=24%, signal=81%	
REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES		16	0.71050626	1.8681692	0.0038240917	0.0067146267	0.424	3065	tags=50%, list=16%, signal=60%	
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM		33	0.59772825	1.867634	0.0018867925	0.006683613	0.428	2552	tags=30%, list=13%, signal=35%	
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2		78	0.5119334	1.8664579	0.0017730496	0.006703539	0.433	6981	tags=69%, list=37%, signal=109%	
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE	REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE		14	0.7251861	1.8649744	0.006024096	0.0067351065	0.438	4246	tags=71%, list=22%, signal=92%	
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES		27	0.6375078	1.8634089	0.0019493178	0.006825434	0.446	775	tags=15%, list=4%, signal=15%	
REACTOME_TIGHT_JUNCTION_INTERACTIONS	REACTOME_TIGHT_JUNCTION_INTERACTIONS		22	0.6780048	1.8631394	0.0019880715	0.0067478726	0.446	2251	tags=55%, list=12%, signal=62%	
REACTOME_RA_BIOSYNTHESIS_PATHWAY	REACTOME_RA_BIOSYNTHESIS_PATHWAY		20	0.67883635	1.859685	0.001934236	0.007026582	0.461	2228	tags=45%, list=12%, signal=51%	
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION		22	0.6621008	1.8547192	0.0	0.0075982953	0.488	2992	tags=55%, list=16%, signal=65%	
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS		19	0.69731045	1.8546983	0.002020202	0.007526153	0.489	2413	tags=37%, list=13%, signal=42%	
ASPARAGINE SYNTHESIS	ASPARAGINE SYNTHESIS		18	0.67734116	1.8532717	0.002016129	0.0075245174	0.492	4970	tags=89%, list=26%, signal=120%	
REACTOME_PREDNISONE_ADME	REACTOME_PREDNISONE_ADME		9	0.8242549	1.8496825	0.002004008	0.007892707	0.51	996	tags=56%, list=5%, signal=59%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS		12	0.7714015	1.8477944	0.0	0.008010103	0.52	2991	tags=58%, list=16%, signal=69%	
REACTOME_EICOSANOIDS	REACTOME_EICOSANOIDS		9	0.84685206	1.847295	0.0019493178	0.007991821	0.522	1499	tags=67%, list=8%, signal=72%	
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS		17	0.70034444	1.8464599	0.0	0.0080179	0.528	1522	tags=47%, list=8%, signal=51%	
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS	REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS		10	0.7948043	1.8444546	0.0019379845	0.008223616	0.54	3393	tags=90%, list=18%, signal=110%	
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS		10	0.78931016	1.8423694	0.0020120724	0.0083730705	0.548	1045	tags=40%, list=5%, signal=42%	
REACTOME_CYP2E1_REACTIONS	REACTOME_CYP2E1_REACTIONS		7	0.88303757	1.8412102	0.0021321962	0.008457657	0.553	1522	tags=86%, list=8%, signal=93%	
REACTOME_SULFUR_AMINO_ACID_METABOLISM	REACTOME_SULFUR_AMINO_ACID_METABOLISM		27	0.6327894	1.8372012	0.001934236	0.008863197	0.574	4246	tags=52%, list=22%, signal=67%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS		9	0.81850696	1.8364245	0.0	0.008920427	0.58	2991	tags=78%, list=16%, signal=92%	
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS		10	0.79467946	1.8321058	0.0019646366	0.009415851	0.602	3241	tags=80%, list=17%, signal=96%	
ARGININE SYNTHESIS	ARGININE SYNTHESIS		13	0.7381465	1.831262	0.0057803467	0.009446077	0.607	4970	tags=92%, list=26%, signal=125%	
BETA-ALANINE SYNTHESIS	BETA-ALANINE SYNTHESIS		13	0.7389426	1.8252745	0.0018726592	0.010215566	0.646	4970	tags=100%, list=26%, signal=135%	
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY		11	0.76758695	1.8221053	0.003921569	0.010563878	0.66	2797	tags=73%, list=15%, signal=85%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS		16	0.69461465	1.8208771	0.0	0.010728109	0.667	1953	tags=44%, list=10%, signal=49%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES		32	0.5905022	1.8054963	0.0	0.012976012	0.741	2368	tags=31%, list=12%, signal=36%	
REACTOME_SIGNALING_BY_RETINOIC_ACID	REACTOME_SIGNALING_BY_RETINOIC_ACID		40	0.55891615	1.7991344	0.0	0.014125078	0.773	2228	tags=33%, list=12%, signal=37%	
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA	REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA		8	0.8193399	1.7911822	0.004008016	0.015828133	0.807	3439	tags=100%, list=18%, signal=122%	
REACTOME_LDL_CLEARANCE	REACTOME_LDL_CLEARANCE		19	0.6470682	1.7864783	0.008032128	0.016601356	0.831	5157	tags=63%, list=27%, signal=87%	
REACTOME_METABOLISM_OF_COFACTORS	REACTOME_METABOLISM_OF_COFACTORS		19	0.65113884	1.7856092	0.001996008	0.016657121	0.834	4005	tags=53%, list=21%, signal=67%	
REACTOME_INDUCTION_OF_CELL_CELL_FUSION	REACTOME_INDUCTION_OF_CELL_CELL_FUSION		12	0.74850327	1.78478	0.0	0.016677652	0.838	1121	tags=42%, list=6%, signal=44%	
REACTOME_ANDROGEN_BIOSYNTHESIS	REACTOME_ANDROGEN_BIOSYNTHESIS		10	0.7686188	1.7834572	0.0	0.016871609	0.842	1335	tags=40%, list=7%, signal=43%	
REACTOME_GLUCOSE_METABOLISM	REACTOME_GLUCOSE_METABOLISM		86	0.48506516	1.7823452	0.0	0.016944872	0.844	3165	tags=33%, list=17%, signal=39%	
REACTOME_DISEASES_OF_METABOLISM	REACTOME_DISEASES_OF_METABOLISM		238	0.4224476	1.7821243	0.0	0.016843151	0.844	2555	tags=23%, list=13%, signal=26%	
REACTOME_CREB3_FACTORS_ACTIVATE_GENES	REACTOME_CREB3_FACTORS_ACTIVATE_GENES		8	0.822154	1.7810519	0.0060362173	0.016921178	0.847	1117	tags=25%, list=6%, signal=27%	
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS		56	0.5200557	1.7785497	0.003629764	0.017374706	0.857	2918	tags=43%, list=15%, signal=50%	
