NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	18	0.72730374	2.1366274	0.0	0.008995734	0.012	2213	tags=61%, list=12%, signal=69%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	36	0.5531757	1.9438324	0.0	0.098393865	0.229	3053	tags=47%, list=17%, signal=57%	
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	Details ...	10	0.72931564	1.8070654	0.0051150895	0.37607825	0.764	521	tags=30%, list=3%, signal=31%	
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS	REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS	Details ...	7	0.8362945	1.7923874	0.007936508	0.3353426	0.821	1508	tags=43%, list=8%, signal=47%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	70	0.44891244	1.7829427	0.0	0.2982969	0.846	2696	tags=31%, list=15%, signal=37%	
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	Details ...	7	0.8130236	1.7718712	0.0023923444	0.28000456	0.885	3443	tags=100%, list=19%, signal=123%	
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	Details ...	6	0.84178495	1.7548505	0.006802721	0.28970498	0.936	486	tags=33%, list=3%, signal=34%	
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	16	0.61206055	1.7483232	0.009345794	0.26962024	0.943	2696	tags=38%, list=15%, signal=44%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	Details ...	15	0.63744736	1.7323701	0.0028985508	0.2836879	0.96	2696	tags=47%, list=15%, signal=55%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	6	0.8129794	1.7276716	0.0070422534	0.26783907	0.965	3443	tags=100%, list=19%, signal=123%	
