NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	648	-0.3566655	---	---	1.0	0.0	4113	tags=40%, list=22%, signal=49%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	1026	-0.21980104	---	---	1.0	0.0	2622	tags=20%, list=14%, signal=22%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	606	-0.14650162	---	---	1.0	0.0	4524	tags=25%, list=24%, signal=32%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	702	-0.42966875	---	---	1.0	0.0	5852	tags=54%, list=31%, signal=75%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	119	-0.5838478	-2.6033962	0.0	0.0	0.0	2893	tags=42%, list=15%, signal=49%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	59	-0.6441417	-2.5805793	0.0	0.0	0.0	3275	tags=68%, list=17%, signal=82%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	110	-0.59253967	-2.5783026	0.0	0.0	0.0	2893	tags=39%, list=15%, signal=46%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	227	-0.5240795	-2.5493853	0.0	0.0	0.0	4181	tags=46%, list=22%, signal=58%	
REACTOME_SNRNP_ASSEMBLY	REACTOME_SNRNP_ASSEMBLY	Details ...	54	-0.63643074	-2.5455396	0.0	0.0	0.0	5397	tags=81%, list=28%, signal=114%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	Details ...	37	-0.722961	-2.5425828	0.0	0.0	0.0	2337	tags=57%, list=12%, signal=65%	
