NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	32	0.71558857	2.3159337	0.0	0.0	0.0	2315	tags=50%, list=12%, signal=57%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	41	0.6835705	2.3051307	0.0	0.0	0.0	2315	tags=44%, list=12%, signal=50%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	57	0.62361676	2.2257063	0.0	6.222073E-4	0.003	1526	tags=26%, list=8%, signal=29%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	41	0.6552364	2.2135556	0.0	6.187388E-4	0.004	2499	tags=41%, list=13%, signal=48%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	35	0.6764078	2.2131376	0.0	4.949911E-4	0.004	2315	tags=43%, list=12%, signal=49%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	36	0.6791176	2.1918135	0.0	4.1249255E-4	0.004	2315	tags=42%, list=12%, signal=47%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	44	0.634315	2.183895	0.0	4.3944738E-4	0.005	2315	tags=34%, list=12%, signal=39%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	37	0.66500217	2.1610389	0.0	4.6110517E-4	0.006	2315	tags=41%, list=12%, signal=46%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	79	0.55699366	2.1377594	0.0	5.492913E-4	0.008	1526	tags=22%, list=8%, signal=23%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	33	0.6579079	2.1213741	0.0	6.178537E-4	0.01	2315	tags=42%, list=12%, signal=48%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	45	0.6176528	2.1082206	0.0	7.8528275E-4	0.014	2315	tags=33%, list=12%, signal=38%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	40	0.62689996	2.0681465	0.0	0.001854195	0.034	2315	tags=38%, list=12%, signal=43%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	50	0.595546	2.063632	0.0	0.0019034381	0.038	2318	tags=40%, list=12%, signal=45%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	59	0.5640477	2.0574803	0.0	0.0020395024	0.044	2315	tags=27%, list=12%, signal=31%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	52	0.5825597	2.052136	0.0	0.0019853325	0.046	2368	tags=33%, list=13%, signal=37%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	55	0.56455344	1.9833883	0.0	0.005338835	0.131	1526	tags=33%, list=8%, signal=35%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Details ...	57	0.54633	1.9657094	0.0	0.0064091515	0.161	2645	tags=33%, list=14%, signal=39%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Details ...	75	0.5100728	1.957441	0.0	0.0068097375	0.18	2315	tags=21%, list=12%, signal=24%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.76279265	1.9179474	0.0	0.011295825	0.293	108	tags=38%, list=1%, signal=39%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	Details ...	59	0.52641875	1.8986053	0.0	0.014640047	0.371	1526	tags=22%, list=8%, signal=24%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		9	0.8393706	1.8853288	0.0018939395	0.01775527	0.449	108	tags=56%, list=1%, signal=56%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP		79	0.49107674	1.8837559	0.0	0.017256156	0.454	1526	tags=23%, list=8%, signal=25%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		77	0.49686897	1.8834753	0.0	0.016533183	0.455	2315	tags=21%, list=12%, signal=24%	
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS		87	0.4923162	1.8740561	0.0	0.017832518	0.496	2315	tags=22%, list=12%, signal=25%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION		59	0.51419264	1.8580183	0.0	0.021039864	0.57	2315	tags=27%, list=12%, signal=31%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		52	0.5232694	1.8551012	0.002173913	0.021065583	0.583	2315	tags=31%, list=12%, signal=35%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		63	0.5186104	1.8536205	0.0	0.020833137	0.592	1526	tags=22%, list=8%, signal=24%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		79	0.47921658	1.8277019	0.0	0.028690923	0.727	2315	tags=20%, list=12%, signal=23%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES		104	0.44895044	1.7930375	0.0	0.042490073	0.856	1526	tags=14%, list=8%, signal=16%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR		68	0.4900626	1.7869823	0.0	0.044282354	0.873	2390	tags=25%, list=13%, signal=29%	
REACTOME_REPRODUCTION	REACTOME_REPRODUCTION		95	0.44971016	1.7633998	0.0	0.057260018	0.932	2368	tags=25%, list=13%, signal=29%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		74	0.4650159	1.7425678	0.0	0.06980259	0.968	2315	tags=22%, list=12%, signal=25%	
