NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.9005708	3.3515534	0.0	0.0	0.0	1042	tags=81%, list=5%, signal=85%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.8971427	3.3385148	0.0	0.0	0.0	824	tags=77%, list=4%, signal=80%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.8994065	3.313033	0.0	0.0	0.0	1042	tags=83%, list=5%, signal=87%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.8752818	3.3007765	0.0	0.0	0.0	1042	tags=74%, list=5%, signal=78%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.85018724	3.2791	0.0	0.0	0.0	824	tags=65%, list=4%, signal=67%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.9045538	3.2726805	0.0	0.0	0.0	824	tags=85%, list=4%, signal=89%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.81230503	3.2627506	0.0	0.0	0.0	1042	tags=61%, list=5%, signal=64%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.8715631	3.2319155	0.0	0.0	0.0	1133	tags=73%, list=6%, signal=77%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	0.81251705	3.2091484	0.0	0.0	0.0	824	tags=56%, list=4%, signal=59%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.8129137	3.179625	0.0	0.0	0.0	1133	tags=60%, list=6%, signal=64%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.814188	3.1757996	0.0	0.0	0.0	824	tags=63%, list=4%, signal=65%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	108	0.78926605	3.1686893	0.0	0.0	0.0	1088	tags=58%, list=6%, signal=61%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.8060353	3.1616554	0.0	0.0	0.0	1133	tags=60%, list=6%, signal=63%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.75124186	3.0798032	0.0	0.0	0.0	824	tags=46%, list=4%, signal=47%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	129	0.73184747	3.0505302	0.0	0.0	0.0	824	tags=43%, list=4%, signal=44%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	0.70140743	2.9569263	0.0	0.0	0.0	824	tags=37%, list=4%, signal=38%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	0.6826935	2.9488442	0.0	0.0	0.0	1490	tags=39%, list=8%, signal=42%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	0.6911834	2.8776052	0.0	0.0	0.0	1133	tags=39%, list=6%, signal=41%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	164	0.6407348	2.7876675	0.0	0.0	0.0	824	tags=33%, list=4%, signal=34%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	170	0.63068974	2.773113	0.0	0.0	0.0	2240	tags=49%, list=11%, signal=55%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		184	0.6013479	2.611648	0.0	0.0	0.0	824	tags=27%, list=4%, signal=28%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		213	0.58436614	2.5708506	0.0	0.0	0.0	824	tags=27%, list=4%, signal=28%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		178	0.5799192	2.5297248	0.0	0.0	0.0	1691	tags=37%, list=9%, signal=40%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION		13	0.7590298	1.9550443	0.0	0.0044884044	0.127	1897	tags=31%, list=10%, signal=34%	
REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS		451	0.39550963	1.8879132	0.0	0.011877033	0.321	824	tags=12%, list=4%, signal=13%	
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS		27	0.6160825	1.8772695	0.0	0.013191908	0.365	2568	tags=44%, list=13%, signal=51%	
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION		7	0.8821478	1.8586094	0.0021551724	0.016554961	0.442	1819	tags=71%, list=9%, signal=79%	
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS		16	0.6667021	1.8049046	0.009456265	0.03391883	0.699	3257	tags=56%, list=17%, signal=67%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1		8	0.79850054	1.7759418	0.0041841003	0.04859977	0.815	1897	tags=50%, list=10%, signal=55%	
REACTOME_PHASE_3_RAPID_REPOLARISATION	REACTOME_PHASE_3_RAPID_REPOLARISATION		8	0.79295474	1.7647909	0.0042643924	0.052916024	0.855	3552	tags=75%, list=18%, signal=91%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15		8	0.785629	1.7346146	0.0021505377	0.073865555	0.947	1897	tags=50%, list=10%, signal=55%	
REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS		16	0.6503961	1.7150304	0.0023696683	0.088793434	0.973	5101	tags=81%, list=26%, signal=110%	
REACTOME_PROSTANOID_LIGAND_RECEPTORS	REACTOME_PROSTANOID_LIGAND_RECEPTORS		9	0.7581085	1.6853884	0.008658009	0.119995765	0.995	4317	tags=78%, list=22%, signal=100%	
REACTOME_ACTIVATION_OF_C3_AND_C5	REACTOME_ACTIVATION_OF_C3_AND_C5		7	0.7758707	1.6736809	0.011389522	0.13138536	0.997	4303	tags=86%, list=22%, signal=110%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES		83	0.42390925	1.6611582	0.0	0.14494246	0.999	3916	tags=36%, list=20%, signal=45%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		9	0.73025894	1.6576216	0.0065934067	0.14575922	0.999	377	tags=56%, list=2%, signal=57%	
