NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.703713	2.6823282	0.0	0.0	0.0	3186	tags=65%, list=16%, signal=77%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.72540253	2.6405053	0.0	0.0	0.0	3358	tags=75%, list=17%, signal=90%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.69533795	2.6013312	0.0	0.0	0.0	1863	tags=57%, list=10%, signal=63%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.655595	2.5501351	0.0	0.0	0.0	3358	tags=65%, list=17%, signal=78%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.6602385	2.5424147	0.0	0.0	0.0	3186	tags=58%, list=16%, signal=69%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.6772137	2.540986	0.0	0.0	0.0	1778	tags=51%, list=9%, signal=56%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.6658415	2.5281136	0.0	0.0	0.0	3358	tags=67%, list=17%, signal=80%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	85	0.638386	2.4799595	0.0	0.0	0.0	3186	tags=54%, list=16%, signal=64%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.6191001	2.4568586	0.0	0.0	0.0	1778	tags=43%, list=9%, signal=47%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.6235897	2.4066334	0.0	0.0	0.0	1778	tags=45%, list=9%, signal=49%	
