NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	29	-0.71689975	-2.0418344	0.0	0.017909849	0.02	2003	tags=48%, list=11%, signal=54%	
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	Details ...	29	-0.71059847	-2.0183167	0.0	0.012910844	0.029	2160	tags=52%, list=12%, signal=59%	
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	Details ...	11	-0.8553513	-1.9258661	0.0	0.04474283	0.141	1079	tags=45%, list=6%, signal=48%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	26	-0.6917234	-1.9201491	0.0	0.036451418	0.153	1977	tags=50%, list=11%, signal=56%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	8	-0.9199323	-1.9090055	0.0	0.034986563	0.179	63	tags=50%, list=0%, signal=50%	
CHOLESTEROL SYNTHESIS	CHOLESTEROL SYNTHESIS	Details ...	10	-0.85269207	-1.90795	0.0	0.029155469	0.179	1217	tags=70%, list=7%, signal=75%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	7	-0.9314206	-1.8755091	0.0	0.042894904	0.283	63	tags=57%, list=0%, signal=57%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	342	-0.4493246	-1.8706071	0.0	0.04062434	0.305	2477	tags=29%, list=14%, signal=33%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.6091828	-1.868364	0.0021551724	0.037987683	0.32	5703	tags=69%, list=32%, signal=101%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	12	-0.7832373	-1.8303627	0.0	0.06225647	0.5	605	tags=42%, list=3%, signal=43%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	80	-0.5264461	-1.8202665	0.0	0.0648734	0.546	2261	tags=33%, list=13%, signal=37%	
REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	Details ...	9	-0.8378673	-1.8118252	0.0021551724	0.066647515	0.581	1225	tags=44%, list=7%, signal=48%	
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	Details ...	9	-0.8130285	-1.7669827	0.0042283298	0.118333235	0.836	63	tags=44%, list=0%, signal=45%	
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING	REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING	Details ...	7	-0.87732786	-1.7528216	0.002247191	0.13460812	0.885	759	tags=43%, list=4%, signal=45%	
REACTOME_SIGNALING_BY_NODAL	REACTOME_SIGNALING_BY_NODAL	Details ...	16	-0.68838155	-1.7213627	0.008333334	0.18541321	0.965	3326	tags=50%, list=19%, signal=61%	
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	Details ...	22	-0.6510252	-1.7144201	0.004219409	0.18859325	0.976	2064	tags=36%, list=12%, signal=41%	
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	Details ...	10	-0.7781438	-1.681229	0.0061728396	0.26110744	0.995	2516	tags=70%, list=14%, signal=81%	
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	Details ...	7	-0.83454615	-1.6794376	0.008016032	0.2515767	0.997	1777	tags=57%, list=10%, signal=63%	
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	Details ...	26	-0.60596335	-1.6785493	0.010615711	0.24076732	0.997	4682	tags=58%, list=26%, signal=78%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	Details ...	18	-0.67367923	-1.678187	0.014344262	0.22964995	0.997	1908	tags=50%, list=11%, signal=56%	
REACTOME_LGI_ADAM_INTERACTIONS	REACTOME_LGI_ADAM_INTERACTIONS		13	-0.712144	-1.6763998	0.014736842	0.2234033	0.997	900	tags=38%, list=5%, signal=40%	
