NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	33	0.74996036	2.3815877	0.0	0.0	0.0	2042	tags=52%, list=11%, signal=58%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.6279798	2.33108	0.0	0.0	0.0	3172	tags=54%, list=17%, signal=64%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.5833007	2.271471	0.0	0.0	0.0	3172	tags=48%, list=17%, signal=57%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.6188488	2.234841	0.0	2.9154232E-4	0.001	3428	tags=51%, list=18%, signal=62%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.60548687	2.226723	0.0	2.3323383E-4	0.001	3172	tags=51%, list=17%, signal=61%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.58668923	2.1736405	0.0	1.9436154E-4	0.001	3172	tags=49%, list=17%, signal=59%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	114	0.54047245	2.1636677	0.0	1.665956E-4	0.001	4036	tags=49%, list=21%, signal=62%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.5643747	2.1370947	0.0	8.93032E-4	0.006	3172	tags=48%, list=17%, signal=58%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	54	0.59757185	2.1128654	0.0	0.0010515723	0.008	3047	tags=56%, list=16%, signal=66%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	46	0.6151758	2.1068687	0.0	9.4641495E-4	0.008	1283	tags=43%, list=7%, signal=47%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	45	0.628622	2.1063485	0.0	8.603773E-4	0.008	2831	tags=47%, list=15%, signal=55%	
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	Details ...	28	0.6778944	2.1038694	0.0	8.899931E-4	0.009	2745	tags=43%, list=15%, signal=50%	
REACTOME_RND1_GTPASE_CYCLE	REACTOME_RND1_GTPASE_CYCLE	Details ...	41	0.6207674	2.0806336	0.0	0.0010943068	0.012	2580	tags=41%, list=14%, signal=48%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	Details ...	18	0.74337494	2.0745199	0.0	0.0011845875	0.014	2408	tags=61%, list=13%, signal=70%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.53862894	2.0493383	0.0	0.0018025417	0.023	5247	tags=58%, list=28%, signal=80%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	111	0.5052073	2.0438488	0.0	0.001836458	0.024	3172	tags=47%, list=17%, signal=56%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.53502727	2.0321372	0.0	0.00221503	0.031	3172	tags=44%, list=17%, signal=53%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.5585552	2.0320535	0.0	0.0020919726	0.031	3172	tags=52%, list=17%, signal=62%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	0.5201425	2.0221167	0.0	0.0023522824	0.036	3377	tags=46%, list=18%, signal=56%	
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Details ...	57	0.5675773	2.0043857	0.0	0.0027620136	0.045	5411	tags=63%, list=29%, signal=88%	
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION		35	0.61978537	1.9949119	0.0	0.003646229	0.063	3199	tags=57%, list=17%, signal=69%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION		87	0.52170175	1.9943445	0.0	0.0035330807	0.064	3371	tags=41%, list=18%, signal=50%	
REACTOME_CHYLOMICRON_ASSEMBLY	REACTOME_CHYLOMICRON_ASSEMBLY		10	0.845979	1.9879863	0.0	0.0038426463	0.073	2032	tags=70%, list=11%, signal=78%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS		86	0.5185297	1.976296	0.0	0.004414185	0.086	5247	tags=55%, list=28%, signal=75%	
REACTOME_HSF1_ACTIVATION	REACTOME_HSF1_ACTIVATION		28	0.63758606	1.9692638	0.0	0.0049407254	0.099	3199	tags=50%, list=17%, signal=60%	
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES		19	0.6962319	1.9649135	0.0	0.0054318667	0.112	2042	tags=42%, list=11%, signal=47%	
REACTOME_CHYLOMICRON_REMODELING	REACTOME_CHYLOMICRON_REMODELING		10	0.82390946	1.9645904	0.0	0.0052306866	0.112	1677	tags=70%, list=9%, signal=77%	
