NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	35	0.7045281	2.0912097	0.0	0.0021735928	0.003	3834	tags=60%, list=20%, signal=74%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.6375413	2.080372	0.0	0.0010867964	0.003	4270	tags=64%, list=22%, signal=82%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.6304766	2.0797682	0.0	9.551174E-4	0.004	4270	tags=67%, list=22%, signal=85%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.62895864	2.0448906	0.0	0.0016052241	0.009	4270	tags=61%, list=22%, signal=78%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.6079605	2.0412843	0.0	0.0012841794	0.009	4270	tags=65%, list=22%, signal=83%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.60506576	1.9838063	0.0	0.0023662783	0.02	4270	tags=67%, list=22%, signal=85%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.59681106	1.9777861	0.0	0.0022304787	0.022	4270	tags=56%, list=22%, signal=72%	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	14	0.8151826	1.9608898	0.0	0.00346699	0.037	252	tags=43%, list=1%, signal=43%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.5696546	1.9535524	0.0	0.0040237023	0.048	4270	tags=49%, list=22%, signal=62%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.56914335	1.9445138	0.0	0.004334801	0.058	4270	tags=47%, list=22%, signal=60%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.57447904	1.9345548	0.0	0.005428579	0.08	4270	tags=52%, list=22%, signal=67%	
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING	Details ...	22	0.72350395	1.9146483	0.0	0.0077072387	0.121	3549	tags=55%, list=18%, signal=67%	
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	Details ...	16	0.77466905	1.9113201	0.001510574	0.00754939	0.128	1435	tags=38%, list=7%, signal=40%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	17	0.76248443	1.9046589	0.0	0.007881145	0.143	1498	tags=47%, list=8%, signal=51%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.5483735	1.8960572	0.0	0.00839786	0.162	4270	tags=53%, list=22%, signal=68%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	7	0.90737164	1.8727474	0.0	0.01112637	0.224	1379	tags=71%, list=7%, signal=77%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	18	0.71032476	1.8682756	0.0029498525	0.0114762625	0.241	3343	tags=67%, list=17%, signal=80%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	7	0.9081154	1.8630531	0.0016949152	0.012100526	0.265	1379	tags=71%, list=7%, signal=77%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	Details ...	17	0.7327507	1.86023	0.0015267176	0.01206273	0.275	975	tags=35%, list=5%, signal=37%	
