NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	108	-0.57363075	-2.433263	0.0	0.0	0.0	2478	tags=47%, list=15%, signal=55%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	173	-0.48756698	-2.2249522	0.0	0.0019600869	0.003	5693	tags=64%, list=34%, signal=95%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.5232697	-2.1936557	0.0	0.0017546568	0.004	5203	tags=60%, list=31%, signal=86%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	128	-0.5003695	-2.154626	0.0	0.0039098416	0.012	2715	tags=45%, list=16%, signal=54%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	33	-0.64501446	-2.1438694	0.0	0.0036419544	0.014	1146	tags=24%, list=7%, signal=26%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	95	-0.5218418	-2.1436086	0.0	0.003034962	0.014	6106	tags=68%, list=36%, signal=106%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	29	-0.6693967	-2.1307697	0.0	0.0029696594	0.016	620	tags=24%, list=4%, signal=25%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	33	-0.6246188	-2.1225142	0.0	0.0037286375	0.023	620	tags=18%, list=4%, signal=19%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	27	-0.6653855	-2.1080163	0.0	0.0041961786	0.029	686	tags=26%, list=4%, signal=27%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	-0.5188348	-2.1042025	0.0	0.004039599	0.031	6769	tags=73%, list=40%, signal=120%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	125	-0.48763686	-2.0926664	0.0	0.0040190644	0.034	5693	tags=62%, list=34%, signal=93%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	24	-0.6819868	-2.083109	0.0	0.0042282064	0.038	620	tags=25%, list=4%, signal=26%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	36	-0.61876243	-2.0668647	0.0	0.0050245603	0.049	620	tags=17%, list=4%, signal=17%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	28	-0.63422674	-1.9888427	0.0	0.01608596	0.164	620	tags=21%, list=4%, signal=22%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	65	-0.5107968	-1.9719807	0.0	0.018251793	0.194	6705	tags=66%, list=40%, signal=109%	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	Details ...	62	-0.5085194	-1.9464017	0.0	0.025822707	0.28	4764	tags=53%, list=28%, signal=74%	
REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	Details ...	16	-0.7018342	-1.9445502	0.002444988	0.025001712	0.288	1025	tags=38%, list=6%, signal=40%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	Details ...	31	-0.60172147	-1.9354604	0.0	0.027298061	0.327	6050	tags=77%, list=36%, signal=120%	
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	Details ...	88	-0.46513775	-1.9135846	0.0	0.034030836	0.408	4375	tags=44%, list=26%, signal=59%	
