NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	98	-0.64084256	-2.3417246	0.0	0.0	0.0	1541	tags=45%, list=8%, signal=49%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	84	-0.63506246	-2.2461777	0.0	0.0	0.0	1541	tags=45%, list=8%, signal=49%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	60	-0.6333428	-2.0909622	0.0	0.0034589318	0.008	3201	tags=40%, list=17%, signal=48%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	33	-0.6784112	-2.0257552	0.0	0.0074933968	0.021	2470	tags=36%, list=13%, signal=42%	
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	Details ...	65	-0.5908083	-2.0172675	0.0	0.0067774905	0.024	2453	tags=43%, list=13%, signal=49%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	49	-0.60190564	-1.9590745	0.0	0.013229669	0.056	2717	tags=33%, list=14%, signal=38%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	109	-0.50574005	-1.8506143	0.0	0.08314328	0.35	3942	tags=32%, list=21%, signal=40%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	42	-0.5994177	-1.8280519	0.0	0.101883546	0.461	3970	tags=64%, list=21%, signal=81%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	38	-0.591342	-1.8249447	0.0	0.096454814	0.481	2453	tags=53%, list=13%, signal=60%	
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	REACTOME_RHO_GTPASES_ACTIVATE_PAKS	Details ...	21	-0.6728592	-1.8206514	0.0021978023	0.091227666	0.495	3501	tags=48%, list=19%, signal=58%	
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	Details ...	278	-0.44180933	-1.8190783	0.0	0.084343575	0.503	3624	tags=30%, list=19%, signal=37%	
REACTOME_O_LINKED_GLYCOSYLATION	REACTOME_O_LINKED_GLYCOSYLATION	Details ...	102	-0.4940465	-1.7990161	0.0	0.10426012	0.623	2453	tags=33%, list=13%, signal=38%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	Details ...	15	-0.7261341	-1.7897587	0.0045045046	0.108551964	0.662	589	tags=33%, list=3%, signal=34%	
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	Details ...	21	-0.65135616	-1.7718463	0.0065075923	0.13071144	0.759	589	tags=24%, list=3%, signal=25%	
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	Details ...	29	-0.6073875	-1.7694099	0.004385965	0.12607133	0.772	2620	tags=38%, list=14%, signal=44%	
