NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	61	0.75489116	2.4989927	0.0	0.0	0.0	2732	tags=59%, list=14%, signal=68%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	51	0.775489	2.4866881	0.0	0.0	0.0	3055	tags=73%, list=15%, signal=85%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	75	0.7139335	2.454177	0.0	0.0	0.0	2861	tags=53%, list=14%, signal=62%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	77	0.712373	2.4490216	0.0	0.0	0.0	2732	tags=48%, list=14%, signal=55%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	76	0.7214663	2.4421227	0.0	0.0	0.0	2732	tags=50%, list=14%, signal=58%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	68	0.7305522	2.4358153	0.0	0.0	0.0	2732	tags=65%, list=14%, signal=75%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	124	0.65602654	2.4167438	0.0	0.0	0.0	2732	tags=34%, list=14%, signal=39%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	60	0.73152614	2.403492	0.0	0.0	0.0	2732	tags=65%, list=14%, signal=75%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	72	0.6945403	2.3396606	0.0	0.0	0.0	2732	tags=50%, list=14%, signal=58%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	59	0.7061286	2.3340302	0.0	0.0	0.0	2732	tags=58%, list=14%, signal=67%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	59	0.70657915	2.3081782	0.0	0.0	0.0	3055	tags=68%, list=15%, signal=80%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	96	0.6351037	2.2713308	0.0	0.0	0.0	2732	tags=51%, list=14%, signal=59%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	50	0.69823545	2.2462265	0.0	0.0	0.0	2121	tags=52%, list=11%, signal=58%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	156	0.5914946	2.2319658	0.0	0.0	0.0	2760	tags=45%, list=14%, signal=52%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	153	0.58717185	2.211639	0.0	0.0	0.0	2861	tags=29%, list=14%, signal=33%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	88	0.62860596	2.1909542	0.0	0.0	0.0	2760	tags=52%, list=14%, signal=60%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	174	0.5698124	2.1802678	0.0	0.0	0.0	2732	tags=26%, list=14%, signal=30%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	84	0.61638665	2.1543462	0.0	0.0	0.0	2732	tags=42%, list=14%, signal=48%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	144	0.57028824	2.1381383	0.0	6.951219E-5	0.002	2861	tags=31%, list=14%, signal=36%	
