NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.90252656	-2.9309025	0.0	0.0	0.0	1342	tags=92%, list=7%, signal=99%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.84801733	-2.8823643	0.0	0.0	0.0	1646	tags=77%, list=9%, signal=84%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.8724899	-2.858858	0.0	0.0	0.0	1401	tags=81%, list=7%, signal=87%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.8220266	-2.8259404	0.0	0.0	0.0	1923	tags=69%, list=10%, signal=76%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	68	-0.8685254	-2.8200295	0.0	0.0	0.0	1583	tags=82%, list=8%, signal=90%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.838437	-2.8186967	0.0	0.0	0.0	1401	tags=68%, list=7%, signal=73%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	76	-0.8426583	-2.8052225	0.0	0.0	0.0	1583	tags=76%, list=8%, signal=83%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	177	-0.7497498	-2.8011663	0.0	0.0	0.0	2864	tags=69%, list=15%, signal=81%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.85484403	-2.797432	0.0	0.0	0.0	1583	tags=73%, list=8%, signal=80%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.8185843	-2.7882497	0.0	0.0	0.0	1923	tags=64%, list=10%, signal=71%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	164	-0.7500902	-2.772228	0.0	0.0	0.0	1646	tags=41%, list=9%, signal=45%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	-0.7633377	-2.756064	0.0	0.0	0.0	1402	tags=39%, list=7%, signal=42%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	-0.8187842	-2.72867	0.0	0.0	0.0	1273	tags=76%, list=7%, signal=82%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	-0.7836811	-2.6993904	0.0	0.0	0.0	1401	tags=60%, list=7%, signal=65%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	104	-0.7675697	-2.6674478	0.0	0.0	0.0	1583	tags=61%, list=8%, signal=66%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.74883634	-2.6658413	0.0	0.0	0.0	1630	tags=51%, list=9%, signal=55%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	-0.71723247	-2.6549602	0.0	0.0	0.0	1630	tags=41%, list=9%, signal=44%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	184	-0.6847655	-2.5669239	0.0	0.0	0.0	1630	tags=32%, list=9%, signal=35%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	-0.69825023	-2.5585005	0.0	0.0	0.0	1630	tags=42%, list=9%, signal=46%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	130	-0.7083039	-2.5550697	0.0	0.0	0.0	2017	tags=49%, list=11%, signal=55%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		178	-0.65972143	-2.4675906	0.0	0.0	0.0	2099	tags=46%, list=11%, signal=51%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		97	-0.7072066	-2.441177	0.0	0.0	0.0	1273	tags=54%, list=7%, signal=57%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS		270	-0.6001857	-2.3583078	0.0	0.0	0.0	2838	tags=31%, list=15%, signal=36%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES		54	-0.7262158	-2.297718	0.0	0.0	0.0	2834	tags=67%, list=15%, signal=78%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS		147	-0.62439793	-2.2824728	0.0	0.0	0.0	4167	tags=41%, list=22%, signal=53%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE		117	-0.63986945	-2.2796319	0.0	0.0	0.0	3841	tags=48%, list=20%, signal=60%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		214	-0.59235334	-2.2732499	0.0	0.0	0.0	1923	tags=34%, list=10%, signal=37%	
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION		155	-0.6114602	-2.2716982	0.0	0.0	0.0	3758	tags=41%, list=20%, signal=50%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE		51	-0.72215414	-2.263457	0.0	0.0	0.0	2649	tags=53%, list=14%, signal=61%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT		110	-0.64123887	-2.250646	0.0	0.0	0.0	1952	tags=31%, list=10%, signal=34%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING		46	-0.745029	-2.250234	0.0	0.0	0.0	2834	tags=61%, list=15%, signal=71%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC		523	-0.5442317	-2.245795	0.0	0.0	0.0	4058	tags=36%, list=21%, signal=45%	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE		647	-0.5323713	-2.2162907	0.0	0.0	0.0	4058	tags=35%, list=21%, signal=43%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES		43	-0.7130994	-2.1922674	0.0	0.0	0.0	3683	tags=60%, list=19%, signal=75%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		37	-0.7349702	-2.1860802	0.0	0.0	0.0	4023	tags=70%, list=21%, signal=89%	
