NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	41	0.689459	2.0821192	0.0	0.001982163	0.002	3914	tags=66%, list=21%, signal=83%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	286	0.51148885	2.036777	0.0	0.0024735834	0.005	3098	tags=46%, list=17%, signal=54%	
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	Details ...	18	0.7881988	1.9845489	0.0	0.004969685	0.015	2492	tags=72%, list=13%, signal=83%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	66	0.5958808	1.9623452	0.0	0.0070251827	0.028	3062	tags=58%, list=16%, signal=69%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	134	0.53050876	1.9538122	0.0	0.007043255	0.035	2880	tags=50%, list=15%, signal=59%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	35	0.67451525	1.9451408	0.0	0.007364212	0.044	3385	tags=57%, list=18%, signal=70%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	36	0.6764257	1.9352746	0.0	0.008165841	0.057	3557	tags=67%, list=19%, signal=82%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	192	0.50417775	1.9242421	0.0	0.008655314	0.068	3921	tags=51%, list=21%, signal=63%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	71	0.58226347	1.9134655	0.0	0.010254131	0.09	2931	tags=54%, list=16%, signal=63%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	87	0.550145	1.895102	0.0	0.013353075	0.123	3946	tags=61%, list=21%, signal=77%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	61	0.57909113	1.8798523	0.0	0.016080847	0.162	3170	tags=57%, list=17%, signal=69%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	43	0.6177062	1.8774487	0.0	0.015662305	0.171	2880	tags=63%, list=15%, signal=74%	
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	Details ...	35	0.65600115	1.875648	0.0	0.014768782	0.174	1922	tags=34%, list=10%, signal=38%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	31	0.65517914	1.8715464	0.0	0.015147124	0.191	3098	tags=68%, list=17%, signal=81%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION	Details ...	43	0.6061676	1.8551493	0.0	0.019239234	0.249	3524	tags=58%, list=19%, signal=71%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Details ...	58	0.57132804	1.85136	0.00203666	0.018975103	0.256	2880	tags=55%, list=15%, signal=65%	
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	Details ...	30	0.64181834	1.8416134	0.0	0.020755237	0.292	4311	tags=67%, list=23%, signal=86%	
REACTOME_ATTENUATION_PHASE	REACTOME_ATTENUATION_PHASE	Details ...	25	0.6786949	1.8404175	0.0	0.020272832	0.297	2679	tags=40%, list=14%, signal=47%	
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	Details ...	7	0.9074761	1.8372073	0.0020408162	0.020319905	0.311	999	tags=57%, list=5%, signal=60%	
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	Details ...	24	0.68057907	1.835607	0.0	0.019805249	0.32	2477	tags=58%, list=13%, signal=67%	
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS		88	0.530985	1.8148428	0.0	0.025827875	0.416	3610	tags=39%, list=19%, signal=48%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE		45	0.5945669	1.8127104	0.004048583	0.025516966	0.428	3341	tags=36%, list=18%, signal=43%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS		12	0.78171474	1.8062135	0.0041067763	0.02724328	0.461	2454	tags=67%, list=13%, signal=77%	
REACTOME_HSF1_ACTIVATION	REACTOME_HSF1_ACTIVATION		28	0.6509241	1.7922667	0.0	0.032471836	0.538	2679	tags=36%, list=14%, signal=42%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		9	0.83854496	1.7903522	0.0020449897	0.03249665	0.549	1994	tags=56%, list=11%, signal=62%	
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING		23	0.6707233	1.7853304	0.0020703934	0.03369018	0.576	4430	tags=61%, list=24%, signal=80%	
REACTOME_INFLAMMASOMES	REACTOME_INFLAMMASOMES		21	0.6729166	1.773072	0.002074689	0.039691806	0.661	3285	tags=43%, list=18%, signal=52%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS		41	0.59163654	1.7727317	0.0	0.038598925	0.665	3336	tags=61%, list=18%, signal=74%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		16	0.71698457	1.7602139	0.004008016	0.04544511	0.733	3925	tags=63%, list=21%, signal=79%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION		36	0.58791083	1.759618	0.0020876827	0.044199567	0.735	3341	tags=44%, list=18%, signal=54%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES		36	0.6004519	1.7565049	0.002008032	0.04423521	0.747	2825	tags=53%, list=15%, signal=62%	
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH		62	0.53548324	1.7427485	0.0020533882	0.052398458	0.812	3336	tags=47%, list=18%, signal=57%	
