NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.9292262	2.822144	0.0	0.0	0.0	854	tags=84%, list=4%, signal=88%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.9032826	2.8117692	0.0	0.0	0.0	854	tags=66%, list=4%, signal=69%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.8931179	2.8042235	0.0	0.0	0.0	854	tags=59%, list=4%, signal=62%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.91304946	2.7855792	0.0	0.0	0.0	854	tags=78%, list=4%, signal=82%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	0.9130334	2.783549	0.0	0.0	0.0	854	tags=79%, list=4%, signal=82%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	0.84393495	2.767913	0.0	0.0	0.0	854	tags=38%, list=4%, signal=40%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.9170389	2.7668285	0.0	0.0	0.0	854	tags=72%, list=4%, signal=75%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.8867027	2.7464857	0.0	0.0	0.0	900	tags=60%, list=5%, signal=62%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.91676295	2.743108	0.0	0.0	0.0	854	tags=85%, list=4%, signal=89%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.8732497	2.7384431	0.0	0.0	0.0	854	tags=60%, list=4%, signal=63%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.8443174	2.7301261	0.0	0.0	0.0	854	tags=47%, list=4%, signal=48%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	0.8672868	2.7235506	0.0	0.0	0.0	854	tags=57%, list=4%, signal=60%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.8598259	2.7181025	0.0	0.0	0.0	854	tags=60%, list=4%, signal=63%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	0.89569074	2.7164247	0.0	0.0	0.0	887	tags=73%, list=5%, signal=76%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	0.8439281	2.7083392	0.0	0.0	0.0	887	tags=57%, list=5%, signal=60%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	0.80173224	2.703888	0.0	0.0	0.0	854	tags=34%, list=4%, signal=35%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	0.8048363	2.6779783	0.0	0.0	0.0	854	tags=38%, list=4%, signal=39%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	184	0.780699	2.6702366	0.0	0.0	0.0	900	tags=28%, list=5%, signal=29%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	164	0.7874617	2.6601913	0.0	0.0	0.0	854	tags=32%, list=4%, signal=33%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	128	0.80604833	2.6484857	0.0	0.0	0.0	854	tags=42%, list=4%, signal=44%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		180	0.7538652	2.5292304	0.0	0.0	0.0	854	tags=33%, list=4%, signal=34%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		211	0.71108866	2.4611983	0.0	0.0	0.0	885	tags=26%, list=5%, signal=27%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL		178	0.68248075	2.3276439	0.0	0.0	0.0	1300	tags=35%, list=7%, signal=37%	
