NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.66912484	2.342938	0.0	0.0	0.0	3386	tags=57%, list=17%, signal=68%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.5901449	2.0378208	0.0	0.0057756295	0.02	3386	tags=51%, list=17%, signal=61%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	189	0.48591733	1.9869726	0.0	0.009253249	0.046	2865	tags=36%, list=15%, signal=42%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.52160203	1.9698579	0.0	0.010801575	0.073	3118	tags=41%, list=16%, signal=48%	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	29	0.6446654	1.9192388	0.0	0.020803027	0.167	3821	tags=62%, list=20%, signal=77%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	32	0.6267012	1.9109186	0.0020408162	0.02040331	0.19	557	tags=31%, list=3%, signal=32%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	36	0.61347413	1.9085956	0.0	0.018064642	0.195	3357	tags=53%, list=17%, signal=64%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	Details ...	19	0.7122677	1.8656108	0.0	0.030836977	0.337	2577	tags=47%, list=13%, signal=55%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.5144424	1.832286	0.0	0.050014585	0.514	3386	tags=47%, list=17%, signal=56%	
REACTOME_ETHANOL_OXIDATION	REACTOME_ETHANOL_OXIDATION	Details ...	12	0.79072994	1.8316791	0.0019646366	0.04535911	0.517	2941	tags=67%, list=15%, signal=78%	
