NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	33	0.7062012	2.261522	0.0	0.0	0.0	4160	tags=70%, list=22%, signal=89%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	22	0.75519985	2.1872184	0.0	6.151975E-4	0.002	3965	tags=77%, list=21%, signal=97%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE	Details ...	25	0.6436307	1.9887358	0.0	0.014739026	0.069	5910	tags=76%, list=31%, signal=109%	
REACTOME_LONG_TERM_POTENTIATION	REACTOME_LONG_TERM_POTENTIATION	Details ...	23	0.66064525	1.9459716	0.0	0.024960643	0.151	1939	tags=39%, list=10%, signal=43%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	15	0.7183641	1.9028862	0.0	0.038795166	0.26	2623	tags=53%, list=14%, signal=62%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	53	0.5302784	1.9022087	0.0	0.03263001	0.262	2312	tags=42%, list=12%, signal=47%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	Details ...	29	0.5959785	1.8978708	0.0019646366	0.030141434	0.281	4036	tags=48%, list=21%, signal=61%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	53	0.5247076	1.8888389	0.0	0.030782744	0.321	4516	tags=45%, list=23%, signal=59%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	49	0.5346821	1.8704774	0.0	0.0357434	0.41	3710	tags=39%, list=19%, signal=48%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	8	0.80634934	1.8506944	0.0	0.04321657	0.507	2328	tags=63%, list=12%, signal=71%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	45	0.5259853	1.8463143	0.0039138943	0.04220373	0.529	2537	tags=31%, list=13%, signal=36%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	40	0.5504763	1.8280787	0.003773585	0.050155688	0.622	2537	tags=35%, list=13%, signal=40%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	49	0.5129071	1.8092675	0.0	0.06022284	0.723	3710	tags=35%, list=19%, signal=43%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	67	0.4871616	1.8072511	0.0	0.057655454	0.737	5651	tags=46%, list=29%, signal=65%	
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	Details ...	10	0.7535489	1.8011081	0.0	0.058954336	0.77	2349	tags=60%, list=12%, signal=68%	
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	Details ...	31	0.5480832	1.7874717	0.001953125	0.06659817	0.818	4046	tags=55%, list=21%, signal=69%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	44	0.5145253	1.7806056	0.0018552876	0.068225265	0.844	2537	tags=32%, list=13%, signal=37%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	Details ...	68	0.47031623	1.7760832	0.0037523452	0.06815695	0.871	3515	tags=32%, list=18%, signal=39%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	62	0.47355166	1.7501	0.0019762847	0.08822305	0.933	2745	tags=27%, list=14%, signal=32%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.78345174	1.7498261	0.003921569	0.08417464	0.934	2328	tags=63%, list=12%, signal=71%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION		52	0.4968547	1.7473481	0.0018315018	0.08271172	0.937	2537	tags=29%, list=13%, signal=33%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION		13	0.6868554	1.7444562	0.003717472	0.081939206	0.944	2328	tags=38%, list=12%, signal=44%	
REACTOME_SEROTONIN_RECEPTORS	REACTOME_SEROTONIN_RECEPTORS		6	0.84597784	1.7425333	0.001858736	0.07985725	0.947	2053	tags=83%, list=11%, signal=93%	
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS		13	0.68646467	1.7404947	0.007575758	0.078462064	0.951	3821	tags=69%, list=20%, signal=86%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		59	0.47100362	1.732208	0.0	0.0838024	0.964	2745	tags=27%, list=14%, signal=32%	
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING		28	0.55315495	1.724547	0.008064516	0.08827365	0.972	1939	tags=25%, list=10%, signal=28%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION		21	0.59414595	1.7232403	0.007434944	0.08625322	0.973	3846	tags=48%, list=20%, signal=59%	
REACTOME_GABA_RECEPTOR_ACTIVATION	REACTOME_GABA_RECEPTOR_ACTIVATION		50	0.4895967	1.7124455	0.0038986355	0.09370455	0.987	4631	tags=56%, list=24%, signal=73%	
REACTOME_ESTROGEN_BIOSYNTHESIS	REACTOME_ESTROGEN_BIOSYNTHESIS		6	0.8343726	1.7109371	0.0056603774	0.09176868	0.988	3182	tags=83%, list=16%, signal=100%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3		43	0.49358484	1.7101748	0.0039138943	0.08952211	0.989	2537	tags=33%, list=13%, signal=37%	
