NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	91	0.6514758	2.2574725	0.0	0.0	0.0	5242	tags=90%, list=29%, signal=127%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	99	0.6097372	2.1414723	0.0	0.0	0.0	5242	tags=83%, list=29%, signal=117%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	110	0.5846497	2.085223	0.0	3.0092592E-4	0.001	5242	tags=74%, list=29%, signal=104%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	117	0.5732374	2.050696	0.0	4.513889E-4	0.002	5242	tags=71%, list=29%, signal=100%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	113	0.5722528	2.0394177	0.0	0.0012412	0.007	5247	tags=74%, list=29%, signal=105%	
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	36	0.6628014	1.9550817	0.0	0.007243514	0.047	5161	tags=92%, list=29%, signal=129%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	42	0.6317569	1.9332831	0.0	0.011577548	0.087	1681	tags=43%, list=9%, signal=47%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	39	0.6395626	1.921041	0.0	0.012703818	0.108	3352	tags=49%, list=19%, signal=60%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	11	0.85796803	1.9121269	0.0	0.013968426	0.132	1394	tags=64%, list=8%, signal=69%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	115	0.524058	1.8851571	0.0	0.021624582	0.222	5161	tags=70%, list=29%, signal=99%	
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	Details ...	34	0.6362516	1.8735859	0.0	0.023444908	0.257	4552	tags=62%, list=26%, signal=83%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	12	0.7801327	1.8434995	0.0	0.03741843	0.401	471	tags=33%, list=3%, signal=34%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	8	0.86324584	1.8243788	0.0	0.04745826	0.496	1394	tags=75%, list=8%, signal=81%	
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	50	0.57742363	1.8153322	0.0	0.05058364	0.545	5161	tags=72%, list=29%, signal=101%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	153	0.48937142	1.8069702	0.0	0.05435684	0.591	5161	tags=57%, list=29%, signal=79%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	59	0.5457594	1.7933735	0.0	0.06411026	0.675	5161	tags=61%, list=29%, signal=86%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	32	0.6245418	1.7853475	0.0	0.068197995	0.719	817	tags=28%, list=5%, signal=29%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	126	0.4868888	1.7727938	0.0012953368	0.07762247	0.785	2532	tags=38%, list=14%, signal=44%	
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	Details ...	14	0.74294907	1.765059	0.006932409	0.08168801	0.817	3191	tags=71%, list=18%, signal=87%	
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	Details ...	19	0.6808246	1.764577	0.0031847134	0.07822634	0.817	2160	tags=47%, list=12%, signal=54%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION		152	0.47769377	1.7457353	0.0	0.09988129	0.897	5161	tags=57%, list=29%, signal=79%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		8	0.83596414	1.7441612	0.0070546735	0.09708074	0.904	471	tags=50%, list=3%, signal=51%	
