NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	641	-0.21525177	---	---	1.0	0.0	6685	tags=46%, list=36%, signal=70%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	601	-0.14394502	---	---	1.0	0.0	5620	tags=35%, list=30%, signal=48%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	675	-0.16936688	---	---	1.0	0.0	3350	tags=21%, list=18%, signal=25%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	Details ...	518	-0.21373501	---	---	1.0	0.0	6187	tags=42%, list=33%, signal=61%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1293	-0.19587865	---	---	1.0	0.0	5242	tags=36%, list=28%, signal=47%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	703	-0.37316573	---	---	1.0	0.0	7227	tags=59%, list=39%, signal=93%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	753	-0.19645602	---	---	1.0	0.0	5821	tags=40%, list=31%, signal=56%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	-0.7222511	-3.245231	0.0	0.0	0.0	3553	tags=81%, list=19%, signal=100%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.6944011	-3.1163137	0.0	0.0	0.0	3553	tags=71%, list=19%, signal=87%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	88	-0.6935122	-3.0535486	0.0	0.0	0.0	3553	tags=77%, list=19%, signal=95%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	-0.7044345	-2.950499	0.0	0.0	0.0	4708	tags=88%, list=25%, signal=117%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.7363925	-2.935466	0.0	0.0	0.0	3553	tags=82%, list=19%, signal=101%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.63103145	-2.9340525	0.0	0.0	0.0	3553	tags=67%, list=19%, signal=83%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.689107	-2.8978736	0.0	0.0	0.0	3553	tags=68%, list=19%, signal=84%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.6063306	-2.7778757	0.0	0.0	0.0	5366	tags=74%, list=29%, signal=103%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	174	-0.54204524	-2.7331047	0.0	0.0	0.0	4764	tags=72%, list=26%, signal=96%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.4873255	-2.6096432	0.0	0.0	0.0	7258	tags=68%, list=39%, signal=110%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Details ...	64	-0.58829254	-2.4685097	0.0	0.0	0.0	6285	tags=78%, list=34%, signal=117%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	Details ...	31	-0.6467559	-2.3583229	0.0	1.0356145E-4	0.001	5301	tags=84%, list=28%, signal=117%	
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Details ...	22	-0.7232	-2.3367133	0.0	2.0228581E-4	0.002	4423	tags=91%, list=24%, signal=119%	
ARGININE DEGRADATION	ARGININE DEGRADATION		21	-0.7065011	-2.296704	0.0	1.9265315E-4	0.002	5127	tags=95%, list=28%, signal=131%	
REACTOME_MITOCHONDRIAL_BIOGENESIS	REACTOME_MITOCHONDRIAL_BIOGENESIS		93	-0.5060575	-2.2846525	0.0	2.8047294E-4	0.003	5127	tags=59%, list=28%, signal=81%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS		20	-0.7051796	-2.2807114	0.0	2.6827847E-4	0.003	5127	tags=95%, list=28%, signal=131%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		203	-0.46518898	-2.2630384	0.0	4.3382647E-4	0.005	7082	tags=65%, list=38%, signal=103%	
REACTOME_PCP_CE_PATHWAY	REACTOME_PCP_CE_PATHWAY		89	-0.48713735	-2.2626412	0.0	4.1647343E-4	0.005	4740	tags=56%, list=25%, signal=75%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION		42	-0.58336574	-2.2600052	0.0	4.0045517E-4	0.005	3020	tags=48%, list=16%, signal=57%	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS		62	-0.53591114	-2.2477918	0.0	4.6039975E-4	0.006	4660	tags=61%, list=25%, signal=81%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL		60	-0.534866	-2.1893775	0.0	7.3779403E-4	0.01	6368	tags=73%, list=34%, signal=111%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD		114	-0.4727879	-2.1858606	0.0	7.880726E-4	0.011	8503	tags=84%, list=46%, signal=154%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION		118	-0.46604523	-2.1738586	0.0	8.9842087E-4	0.013	8732	tags=88%, list=47%, signal=165%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING		18	-0.70201796	-2.1714041	0.0	9.415757E-4	0.014	5127	tags=94%, list=28%, signal=130%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME		57	-0.5386397	-2.1679783	0.0	9.121515E-4	0.014	5591	tags=72%, list=30%, signal=102%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1		53	-0.52206993	-2.134254	0.0	0.001765957	0.028	5591	tags=72%, list=30%, signal=102%	
REACTOME_NEUROTRANSMITTER_CLEARANCE	REACTOME_NEUROTRANSMITTER_CLEARANCE		10	-0.785587	-2.1278014	0.0	0.0018940928	0.031	931	tags=50%, list=5%, signal=53%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		92	-0.4683895	-2.1117566	0.0	0.0026086292	0.044	8732	tags=87%, list=47%, signal=163%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA		53	-0.52052414	-2.1065416	0.0	0.0027179178	0.047	5591	tags=72%, list=30%, signal=102%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION		160	-0.43850356	-2.0913224	0.0	0.0034812968	0.061	6439	tags=62%, list=35%, signal=94%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN		53	-0.50412244	-2.0719838	0.0	0.0043735052	0.078	5591	tags=68%, list=30%, signal=97%	
REACTOME_HEDGEHOG_ON_STATE	REACTOME_HEDGEHOG_ON_STATE		84	-0.467823	-2.0525548	0.0	0.0057048653	0.102	4907	tags=55%, list=26%, signal=74%	
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING		60	-0.47832403	-2.0504608	0.0	0.005617141	0.103	5591	tags=67%, list=30%, signal=95%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING		54	-0.48635125	-2.0450845	0.0	0.0057359673	0.108	4907	tags=63%, list=26%, signal=85%	
TAURO-CHOLATE SYNTHESIS	TAURO-CHOLATE SYNTHESIS		25	-0.6073698	-2.0373096	0.0	0.0060580326	0.117	5127	tags=84%, list=28%, signal=116%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		100	-0.43660104	-2.0321925	0.0	0.0064460766	0.126	8732	tags=86%, list=47%, signal=161%	
REACTOME_NEDDYLATION	REACTOME_NEDDYLATION		239	-0.38823572	-2.0179856	0.0	0.0074281907	0.148	5636	tags=54%, list=30%, signal=77%	
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS		85	-0.44760108	-2.014723	0.0	0.0074985228	0.153	5591	tags=58%, list=30%, signal=82%	
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS		54	-0.5051831	-2.012777	0.0	0.0075112935	0.157	4159	tags=50%, list=22%, signal=64%	
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN		69	-0.45688725	-2.0010617	0.0	0.008198532	0.175	4907	tags=59%, list=26%, signal=80%	
BETA-ALANINE SYNTHESIS	BETA-ALANINE SYNTHESIS		13	-0.692054	-1.9679065	0.0	0.012335334	0.255	4423	tags=92%, list=24%, signal=121%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS		53	-0.48181155	-1.9563367	0.0	0.01409224	0.294	2697	tags=42%, list=14%, signal=48%	
LINOLEATE DEGRADATION	LINOLEATE DEGRADATION		9	-0.7907476	-1.9474163	0.0	0.015353937	0.319	3909	tags=100%, list=21%, signal=126%	
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	REACTOME_LIGAND_RECEPTOR_INTERACTIONS		8	-0.8027493	-1.9371251	0.003012048	0.017138297	0.354	3361	tags=88%, list=18%, signal=107%	
