NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.8413168	2.6528742	0.0	0.0	0.0	1291	tags=66%, list=7%, signal=70%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.8694196	2.6507313	0.0	0.0	0.0	1291	tags=78%, list=7%, signal=84%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.84510016	2.620936	0.0	0.0	0.0	2012	tags=79%, list=11%, signal=89%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.83501923	2.6120045	0.0	0.0	0.0	1374	tags=72%, list=7%, signal=78%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.8155784	2.6100903	0.0	0.0	0.0	1291	tags=58%, list=7%, signal=62%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	80	0.8206971	2.6033282	0.0	0.0	0.0	1291	tags=63%, list=7%, signal=67%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.809796	2.579573	0.0	0.0	0.0	1291	tags=55%, list=7%, signal=58%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.8405919	2.5669525	0.0	0.0	0.0	2173	tags=85%, list=12%, signal=96%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.81805664	2.566385	0.0	0.0	0.0	1374	tags=69%, list=7%, signal=74%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	0.79028654	2.5396903	0.0	0.0	0.0	2012	tags=62%, list=11%, signal=69%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	0.78025866	2.5396132	0.0	0.0	0.0	2694	tags=71%, list=14%, signal=82%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.79361296	2.53324	0.0	0.0	0.0	2173	tags=67%, list=12%, signal=75%	
