NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	26	-0.6494149	-2.0627074	0.0	0.02699607	0.031	848	tags=31%, list=5%, signal=32%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	472	-0.38429135	-1.9453614	0.0	0.10925203	0.221	4153	tags=43%, list=23%, signal=54%	
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	Details ...	13	-0.7297343	-1.9174881	0.0	0.11329795	0.321	4842	tags=92%, list=27%, signal=126%	
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	Details ...	9	-0.7899276	-1.9083838	0.002173913	0.09699156	0.358	2509	tags=89%, list=14%, signal=103%	
REACTOME_RELAXIN_RECEPTORS	REACTOME_RELAXIN_RECEPTORS	Details ...	5	-0.92897236	-1.8543663	0.0	0.1601398	0.617	1285	tags=80%, list=7%, signal=86%	
REACTOME_PHASE_3_RAPID_REPOLARISATION	REACTOME_PHASE_3_RAPID_REPOLARISATION	Details ...	6	-0.87988526	-1.8113496	0.0	0.22435132	0.799	848	tags=67%, list=5%, signal=70%	
REACTOME_FREE_FATTY_ACID_RECEPTORS	REACTOME_FREE_FATTY_ACID_RECEPTORS	Details ...	4	-0.96223605	-1.8009733	0.0	0.21719214	0.836	264	tags=75%, list=1%, signal=76%	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Details ...	21	-0.5991231	-1.7920038	0.0048076925	0.21164456	0.861	3388	tags=57%, list=19%, signal=70%	
REACTOME_P2Y_RECEPTORS	REACTOME_P2Y_RECEPTORS	Details ...	10	-0.7304943	-1.7731868	0.006329114	0.23065738	0.918	946	tags=40%, list=5%, signal=42%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE	Details ...	25	-0.5713742	-1.7692761	0.006802721	0.21723212	0.922	2830	tags=40%, list=16%, signal=47%	
REACTOME_SODIUM_CALCIUM_EXCHANGERS	REACTOME_SODIUM_CALCIUM_EXCHANGERS	Details ...	9	-0.7334019	-1.7508979	0.0022883294	0.2400595	0.963	1962	tags=33%, list=11%, signal=37%	
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	Details ...	14	-0.6708155	-1.750253	0.0065934067	0.22190246	0.963	1071	tags=36%, list=6%, signal=38%	
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	Details ...	25	-0.55742013	-1.7295562	0.007025761	0.26068926	0.982	2291	tags=44%, list=13%, signal=50%	
REACTOME_TRAIL_SIGNALING	REACTOME_TRAIL_SIGNALING	Details ...	8	-0.75671566	-1.7213193	0.008333334	0.2646899	0.989	2520	tags=63%, list=14%, signal=73%	
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	Details ...	16	-0.6174557	-1.7166451	0.013333334	0.25960475	0.989	4412	tags=75%, list=24%, signal=99%	
REACTOME_SIGNAL_ATTENUATION	REACTOME_SIGNAL_ATTENUATION	Details ...	10	-0.70471233	-1.7076964	0.013363029	0.26373023	0.994	2995	tags=50%, list=16%, signal=60%	
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	Details ...	16	-0.5965126	-1.6601037	0.013245033	0.3928932	0.999	2291	tags=56%, list=13%, signal=64%	
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	Details ...	18	-0.5728476	-1.6551325	0.018099548	0.38866824	1.0	4566	tags=56%, list=25%, signal=74%	
REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	Details ...	11	-0.65087575	-1.6360992	0.02736842	0.4372132	1.0	3513	tags=45%, list=19%, signal=56%	
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	Details ...	17	-0.5817074	-1.6183068	0.038724374	0.48541555	1.0	2465	tags=29%, list=14%, signal=34%	
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS		14	-0.6011335	-1.6082397	0.0349345	0.5057554	1.0	2290	tags=36%, list=13%, signal=41%	
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE		49	-0.44161412	-1.6038262	0.019900497	0.5022408	1.0	5310	tags=43%, list=29%, signal=60%	
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS	REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS		11	-0.6649275	-1.5954888	0.020746889	0.5160856	1.0	2838	tags=36%, list=16%, signal=43%	
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS		10	-0.64359474	-1.5723286	0.039583333	0.5979786	1.0	1844	tags=40%, list=10%, signal=44%	
REACTOME_PROTEIN_REPAIR	REACTOME_PROTEIN_REPAIR		6	-0.76033664	-1.5669087	0.035490606	0.59951156	1.0	3296	tags=83%, list=18%, signal=102%	
REACTOME_DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT	REACTOME_DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT		4	-0.8400978	-1.5612781	0.016393442	0.603868	1.0	2208	tags=75%, list=12%, signal=85%	
REACTOME_INTERLEUKIN_1_SIGNALING	REACTOME_INTERLEUKIN_1_SIGNALING		114	-0.36653847	-1.5551839	0.005524862	0.6109298	1.0	3601	tags=27%, list=20%, signal=34%	
REACTOME_DISINHIBITION_OF_SNARE_FORMATION	REACTOME_DISINHIBITION_OF_SNARE_FORMATION		5	-0.7875402	-1.5446222	0.032520324	0.6399839	1.0	2398	tags=60%, list=13%, signal=69%	
