NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	33	0.7686098	2.4352593	0.0	0.0	0.0	509	tags=39%, list=3%, signal=40%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	84	0.63115937	2.388399	0.0	0.0	0.0	1282	tags=37%, list=7%, signal=40%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	109	0.59879565	2.3600264	0.0	0.0	0.0	2404	tags=35%, list=13%, signal=40%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	31	0.74226487	2.342698	0.0	0.0	0.0	1190	tags=58%, list=7%, signal=62%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	47	0.66513956	2.2515833	0.0	0.0	0.0	3211	tags=53%, list=18%, signal=64%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	53	0.63941723	2.2123733	0.0	0.0	0.0	3410	tags=51%, list=19%, signal=63%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	44	0.66331494	2.208095	0.0	0.0	0.0	3410	tags=55%, list=19%, signal=67%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	49	0.6310242	2.1980171	0.0	0.0	0.0	2143	tags=41%, list=12%, signal=46%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	64	0.6033438	2.1830916	0.0	0.0	0.0	2143	tags=36%, list=12%, signal=41%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	Details ...	73	0.58757865	2.1665397	0.0	3.3440645E-4	0.003	1927	tags=29%, list=11%, signal=32%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	41	0.6533253	2.1634068	0.0	3.0400587E-4	0.003	3211	tags=49%, list=18%, signal=59%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	Details ...	18	0.7799692	2.1415167	0.0	2.7867203E-4	0.003	1927	tags=61%, list=11%, signal=68%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	63	0.58701897	2.1358936	0.0	2.5723572E-4	0.003	1346	tags=32%, list=7%, signal=34%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	48	0.6281657	2.135165	0.0	2.3886174E-4	0.003	2495	tags=42%, list=14%, signal=48%	
