NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	43	0.8392398	2.700596	0.0	0.0	0.0	1858	tags=74%, list=9%, signal=82%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	100	0.7120327	2.6177204	0.0	0.0	0.0	3262	tags=61%, list=16%, signal=72%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	155	0.667388	2.5848997	0.0	0.0	0.0	4095	tags=68%, list=20%, signal=85%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	45	0.8002149	2.5581105	0.0	0.0	0.0	1621	tags=64%, list=8%, signal=70%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	89	0.70679456	2.5450845	0.0	0.0	0.0	4751	tags=80%, list=23%, signal=104%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	85	0.6836387	2.4322584	0.0	0.0	0.0	4552	tags=72%, list=22%, signal=92%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	166	0.6179935	2.4276388	0.0	0.0	0.0	5142	tags=64%, list=25%, signal=86%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	64	0.716797	2.4220026	0.0	0.0	0.0	4552	tags=83%, list=22%, signal=106%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	90	0.668456	2.4107494	0.0	0.0	0.0	2343	tags=46%, list=12%, signal=51%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	57	0.7244176	2.4093885	0.0	0.0	0.0	4552	tags=82%, list=22%, signal=106%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	56	0.7134401	2.3943295	0.0	0.0	0.0	4552	tags=82%, list=22%, signal=106%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	57	0.7124472	2.3597627	0.0	0.0	0.0	5125	tags=88%, list=25%, signal=117%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	49	0.71129733	2.3221412	0.0	0.0	0.0	5125	tags=90%, list=25%, signal=120%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Details ...	21	0.8398992	2.3099008	0.0	0.0	0.0	1975	tags=62%, list=10%, signal=69%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	427	0.5469938	2.3066056	0.0	0.0	0.0	3087	tags=35%, list=15%, signal=40%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	60	0.66885334	2.2848191	0.0	0.0	0.0	3004	tags=47%, list=15%, signal=55%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	466	0.53947425	2.2773979	0.0	0.0	0.0	3162	tags=31%, list=16%, signal=36%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	662	0.5275508	2.2682667	0.0	0.0	0.0	3087	tags=33%, list=15%, signal=37%	
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	REACTOME_DISEASES_OF_IMMUNE_SYSTEM	Details ...	31	0.7329562	2.2348237	0.0	0.0	0.0	3577	tags=65%, list=18%, signal=78%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	84	0.5991517	2.1741006	0.0	8.883064E-5	0.002	4867	tags=57%, list=24%, signal=75%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING		21	0.78938764	2.1641445	0.0	8.4600615E-5	0.002	2768	tags=67%, list=14%, signal=77%	
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION		26	0.75067	2.1583164	0.0	1.2118575E-4	0.003	3058	tags=62%, list=15%, signal=72%	
REACTOME_IRAK4_DEFICIENCY_TLR2_4	REACTOME_IRAK4_DEFICIENCY_TLR2_4		18	0.80802643	2.140764	0.0	1.1591681E-4	0.003	3287	tags=78%, list=16%, signal=93%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION		57	0.6398136	2.1316082	0.0	1.11086934E-4	0.003	5125	tags=77%, list=25%, signal=103%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING		185	0.54859686	2.131433	0.0	1.0664346E-4	0.003	3040	tags=32%, list=15%, signal=37%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE		33	0.70438063	2.1246102	0.0	1.0254179E-4	0.003	2018	tags=39%, list=10%, signal=44%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	0.87095255	2.1186185	0.0	9.874395E-5	0.003	154	tags=46%, list=1%, signal=46%	
