NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Details ...	29	0.68445164	1.9920741	0.0	0.059910566	0.052	3513	tags=66%, list=18%, signal=80%	
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	Details ...	18	0.7378392	1.9222379	0.0	0.089780465	0.137	4229	tags=78%, list=22%, signal=100%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	124	0.5069904	1.9070429	0.0	0.07438976	0.173	2321	tags=31%, list=12%, signal=36%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	35	0.6226768	1.9064023	0.0	0.055792324	0.173	1162	tags=37%, list=6%, signal=39%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	41	0.6021195	1.8994154	0.0	0.05035758	0.196	4147	tags=73%, list=22%, signal=93%	
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING	REACTOME_FRS_MEDIATED_FGFR2_SIGNALING	Details ...	19	0.71283346	1.8783722	0.0022421526	0.061514895	0.277	1184	tags=37%, list=6%, signal=39%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	59	0.5593641	1.8635603	0.0	0.06621679	0.338	4639	tags=49%, list=24%, signal=65%	
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING	REACTOME_FRS_MEDIATED_FGFR3_SIGNALING	Details ...	16	0.73620784	1.8611451	0.0021881838	0.05895429	0.343	841	tags=31%, list=4%, signal=33%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	191	0.46184817	1.8523477	0.0	0.059299413	0.376	3515	tags=44%, list=18%, signal=53%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.7676164	1.8337992	0.0	0.07323205	0.485	2460	tags=62%, list=13%, signal=71%	
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	Details ...	48	0.57002944	1.8318064	0.0	0.0687679	0.494	3082	tags=27%, list=16%, signal=32%	
REACTOME_SHC_MEDIATED_CASCADE_FGFR3	REACTOME_SHC_MEDIATED_CASCADE_FGFR3	Details ...	14	0.7593076	1.8232299	0.0	0.0694718	0.529	841	tags=36%, list=4%, signal=37%	
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	Details ...	10	0.83139473	1.8100753	0.0021459227	0.07857829	0.595	1504	tags=40%, list=8%, signal=43%	
REACTOME_PI_3K_CASCADE_FGFR3	REACTOME_PI_3K_CASCADE_FGFR3	Details ...	14	0.7356007	1.808436	0.0	0.07519466	0.605	841	tags=36%, list=4%, signal=37%	
REACTOME_PI_3K_CASCADE_FGFR2	REACTOME_PI_3K_CASCADE_FGFR2	Details ...	17	0.7124092	1.8034924	0.0021978023	0.07652748	0.633	1184	tags=41%, list=6%, signal=44%	
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	Details ...	12	0.7825816	1.8011293	0.001992032	0.073761456	0.644	1184	tags=58%, list=6%, signal=62%	
REACTOME_SHC_MEDIATED_CASCADE_FGFR4	REACTOME_SHC_MEDIATED_CASCADE_FGFR4	Details ...	15	0.7079793	1.8005219	0.0021786492	0.07035756	0.648	1830	tags=40%, list=10%, signal=44%	
