NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.9386006	-2.509756	0.0	0.0	0.0	827	tags=92%, list=4%, signal=96%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.92224914	-2.4959607	0.0	0.0	0.0	827	tags=76%, list=4%, signal=79%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.88763803	-2.474198	0.0	0.0	0.0	827	tags=62%, list=4%, signal=65%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.888947	-2.4730997	0.0	0.0	0.0	1297	tags=71%, list=7%, signal=76%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.90810716	-2.4729257	0.0	0.0	0.0	1297	tags=84%, list=7%, signal=90%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	-0.90344614	-2.4535553	0.0	0.0	0.0	827	tags=83%, list=4%, signal=86%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	-0.8963363	-2.4500988	0.0	0.0	0.0	1297	tags=83%, list=7%, signal=88%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.8858219	-2.4416604	0.0	0.0	0.0	827	tags=63%, list=4%, signal=65%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	-0.8517728	-2.415127	0.0	0.0	0.0	827	tags=40%, list=4%, signal=42%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	-0.8698655	-2.411323	0.0	0.0	0.0	1297	tags=62%, list=7%, signal=67%	
