NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	68	-0.8498087	-3.346918	0.0	0.0	0.0	2016	tags=85%, list=10%, signal=95%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	-0.84057397	-3.3038838	0.0	0.0	0.0	2016	tags=76%, list=10%, signal=85%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	-0.86168367	-3.2583733	0.0	0.0	0.0	1692	tags=83%, list=9%, signal=91%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	85	-0.8077206	-3.2529137	0.0	0.0	0.0	2016	tags=66%, list=10%, signal=73%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	-0.8054739	-3.2345893	0.0	0.0	0.0	2016	tags=68%, list=10%, signal=76%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	-0.8171998	-3.198881	0.0	0.0	0.0	1692	tags=70%, list=9%, signal=76%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	115	-0.7399971	-3.1668415	0.0	0.0	0.0	2192	tags=50%, list=11%, signal=56%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	76	-0.7927613	-3.143924	0.0	0.0	0.0	2034	tags=78%, list=11%, signal=86%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	-0.7736928	-3.1309342	0.0	0.0	0.0	2016	tags=64%, list=10%, signal=71%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	-0.7617922	-3.1152499	0.0	0.0	0.0	2016	tags=61%, list=10%, signal=68%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	-0.7495118	-3.1001658	0.0	0.0	0.0	1692	tags=56%, list=9%, signal=61%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	142	-0.6907842	-3.0554655	0.0	0.0	0.0	2192	tags=43%, list=11%, signal=48%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	128	-0.6919795	-2.9851139	0.0	0.0	0.0	2100	tags=49%, list=11%, signal=55%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	152	-0.6675771	-2.9552004	0.0	0.0	0.0	2016	tags=39%, list=10%, signal=44%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	163	-0.6547746	-2.9286327	0.0	0.0	0.0	2451	tags=44%, list=13%, signal=50%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	133	-0.6658624	-2.8847075	0.0	0.0	0.0	3347	tags=56%, list=17%, signal=68%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	177	-0.6388122	-2.8618603	0.0	0.0	0.0	2162	tags=41%, list=11%, signal=46%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	-0.6873506	-2.846111	0.0	0.0	0.0	2034	tags=57%, list=11%, signal=64%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	-0.71508235	-2.776665	0.0	0.0	0.0	1692	tags=75%, list=9%, signal=82%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	183	-0.58895284	-2.7041779	0.0	0.0	0.0	2451	tags=38%, list=13%, signal=43%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL		167	-0.59381825	-2.6835325	0.0	0.0	0.0	2016	tags=41%, list=10%, signal=46%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		96	-0.64624864	-2.650998	0.0	0.0	0.0	1692	tags=57%, list=9%, signal=63%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		211	-0.56518936	-2.6009998	0.0	0.0	0.0	2192	tags=34%, list=11%, signal=38%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT		175	-0.54679203	-2.5030131	0.0	0.0	0.0	5676	tags=62%, list=30%, signal=87%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION		42	-0.65643984	-2.326627	0.0	0.0	0.0	2489	tags=50%, list=13%, signal=57%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE		53	-0.62654334	-2.3208058	0.0	0.0	0.0	5327	tags=72%, list=28%, signal=99%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT		102	-0.5439821	-2.2667196	0.0	5.0767845E-5	0.001	5660	tags=60%, list=29%, signal=84%	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC		22	-0.74308544	-2.2475202	0.0	1.00419915E-4	0.002	3704	tags=86%, list=19%, signal=107%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT		71	-0.56879306	-2.229217	0.0	9.695715E-5	0.002	6078	tags=76%, list=32%, signal=111%	
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS		26	-0.6918207	-2.220365	0.0	9.372525E-5	0.002	2121	tags=58%, list=11%, signal=65%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS		126	-0.51255274	-2.2031476	0.0	1.3486514E-4	0.003	5660	tags=58%, list=29%, signal=82%	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING		29	-0.6835745	-2.200153	0.0	1.306506E-4	0.003	4437	tags=76%, list=23%, signal=98%	
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC		190	-0.4758872	-2.1792734	0.0	1.6937396E-4	0.004	6571	tags=59%, list=34%, signal=89%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE		227	-0.4622956	-2.1782684	0.0	1.6439238E-4	0.004	6134	tags=56%, list=32%, signal=81%	
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		46	-0.60608673	-2.1757104	0.0	1.5969544E-4	0.004	5819	tags=76%, list=30%, signal=109%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		182	-0.47425568	-2.1624677	0.0	1.5525945E-4	0.004	6091	tags=57%, list=32%, signal=83%	
REACTOME_AGGREPHAGY	REACTOME_AGGREPHAGY		37	-0.6376259	-2.1612616	0.0	1.5106326E-4	0.004	3179	tags=59%, list=17%, signal=71%	
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT		124	-0.50294554	-2.1502666	0.0	2.590276E-4	0.007	6543	tags=63%, list=34%, signal=95%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE		84	-0.52468544	-2.13285	0.0	3.6022553E-4	0.01	5470	tags=56%, list=28%, signal=78%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME		57	-0.5567673	-2.129774	0.0	3.5121993E-4	0.01	5102	tags=63%, list=27%, signal=86%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1		53	-0.5652126	-2.118515	0.0	4.1285157E-4	0.012	5991	tags=72%, list=31%, signal=104%	
REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS		450	-0.42032963	-2.1150568	0.0	4.3561857E-4	0.012	4353	tags=35%, list=23%, signal=44%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE		88	-0.51532346	-2.1140661	0.0	4.2548787E-4	0.012	5470	tags=55%, list=28%, signal=76%	
