NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	174	-0.63069516	-2.970503	0.0	0.0	0.0	3307	tags=67%, list=19%, signal=82%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.57381266	-2.8296416	0.0	0.0	0.0	6042	tags=75%, list=34%, signal=112%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.6346005	-2.7378838	0.0	0.0	0.0	4414	tags=76%, list=25%, signal=101%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	52	-0.70535594	-2.716267	0.0	0.0	0.0	2008	tags=67%, list=11%, signal=76%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	88	-0.6289763	-2.6803825	0.0	0.0	0.0	3659	tags=70%, list=21%, signal=89%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.60658133	-2.6661878	0.0	0.0	0.0	3129	tags=63%, list=18%, signal=77%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	-0.6439595	-2.659435	0.0	0.0	0.0	3659	tags=74%, list=21%, signal=93%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.61996365	-2.6559126	0.0	0.0	0.0	4382	tags=71%, list=25%, signal=94%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	224	-0.533652	-2.6512084	0.0	0.0	0.0	4693	tags=54%, list=27%, signal=73%	
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Details ...	22	-0.84019077	-2.64903	0.0	0.0	0.0	2008	tags=91%, list=11%, signal=102%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	179	-0.55330104	-2.6227026	0.0	0.0	0.0	4527	tags=56%, list=26%, signal=74%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION	Details ...	157	-0.55993277	-2.5906637	0.0	0.0	0.0	4762	tags=64%, list=27%, signal=87%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Details ...	73	-0.6235896	-2.5011623	0.0	0.0	0.0	4214	tags=68%, list=24%, signal=90%	
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	Details ...	58	-0.6222523	-2.49904	0.0	0.0	0.0	4214	tags=66%, list=24%, signal=86%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Details ...	53	-0.6438414	-2.450428	0.0	0.0	0.0	4214	tags=70%, list=24%, signal=92%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.6341294	-2.4332123	0.0	0.0	0.0	5081	tags=86%, list=29%, signal=120%	
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	Details ...	67	-0.59158105	-2.424712	0.0	0.0	0.0	4214	tags=55%, list=24%, signal=72%	
REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION	Details ...	42	-0.68167734	-2.412559	0.0	0.0	0.0	4272	tags=74%, list=24%, signal=97%	
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	Details ...	59	-0.62051654	-2.4081807	0.0	0.0	0.0	4596	tags=69%, list=26%, signal=94%	
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	Details ...	23	-0.77269167	-2.4069567	0.0	0.0	0.0	3014	tags=83%, list=17%, signal=100%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		116	-0.5420024	-2.406837	0.0	0.0	0.0	4527	tags=54%, list=26%, signal=73%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT		64	-0.6078033	-2.3824987	0.0	0.0	0.0	4762	tags=73%, list=27%, signal=100%	
BETA-ALANINE SYNTHESIS	BETA-ALANINE SYNTHESIS		13	-0.89071184	-2.3822703	0.0	0.0	0.0	1349	tags=92%, list=8%, signal=100%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING		54	-0.6175367	-2.3767154	0.0	0.0	0.0	4502	tags=69%, list=26%, signal=92%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN		53	-0.6031939	-2.3684318	0.0	0.0	0.0	4214	tags=62%, list=24%, signal=82%	
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS		128	-0.5212587	-2.3640049	0.0	0.0	0.0	5904	tags=66%, list=34%, signal=98%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL		59	-0.5933903	-2.3546312	0.0	0.0	0.0	5760	tags=75%, list=33%, signal=110%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES		48	-0.62144846	-2.351033	0.0	0.0	0.0	4849	tags=77%, list=28%, signal=106%	
REACTOME_DEGRADATION_OF_DVL	REACTOME_DEGRADATION_OF_DVL		54	-0.6024481	-2.349306	0.0	0.0	0.0	4214	tags=65%, list=24%, signal=85%	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1		72	-0.5816937	-2.3389244	0.0	0.0	0.0	4502	tags=60%, list=26%, signal=80%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		202	-0.49017668	-2.3276353	0.0	0.0	0.0	6352	tags=67%, list=36%, signal=103%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION		66	-0.56689614	-2.3267002	0.0	0.0	0.0	3659	tags=70%, list=21%, signal=88%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)		45	-0.63698035	-2.323562	0.0	0.0	0.0	4414	tags=80%, list=25%, signal=107%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME		57	-0.602911	-2.3085902	0.0	4.71475E-5	0.001	4214	tags=68%, list=24%, signal=90%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS		86	-0.5406625	-2.306323	0.0	4.580043E-5	0.001	3533	tags=51%, list=20%, signal=64%	
