NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	59	0.7937007	2.6023235	0.0	0.0	0.0	1689	tags=63%, list=9%, signal=69%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	52	0.7950657	2.5441217	0.0	0.0	0.0	2326	tags=71%, list=13%, signal=81%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	62	0.77132446	2.5400708	0.0	0.0	0.0	2326	tags=61%, list=13%, signal=70%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	78	0.73003334	2.5118136	0.0	0.0	0.0	2326	tags=47%, list=13%, signal=54%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	73	0.7425053	2.5029707	0.0	0.0	0.0	2342	tags=58%, list=13%, signal=66%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	60	0.77604246	2.48904	0.0	0.0	0.0	2326	tags=65%, list=13%, signal=74%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	125	0.6810765	2.4751766	0.0	0.0	0.0	2326	tags=33%, list=13%, signal=37%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	77	0.72377753	2.4660482	0.0	0.0	0.0	2326	tags=49%, list=13%, signal=56%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	77	0.71064264	2.4086576	0.0	0.0	0.0	2326	tags=49%, list=13%, signal=56%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	156	0.6321188	2.383467	0.0	0.0	0.0	3094	tags=55%, list=17%, signal=66%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	84	0.6886524	2.356319	0.0	0.0	0.0	2326	tags=48%, list=13%, signal=54%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	144	0.623787	2.343981	0.0	0.0	0.0	1331	tags=28%, list=7%, signal=30%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	60	0.71577245	2.332568	0.0	0.0	0.0	2461	tags=62%, list=13%, signal=71%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	118	0.64516824	2.3290765	0.0	0.0	0.0	2376	tags=42%, list=13%, signal=47%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	155	0.6078625	2.300587	0.0	0.0	0.0	1331	tags=22%, list=7%, signal=23%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	87	0.66422087	2.2971766	0.0	0.0	0.0	2418	tags=52%, list=13%, signal=59%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	107	0.6418141	2.2883134	0.0	0.0	0.0	2329	tags=40%, list=13%, signal=46%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	0.8540191	2.2465162	0.0	0.0	0.0	1503	tags=71%, list=8%, signal=78%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	49	0.71823746	2.2390468	0.0	0.0	0.0	1845	tags=57%, list=10%, signal=63%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.7629205	2.2354476	0.0	0.0	0.0	1804	tags=53%, list=10%, signal=59%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		175	0.586255	2.2318048	0.0	0.0	0.0	2326	tags=25%, list=13%, signal=28%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT		68	0.67416817	2.2280455	0.0	0.0	0.0	1689	tags=49%, list=9%, signal=53%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS		134	0.6003422	2.2223127	0.0	0.0	0.0	2342	tags=35%, list=13%, signal=40%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE		95	0.6201654	2.2033198	0.0	0.0	0.0	2326	tags=45%, list=13%, signal=51%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		162	0.55859256	2.1176815	0.0	2.9258901E-5	0.001	2222	tags=35%, list=12%, signal=40%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		200	0.5404453	2.0869138	0.0	1.15975396E-4	0.004	2376	tags=31%, list=13%, signal=35%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		115	0.57274556	2.0718255	0.0	1.11680005E-4	0.004	1804	tags=21%, list=10%, signal=23%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING		41	0.6709762	2.0254629	0.0	4.1112394E-4	0.015	1791	tags=44%, list=10%, signal=48%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		66	0.6009753	2.0042355	0.0	5.2826107E-4	0.02	3711	tags=44%, list=20%, signal=55%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING		86	0.57724804	1.9920355	0.0	6.371868E-4	0.025	3348	tags=43%, list=18%, signal=52%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS		19	0.7308396	1.8955866	0.0	0.0053197467	0.196	844	tags=21%, list=5%, signal=22%	
