NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	93	-0.68777746	-2.3454866	0.0	0.0	0.0	3280	tags=58%, list=18%, signal=70%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	67	-0.69025457	-2.24122	0.0	0.0	0.0	3280	tags=61%, list=18%, signal=74%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	148	-0.6053719	-2.2157445	0.0	0.0	0.0	2842	tags=48%, list=15%, signal=56%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	162	-0.5976064	-2.198459	0.0	3.0632791E-4	0.001	4079	tags=54%, list=22%, signal=69%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	77	-0.6578354	-2.1854966	0.0	2.450623E-4	0.001	3329	tags=51%, list=18%, signal=61%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	59	-0.69788325	-2.167044	0.0	2.0421861E-4	0.001	2842	tags=58%, list=15%, signal=68%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	76	-0.6497983	-2.1099114	0.0	5.2699016E-4	0.003	2842	tags=51%, list=15%, signal=60%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	121	-0.59520453	-2.0871625	0.0	6.1282585E-4	0.004	3580	tags=40%, list=19%, signal=49%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	61	-0.6619611	-2.0849266	0.0	5.4473407E-4	0.004	3280	tags=52%, list=18%, signal=63%	
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	Details ...	135	-0.5780933	-2.068698	0.0	6.096999E-4	0.005	3654	tags=39%, list=20%, signal=48%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	592	-0.49656397	-2.0260968	0.0	0.0016793265	0.015	2842	tags=34%, list=15%, signal=39%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	59	-0.63615084	-1.9811852	0.0	0.004537182	0.044	3280	tags=54%, list=18%, signal=66%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	87	-0.5829914	-1.9524755	0.0	0.007430901	0.077	2842	tags=51%, list=15%, signal=59%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	51	-0.6268853	-1.9407393	0.0	0.00841705	0.092	3280	tags=57%, list=18%, signal=69%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	244	-0.5029601	-1.9326633	0.0	0.008841008	0.104	2816	tags=32%, list=15%, signal=37%	
