NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	74	0.8290062	2.6936293	0.0	0.0	0.0	1261	tags=51%, list=8%, signal=55%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	69	0.8264831	2.6663172	0.0	0.0	0.0	1373	tags=59%, list=8%, signal=64%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	58	0.86025405	2.6392422	0.0	0.0	0.0	1261	tags=62%, list=8%, signal=67%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	57	0.8617063	2.6370518	0.0	0.0	0.0	1373	tags=70%, list=8%, signal=76%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	50	0.8605233	2.6259248	0.0	0.0	0.0	1368	tags=78%, list=8%, signal=85%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	80	0.7965515	2.6231418	0.0	0.0	0.0	1373	tags=50%, list=8%, signal=54%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	104	0.7638727	2.6101687	0.0	0.0	0.0	1261	tags=41%, list=8%, signal=44%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	73	0.8095372	2.5839217	0.0	0.0	0.0	1261	tags=53%, list=8%, signal=58%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	58	0.8300415	2.566395	0.0	0.0	0.0	1261	tags=67%, list=8%, signal=72%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	58	0.8226347	2.5617747	0.0	0.0	0.0	1099	tags=71%, list=7%, signal=75%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	111	0.7318309	2.5223541	0.0	0.0	0.0	1373	tags=38%, list=8%, signal=41%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	130	0.7116657	2.5181615	0.0	0.0	0.0	1373	tags=35%, list=8%, signal=37%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	74	0.78221136	2.504143	0.0	0.0	0.0	1368	tags=53%, list=8%, signal=57%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	65	0.7644427	2.4588768	0.0	0.0	0.0	1261	tags=60%, list=8%, signal=65%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	121	0.69287443	2.4078043	0.0	0.0	0.0	1261	tags=31%, list=8%, signal=33%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	139	0.653349	2.2961862	0.0	0.0	0.0	1368	tags=29%, list=8%, signal=31%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	171	0.6326416	2.2818444	0.0	0.0	0.0	1261	tags=23%, list=8%, signal=25%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	87	0.6822874	2.2611325	0.0	0.0	0.0	1099	tags=46%, list=7%, signal=49%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	158	0.62882125	2.2473152	0.0	0.0	0.0	1662	tags=37%, list=10%, signal=40%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	86	0.6784852	2.2181435	0.0	0.0	0.0	1099	tags=48%, list=7%, signal=51%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		193	0.60670817	2.2152166	0.0	0.0	0.0	1373	tags=26%, list=8%, signal=28%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR		152	0.6184109	2.2045453	0.0	0.0	0.0	1368	tags=27%, list=8%, signal=29%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL		127	0.62696654	2.168407	0.0	0.0	0.0	1625	tags=45%, list=10%, signal=49%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		92	0.5970334	2.0038188	0.0	3.3237267E-4	0.01	4747	tags=76%, list=28%, signal=106%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION		32	0.6692453	1.8962204	0.0	0.004826846	0.14	2006	tags=50%, list=12%, signal=57%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		100	0.552042	1.8772347	0.0	0.0067276405	0.197	4747	tags=69%, list=28%, signal=96%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION		26	0.68836623	1.859701	0.0	0.009200479	0.269	2718	tags=50%, list=16%, signal=60%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		10	0.86176354	1.8539505	0.0	0.009924259	0.295	456	tags=40%, list=3%, signal=41%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD		114	0.5422344	1.8511462	0.0	0.010299304	0.314	4655	tags=64%, list=28%, signal=88%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		49	0.61920804	1.8435739	0.0	0.0111792525	0.343	2718	tags=33%, list=16%, signal=39%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION		118	0.5304334	1.8338516	0.0	0.0127284555	0.389	5110	tags=66%, list=31%, signal=95%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES		47	0.608952	1.8261395	0.0015479876	0.014147761	0.43	2718	tags=30%, list=16%, signal=35%	
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	REACTOME_PROLACTIN_RECEPTOR_SIGNALING		13	0.78641105	1.8174434	0.0	0.016154738	0.485	29	tags=15%, list=0%, signal=15%	
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS		11	0.8196726	1.8166194	0.0017636684	0.01584312	0.488	115	tags=27%, list=1%, signal=27%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE		25	0.6802553	1.8046945	0.0033613446	0.019017844	0.566	2757	tags=44%, list=17%, signal=53%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES		30	0.65687346	1.7991552	0.0	0.020112751	0.599	1545	tags=37%, list=9%, signal=40%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		6	0.9472662	1.7935957	0.0017699115	0.021202348	0.63	456	tags=67%, list=3%, signal=69%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS		55	0.583282	1.7854571	0.0015698588	0.023462743	0.677	1603	tags=25%, list=10%, signal=28%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION		23	0.6749725	1.7791238	0.004746835	0.025345804	0.714	2718	tags=52%, list=16%, signal=62%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		38	0.60435605	1.7685771	0.001490313	0.028669177	0.76	2849	tags=34%, list=17%, signal=41%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE		36	0.6181996	1.7596492	0.0016	0.03217886	0.811	2718	tags=31%, list=16%, signal=36%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION		32	0.62597466	1.7468367	0.003164557	0.037378363	0.861	2757	tags=34%, list=17%, signal=41%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING		17	0.7085338	1.7421545	0.0049423394	0.039217643	0.878	1533	tags=47%, list=9%, signal=52%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA		32	0.61294556	1.7417755	0.00456621	0.038618468	0.88	2718	tags=34%, list=16%, signal=41%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION		35	0.60450053	1.7383583	0.004769475	0.039873492	0.891	2718	tags=31%, list=16%, signal=37%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION		27	0.6555004	1.7372469	0.0033057851	0.039944615	0.896	2718	tags=41%, list=16%, signal=49%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR		11	0.7774056	1.726573	0.003338898	0.045087233	0.936	52	tags=9%, list=0%, signal=9%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS		17	0.6934499	1.7172062	0.001754386	0.050444912	0.959	613	tags=18%, list=4%, signal=18%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM		116	0.4978797	1.7150453	0.0	0.050899148	0.963	4862	tags=65%, list=29%, signal=91%	
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	REACTOME_LIGAND_RECEPTOR_INTERACTIONS		6	0.8842139	1.7139163	0.0	0.05062886	0.964	125	tags=33%, list=1%, signal=34%	
