NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	21	0.7190059	2.0339003	0.0	0.027790546	0.043	3070	tags=57%, list=17%, signal=69%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	91	0.51522136	1.9784259	0.0	0.037189998	0.113	6365	tags=85%, list=36%, signal=131%	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	25	0.63949984	1.9053568	0.002247191	0.08175388	0.32	3316	tags=56%, list=19%, signal=69%	
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	16	0.72923565	1.8930659	0.0021367522	0.07086598	0.357	3383	tags=56%, list=19%, signal=69%	
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	40	0.5778311	1.8785125	0.0023584906	0.07034815	0.411	3383	tags=43%, list=19%, signal=52%	
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	Details ...	15	0.7264154	1.87013	0.0	0.066256315	0.448	3348	tags=53%, list=19%, signal=66%	
REACTOME_EGFR_DOWNREGULATION	REACTOME_EGFR_DOWNREGULATION	Details ...	28	0.6139563	1.8689761	0.0	0.057981234	0.457	277	tags=14%, list=2%, signal=14%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	Details ...	9	0.8197545	1.8510387	0.0041753654	0.067459345	0.56	279	tags=56%, list=2%, signal=56%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	13	0.7343503	1.811529	0.0068649887	0.10075293	0.75	3070	tags=54%, list=17%, signal=65%	
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	21	0.633178	1.8004317	0.0021929825	0.10448505	0.793	3383	tags=43%, list=19%, signal=53%	
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	Details ...	7	0.8397806	1.7820244	0.00862069	0.118564986	0.847	2228	tags=86%, list=12%, signal=98%	
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	Details ...	7	0.82511824	1.7671291	0.0043572984	0.12980692	0.9	427	tags=29%, list=2%, signal=29%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	7	0.86274016	1.7595111	0.0043010754	0.12925385	0.917	2228	tags=86%, list=12%, signal=98%	
REACTOME_GABA_RECEPTOR_ACTIVATION	REACTOME_GABA_RECEPTOR_ACTIVATION	Details ...	41	0.52748466	1.7496073	0.002469136	0.13523312	0.942	1176	tags=22%, list=7%, signal=23%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION	Details ...	12	0.71955436	1.7440202	0.0088691795	0.13458917	0.953	2228	tags=50%, list=12%, signal=57%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	7	0.8114639	1.7334148	0.004056795	0.14320175	0.968	2228	tags=86%, list=12%, signal=98%	
