NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	121	-0.47077584	-1.9244035	0.0	0.38223496	0.234	4410	tags=41%, list=23%, signal=53%	
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	Details ...	28	-0.6198103	-1.8946726	0.002793296	0.3084467	0.345	4246	tags=50%, list=22%, signal=64%	
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	Details ...	78	-0.48738733	-1.8928869	0.0	0.21101464	0.35	5015	tags=55%, list=26%, signal=74%	
REACTOME_KEAP1_NFE2L2_PATHWAY	REACTOME_KEAP1_NFE2L2_PATHWAY	Details ...	104	-0.4658241	-1.8674489	0.0	0.22763473	0.458	5015	tags=53%, list=26%, signal=71%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	184	-0.43603718	-1.861121	0.0	0.19767135	0.488	5174	tags=45%, list=27%, signal=61%	
REACTOME_METABOLISM_OF_POLYAMINES	REACTOME_METABOLISM_OF_POLYAMINES	Details ...	57	-0.5215599	-1.85789	0.0	0.17106444	0.499	5169	tags=56%, list=27%, signal=76%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Details ...	73	-0.49714196	-1.8523834	0.0	0.15794767	0.531	5169	tags=60%, list=27%, signal=82%	
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	Details ...	28	-0.57987803	-1.824408	0.002754821	0.19418947	0.65	3081	tags=32%, list=16%, signal=38%	
REACTOME_GAP_JUNCTION_ASSEMBLY	REACTOME_GAP_JUNCTION_ASSEMBLY	Details ...	26	-0.6084582	-1.823247	0.0054945056	0.17636554	0.658	3081	tags=50%, list=16%, signal=59%	
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	Details ...	83	-0.46359864	-1.8217657	0.0	0.16164728	0.661	6720	tags=63%, list=35%, signal=96%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	229	-0.40267357	-1.8129225	0.0	0.16590424	0.715	5369	tags=42%, list=28%, signal=57%	
