NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.865435	2.7777636	0.0	0.0	0.0	1321	tags=75%, list=7%, signal=81%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.82721406	2.7210844	0.0	0.0	0.0	1321	tags=64%, list=7%, signal=68%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.8127399	2.684341	0.0	0.0	0.0	1321	tags=55%, list=7%, signal=59%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.8128115	2.643269	0.0	0.0	0.0	1321	tags=62%, list=7%, signal=66%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.8255783	2.61447	0.0	0.0	0.0	1321	tags=70%, list=7%, signal=75%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.7659109	2.5947974	0.0	0.0	0.0	1321	tags=56%, list=7%, signal=59%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.7765721	2.5878959	0.0	0.0	0.0	1792	tags=56%, list=9%, signal=61%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	0.7700302	2.582409	0.0	0.0	0.0	1321	tags=48%, list=7%, signal=51%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.77520555	2.57052	0.0	0.0	0.0	1792	tags=56%, list=9%, signal=62%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.7287088	2.5651321	0.0	0.0	0.0	1321	tags=39%, list=7%, signal=41%	
