NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	41	0.72052497	2.4949205	0.0	0.0	0.0	1929	tags=44%, list=11%, signal=49%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	32	0.73956597	2.4273906	0.0	0.0	0.0	1929	tags=47%, list=11%, signal=52%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	56	0.65445024	2.4198341	0.0	0.0	0.0	1929	tags=30%, list=11%, signal=34%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	41	0.69440037	2.3834958	0.0	0.0	0.0	2191	tags=41%, list=12%, signal=47%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	44	0.6787316	2.3696444	0.0	0.0	0.0	1929	tags=34%, list=11%, signal=38%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	36	0.7182568	2.3637922	0.0	0.0	0.0	2233	tags=44%, list=12%, signal=51%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	37	0.6962037	2.3534985	0.0	0.0	0.0	1929	tags=41%, list=11%, signal=45%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	51	0.6412283	2.2971647	0.0	0.0	0.0	1929	tags=35%, list=11%, signal=39%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	91	0.55780506	2.2596247	0.0	1.5225296E-4	0.002	6154	tags=80%, list=34%, signal=121%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	45	0.6513866	2.2515092	0.0	1.3702766E-4	0.002	1929	tags=33%, list=11%, signal=37%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	55	0.61485124	2.2446082	0.0	1.245706E-4	0.002	1929	tags=40%, list=11%, signal=45%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	59	0.6104376	2.2321198	0.0	1.1418971E-4	0.002	2233	tags=29%, list=12%, signal=33%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	35	0.6804367	2.224841	0.0	1.5764617E-4	0.003	1929	tags=43%, list=11%, signal=48%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	32	0.68996483	2.221178	0.0	1.4638572E-4	0.003	1929	tags=44%, list=11%, signal=49%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	79	0.5482329	2.1564913	0.0	2.3069183E-4	0.005	1180	tags=22%, list=6%, signal=23%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	39	0.63713014	2.142318	0.0	3.0583286E-4	0.007	1929	tags=36%, list=11%, signal=40%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	78	0.5507489	2.136719	0.0	3.2901135E-4	0.008	1929	tags=23%, list=11%, signal=26%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	49	0.60727394	2.1353533	0.0	3.1073295E-4	0.008	2951	tags=47%, list=16%, signal=56%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Details ...	57	0.5817542	2.1293962	0.0	3.681655E-4	0.01	2119	tags=30%, list=12%, signal=34%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	59	0.57161546	2.124929	0.0	3.8424678E-4	0.011	1929	tags=29%, list=11%, signal=32%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		58	0.5738543	2.1178124	0.0	4.672025E-4	0.014	1180	tags=22%, list=6%, signal=24%	
REACTOME_REPRODUCTION	REACTOME_REPRODUCTION		90	0.53236175	2.1119795	0.0	5.438717E-4	0.017	3207	tags=39%, list=18%, signal=47%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		79	0.53747666	2.1079152	0.0	5.2022515E-4	0.017	1929	tags=22%, list=11%, signal=24%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	0.8075954	2.0880356	0.0	8.5300294E-4	0.027	131	tags=38%, list=1%, signal=39%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		63	0.55399805	2.0869527	0.0	8.1888284E-4	0.027	1180	tags=22%, list=6%, signal=24%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		75	0.5417527	2.0731673	0.0	8.6916494E-4	0.03	1929	tags=21%, list=11%, signal=24%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		77	0.5359403	2.0579445	0.0	0.0012323463	0.045	1929	tags=21%, list=11%, signal=23%	
