NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	53	0.6215972	2.1957254	0.0	0.0016871635	0.002	1495	tags=28%, list=7%, signal=30%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	39	0.68755794	2.1843529	0.0	0.0012855459	0.003	1495	tags=36%, list=7%, signal=39%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	68	0.60499406	2.1807535	0.0	8.570306E-4	0.003	1495	tags=25%, list=7%, signal=27%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	51	0.64079666	2.176781	0.0	6.4277294E-4	0.003	1495	tags=29%, list=7%, signal=32%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	46	0.65056527	2.1635318	0.0	5.1421835E-4	0.003	1495	tags=30%, list=7%, signal=33%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	55	0.62075776	2.1617405	0.0	4.285153E-4	0.003	2338	tags=49%, list=11%, signal=55%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	23	0.7468011	2.155174	0.0	3.6729884E-4	0.003	3087	tags=65%, list=15%, signal=76%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	41	0.6606042	2.1545608	0.0	3.2138647E-4	0.003	1495	tags=37%, list=7%, signal=39%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	46	0.6374103	2.146928	0.0	3.822892E-4	0.004	1495	tags=33%, list=7%, signal=35%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	61	0.6145169	2.1417391	0.0	3.4406027E-4	0.004	1495	tags=28%, list=7%, signal=30%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	34	0.67423815	2.1096044	0.0	6.204603E-4	0.008	1677	tags=44%, list=8%, signal=48%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	50	0.6193131	2.1031003	0.0	5.687553E-4	0.008	1495	tags=30%, list=7%, signal=32%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	50	0.62023276	2.1011617	0.0	5.8993505E-4	0.009	1495	tags=30%, list=7%, signal=32%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	Details ...	65	0.5719418	2.096246	0.0	6.675209E-4	0.011	1293	tags=22%, list=6%, signal=23%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	44	0.61989826	2.073209	0.0	7.364667E-4	0.013	1495	tags=34%, list=7%, signal=37%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	57	0.59157795	2.062744	0.0	7.4404216E-4	0.014	1495	tags=25%, list=7%, signal=26%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.8364858	2.058704	0.0	7.0027495E-4	0.014	272	tags=38%, list=1%, signal=39%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	68	0.5622817	2.0328023	0.0	0.0010858316	0.023	1495	tags=24%, list=7%, signal=25%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	45	0.61573815	2.0315876	0.0	0.0010286825	0.023	1495	tags=33%, list=7%, signal=36%	
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	Details ...	81	0.54655915	2.0262992	0.0	0.0010617651	0.025	1781	tags=23%, list=9%, signal=26%	
REACTOME_LONG_TERM_POTENTIATION	REACTOME_LONG_TERM_POTENTIATION		23	0.7032395	2.0084984	0.0	0.0017818268	0.044	3706	tags=57%, list=18%, signal=69%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		58	0.57180756	1.9942745	0.0	0.0022725468	0.059	1495	tags=26%, list=7%, signal=28%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES		67	0.5560064	1.9942487	0.0	0.0021737404	0.059	3694	tags=46%, list=18%, signal=56%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ		55	0.5764102	1.9863085	0.0	0.0023668169	0.066	1223	tags=18%, list=6%, signal=19%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION		21	0.71814334	1.9815608	0.0021008404	0.0024773485	0.072	3241	tags=57%, list=16%, signal=68%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS		90	0.52729166	1.9759316	0.0	0.0025787277	0.078	1495	tags=19%, list=7%, signal=20%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR		74	0.5404635	1.9739186	0.0	0.0026708026	0.083	1495	tags=19%, list=7%, signal=20%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		84	0.52762306	1.9647348	0.0	0.0029970692	0.097	1495	tags=19%, list=7%, signal=20%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		88	0.5158878	1.9614211	0.0	0.0032456382	0.105	1495	tags=18%, list=7%, signal=20%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		74	0.5400185	1.9564524	0.0	0.0033069453	0.111	1495	tags=22%, list=7%, signal=23%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		9	0.873045	1.9448106	0.0	0.003964346	0.137	272	tags=56%, list=1%, signal=56%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION		68	0.53201324	1.9391115	0.0	0.0043957327	0.156	1495	tags=24%, list=7%, signal=25%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS		54	0.5557479	1.9385692	0.0	0.004262529	0.156	3731	tags=41%, list=18%, signal=50%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		60	0.5584263	1.9324654	0.0	0.0046896953	0.176	1495	tags=25%, list=7%, signal=27%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		67	0.5343508	1.9312588	0.0	0.0046777227	0.181	1809	tags=24%, list=9%, signal=26%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		86	0.51387566	1.923003	0.0	0.005228798	0.205	1495	tags=19%, list=7%, signal=20%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE		95	0.50317234	1.9195364	0.0	0.0053400327	0.212	1495	tags=16%, list=7%, signal=17%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		83	0.50223154	1.9074824	0.0	0.006156724	0.245	1495	tags=19%, list=7%, signal=21%	
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION		21	0.6647292	1.8859963	0.004464286	0.008702789	0.33	3213	tags=52%, list=15%, signal=62%	
