NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Details ...	35	-0.56094486	-1.8955268	0.0022935779	0.4751304	0.376	3680	tags=46%, list=20%, signal=57%	
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	Details ...	22	-0.6322255	-1.8761069	0.0021459227	0.2991363	0.451	3360	tags=36%, list=18%, signal=44%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	8	-0.8309583	-1.8542635	0.002020202	0.2631968	0.554	1616	tags=50%, list=9%, signal=55%	
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	Details ...	7	-0.8531846	-1.8359425	0.0	0.2518684	0.635	1670	tags=57%, list=9%, signal=63%	
REACTOME_ACTIVATION_OF_C3_AND_C5	REACTOME_ACTIVATION_OF_C3_AND_C5	Details ...	7	-0.8481581	-1.8206898	0.0	0.23879023	0.695	2838	tags=86%, list=15%, signal=101%	
REACTOME_PEROXISOMAL_LIPID_METABOLISM	REACTOME_PEROXISOMAL_LIPID_METABOLISM	Details ...	27	-0.5672887	-1.7722878	0.0043956046	0.3794212	0.897	5120	tags=52%, list=27%, signal=71%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	7	-0.7733959	-1.733605	0.006289308	0.50701106	0.972	594	tags=29%, list=3%, signal=29%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	Details ...	20	-0.59069616	-1.7175372	0.013574661	0.5238282	0.986	5798	tags=75%, list=31%, signal=108%	
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	Details ...	22	-0.5801681	-1.7071054	0.006756757	0.5212224	0.992	2306	tags=36%, list=12%, signal=41%	
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	Details ...	10	-0.718784	-1.7037114	0.010526316	0.48509538	0.993	2370	tags=60%, list=13%, signal=69%	
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	Details ...	48	-0.47583213	-1.7015367	0.0021978023	0.4514752	0.994	4690	tags=42%, list=25%, signal=55%	
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	Details ...	21	-0.5769939	-1.7000817	0.0088691795	0.42154643	0.994	4551	tags=52%, list=24%, signal=69%	
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	Details ...	30	-0.5197822	-1.6835296	0.0044247787	0.46216926	0.997	4089	tags=57%, list=22%, signal=72%	
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	REACTOME_PEROXISOMAL_PROTEIN_IMPORT	Details ...	60	-0.44604662	-1.6735387	0.0045871558	0.47310862	0.999	5136	tags=50%, list=27%, signal=69%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Details ...	73	-0.42561808	-1.673102	0.0024509805	0.443456	0.999	2186	tags=27%, list=12%, signal=31%	
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	Details ...	18	-0.5885991	-1.6719828	0.013333334	0.42054978	0.999	5724	tags=72%, list=31%, signal=104%	
REACTOME_NEUROFASCIN_INTERACTIONS	REACTOME_NEUROFASCIN_INTERACTIONS	Details ...	7	-0.78183836	-1.6698074	0.012738854	0.40437654	1.0	4089	tags=86%, list=22%, signal=110%	
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	Details ...	23	-0.5663541	-1.6696362	0.016203703	0.3827024	1.0	4690	tags=43%, list=25%, signal=58%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	23	-0.558246	-1.6677467	0.016393442	0.36955276	1.0	431	tags=17%, list=2%, signal=18%	
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	Details ...	52	-0.45944878	-1.6635792	0.004484305	0.36589316	1.0	3961	tags=46%, list=21%, signal=58%	
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES		11	-0.6698752	-1.657062	0.009920635	0.3707809	1.0	3675	tags=73%, list=20%, signal=90%	
CONVERSION OF LEUCINE TO ACETYL-COA	CONVERSION OF LEUCINE TO ACETYL-COA		6	-0.7903416	-1.6478873	0.01863354	0.3868719	1.0	2815	tags=83%, list=15%, signal=98%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA		27	-0.5274272	-1.647138	0.012903226	0.3726543	1.0	4680	tags=52%, list=25%, signal=69%	
REACTOME_CREATINE_METABOLISM	REACTOME_CREATINE_METABOLISM		9	-0.7093021	-1.631207	0.019455252	0.4144089	1.0	1707	tags=44%, list=9%, signal=49%	
REACTOME_ZINC_TRANSPORTERS	REACTOME_ZINC_TRANSPORTERS		14	-0.5963073	-1.629389	0.022821577	0.40478316	1.0	4806	tags=50%, list=26%, signal=67%	
LEUCINE DEGRADATION	LEUCINE DEGRADATION		6	-0.7903416	-1.6293803	0.006048387	0.38925186	1.0	2815	tags=83%, list=15%, signal=98%	
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM		11	-0.63666415	-1.6275064	0.024390243	0.38204908	1.0	5207	tags=64%, list=28%, signal=88%	
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM		22	-0.5408899	-1.6197708	0.014227643	0.3936104	1.0	4145	tags=55%, list=22%, signal=70%	
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS		16	-0.5811379	-1.6169199	0.021978023	0.3897074	1.0	1990	tags=25%, list=11%, signal=28%	
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT		5	-0.8042156	-1.6063266	0.0116959065	0.4159315	1.0	3675	tags=100%, list=20%, signal=124%	
REACTOME_HS_GAG_BIOSYNTHESIS	REACTOME_HS_GAG_BIOSYNTHESIS		28	-0.49658772	-1.5895456	0.017699115	0.46896663	1.0	2957	tags=36%, list=16%, signal=42%	
REACTOME_ALK_MUTANTS_BIND_TKIS	REACTOME_ALK_MUTANTS_BIND_TKIS		12	-0.62370604	-1.5822072	0.024340771	0.4852983	1.0	3770	tags=58%, list=20%, signal=73%	
REACTOME_OAS_ANTIVIRAL_RESPONSE	REACTOME_OAS_ANTIVIRAL_RESPONSE		9	-0.6780521	-1.572171	0.031446543	0.5121689	1.0	4503	tags=67%, list=24%, signal=88%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION		12	-0.6204069	-1.5683486	0.025695931	0.5119758	1.0	2603	tags=42%, list=14%, signal=48%	
REACTOME_DISEASES_OF_DNA_REPAIR	REACTOME_DISEASES_OF_DNA_REPAIR		50	-0.43145123	-1.5656418	0.0065502184	0.5086919	1.0	5876	tags=48%, list=31%, signal=70%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING		59	-0.4120137	-1.5651919	0.0045351475	0.49622625	1.0	4503	tags=47%, list=24%, signal=62%	
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY		14	-0.5904402	-1.5627936	0.046413504	0.49261993	1.0	6074	tags=79%, list=32%, signal=116%	
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10		13	-0.6165464	-1.5623552	0.048117153	0.48151028	1.0	7120	tags=92%, list=38%, signal=149%	
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC		29	-0.49287412	-1.5441855	0.023605151	0.54461145	1.0	5040	tags=41%, list=27%, signal=57%	
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS		18	-0.53717256	-1.5310193	0.03050109	0.58995247	1.0	4923	tags=56%, list=26%, signal=75%	
REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY		5	-0.79167014	-1.5304729	0.025641026	0.578338	1.0	1083	tags=60%, list=6%, signal=64%	
