NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	92	0.7266066	2.7619388	0.0	0.0	0.0	3810	tags=85%, list=20%, signal=106%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	100	0.70854646	2.7408595	0.0	0.0	0.0	3810	tags=81%, list=20%, signal=101%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	111	0.68594176	2.6771486	0.0	0.0	0.0	3882	tags=72%, list=21%, signal=90%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	118	0.6454138	2.5730212	0.0	0.0	0.0	3810	tags=67%, list=20%, signal=83%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	114	0.6496076	2.552986	0.0	0.0	0.0	3810	tags=69%, list=20%, signal=86%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	116	0.6266467	2.5009115	0.0	0.0	0.0	3810	tags=67%, list=20%, signal=84%	
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	36	0.7651153	2.4457262	0.0	0.0	0.0	3761	tags=89%, list=20%, signal=111%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	45	0.71544915	2.4283533	0.0	0.0	0.0	1191	tags=44%, list=6%, signal=47%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	154	0.58307815	2.3988452	0.0	0.0	0.0	3994	tags=56%, list=21%, signal=70%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	Details ...	153	0.55687755	2.3258774	0.0	0.0	0.0	3863	tags=56%, list=21%, signal=69%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	43	0.71148443	2.3256795	0.0	0.0	0.0	813	tags=37%, list=4%, signal=39%	
