NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	649	-0.21417892	---	---	1.0	0.0	6305	tags=40%, list=31%, signal=56%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	615	-0.18770075	---	---	1.0	0.0	4939	tags=28%, list=24%, signal=36%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	712	-0.23687217	---	---	1.0	0.0	5265	tags=35%, list=26%, signal=45%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1313	-0.18731113	---	---	1.0	0.0	4210	tags=26%, list=21%, signal=31%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	703	-0.2500389	---	---	1.0	0.0	6693	tags=40%, list=33%, signal=57%	
REACTOME_RHO_GTPASE_CYCLE	REACTOME_RHO_GTPASE_CYCLE	Details ...	445	-0.1708716	---	---	1.0	0.0	4528	tags=27%, list=22%, signal=35%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	682	-0.1766501	---	---	1.0	0.0	4544	tags=27%, list=22%, signal=34%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.6411798	-2.701247	0.0	0.0	0.0	3171	tags=53%, list=16%, signal=62%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.68655574	-2.6865177	0.0	0.0	0.0	3171	tags=60%, list=16%, signal=70%	
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	Details ...	54	-0.5453275	-2.3247569	0.0	0.0	0.0	3099	tags=41%, list=15%, signal=48%	
