NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	185	0.6781306	2.4797654	0.0	0.0	0.0	3910	tags=62%, list=20%, signal=77%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	37	0.81135756	2.4488015	0.0	0.0	0.0	2987	tags=78%, list=15%, signal=92%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.6977737	2.4264512	0.0	0.0	0.0	3255	tags=64%, list=17%, signal=77%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.7218877	2.3997347	0.0	0.0	0.0	4000	tags=78%, list=20%, signal=98%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	71	0.7072598	2.3680778	0.0	0.0	0.0	4550	tags=80%, list=23%, signal=104%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	50	0.74893725	2.3631992	0.0	0.0	0.0	737	tags=36%, list=4%, signal=37%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	114	0.67613393	2.3618019	0.0	0.0	0.0	3189	tags=63%, list=16%, signal=75%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	92	0.6874347	2.3540454	0.0	0.0	0.0	2310	tags=43%, list=12%, signal=49%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.7050384	2.3528612	0.0	0.0	0.0	4000	tags=74%, list=20%, signal=92%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	79	0.6964498	2.3506725	0.0	0.0	0.0	4550	tags=77%, list=23%, signal=100%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Details ...	38	0.7631909	2.340198	0.0	0.0	0.0	2456	tags=58%, list=12%, signal=66%	
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	Details ...	91	0.6713291	2.2985964	0.0	0.0	0.0	2647	tags=44%, list=13%, signal=51%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.67065823	2.2968009	0.0	0.0	0.0	4106	tags=66%, list=21%, signal=83%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	48	0.7254962	2.273718	0.0	0.0	0.0	2331	tags=50%, list=12%, signal=57%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	57	0.7006923	2.2673662	0.0	0.0	0.0	2331	tags=42%, list=12%, signal=48%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.65518564	2.2633626	0.0	0.0	0.0	4000	tags=61%, list=20%, signal=76%	
