NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	35	-0.692539	-2.3126767	0.0	0.0	0.0	1297	tags=34%, list=6%, signal=37%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.5685713	-2.3022811	0.0	0.0	0.0	7686	tags=80%, list=37%, signal=128%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	85	-0.56701034	-2.2971272	0.0	0.0	0.0	7675	tags=86%, list=37%, signal=137%	
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	Details ...	13	-0.8723349	-2.2719047	0.0	3.2372322E-4	0.001	1227	tags=54%, list=6%, signal=57%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	-0.5977907	-2.2277694	0.0	2.5897857E-4	0.001	7675	tags=86%, list=37%, signal=138%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.53264946	-2.1773386	0.0	0.0010976533	0.005	7458	tags=68%, list=36%, signal=106%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.5898721	-2.1698895	0.0	0.0011279887	0.006	7675	tags=81%, list=37%, signal=129%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.51986706	-2.16436	0.0	9.8699E-4	0.006	7686	tags=79%, list=37%, signal=125%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	177	-0.48780113	-2.1582878	0.0	0.0011762709	0.008	6528	tags=65%, list=32%, signal=94%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.6088827	-2.1497242	0.0	0.0013227059	0.01	5587	tags=52%, list=27%, signal=72%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.60376775	-2.136443	0.0	0.0013221492	0.011	7675	tags=87%, list=37%, signal=138%	
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	Details ...	21	-0.7247347	-2.1307812	0.0	0.0014271905	0.013	5143	tags=86%, list=25%, signal=114%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.5667138	-2.1054635	0.0	0.0016173398	0.015	5587	tags=51%, list=27%, signal=70%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	89	-0.51712525	-2.0912786	0.0	0.0024428226	0.025	7675	tags=85%, list=37%, signal=136%	
