NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.9575698	-3.6672015	0.0	0.0	0.0	414	tags=86%, list=2%, signal=87%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.8839678	-3.6620874	0.0	0.0	0.0	414	tags=50%, list=2%, signal=51%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.92047364	-3.6424549	0.0	0.0	0.0	430	tags=62%, list=2%, signal=63%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.9177439	-3.633114	0.0	0.0	0.0	474	tags=67%, list=2%, signal=69%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	95	-0.90475446	-3.607634	0.0	0.0	0.0	414	tags=63%, list=2%, signal=64%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.96850497	-3.5912983	0.0	0.0	0.0	435	tags=92%, list=2%, signal=93%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	-0.8408326	-3.5912905	0.0	0.0	0.0	414	tags=41%, list=2%, signal=42%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.9319021	-3.5852334	0.0	0.0	0.0	414	tags=72%, list=2%, signal=73%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	173	-0.8210112	-3.5800598	0.0	0.0	0.0	1181	tags=57%, list=6%, signal=60%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	-0.948676	-3.578674	0.0	0.0	0.0	547	tags=87%, list=3%, signal=89%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.90518147	-3.5648685	0.0	0.0	0.0	430	tags=63%, list=2%, signal=64%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	-0.91825044	-3.5283039	0.0	0.0	0.0	645	tags=79%, list=3%, signal=82%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.9388922	-3.5199654	0.0	0.0	0.0	430	tags=76%, list=2%, signal=77%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	-0.8226348	-3.5179622	0.0	0.0	0.0	507	tags=39%, list=2%, signal=39%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	131	-0.83854383	-3.506872	0.0	0.0	0.0	414	tags=47%, list=2%, signal=47%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	135	-0.8309943	-3.4911172	0.0	0.0	0.0	430	tags=40%, list=2%, signal=41%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	165	-0.8013322	-3.4679945	0.0	0.0	0.0	686	tags=36%, list=3%, signal=37%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	113	-0.8491088	-3.4478188	0.0	0.0	0.0	912	tags=61%, list=4%, signal=64%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	182	-0.7873515	-3.41241	0.0	0.0	0.0	1179	tags=44%, list=6%, signal=46%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION	Details ...	215	-0.74567246	-3.354313	0.0	0.0	0.0	1119	tags=34%, list=5%, signal=36%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		185	-0.7586589	-3.3385415	0.0	0.0	0.0	430	tags=29%, list=2%, signal=30%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA		69	-0.8510245	-3.199826	0.0	0.0	0.0	414	tags=83%, list=2%, signal=84%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		98	-0.77580625	-3.0928142	0.0	0.0	0.0	646	tags=61%, list=3%, signal=63%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM		801	-0.55980194	-2.8565102	0.0	0.0	0.0	3442	tags=35%, list=16%, signal=40%	
REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS		453	-0.5733004	-2.7713788	0.0	0.0	0.0	1412	tags=19%, list=7%, signal=19%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE		961	-0.4734653	-2.4156775	0.0	0.0	0.0	3677	tags=28%, list=18%, signal=32%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		1050	-0.46635783	-2.4020462	0.0	0.0	0.0	3461	tags=30%, list=17%, signal=34%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT		713	-0.47057265	-2.3423069	0.0	0.0	0.0	3686	tags=28%, list=18%, signal=33%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS		629	-0.46763158	-2.306876	0.0	0.0	0.0	1543	tags=20%, list=7%, signal=21%	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING		32	-0.6926326	-2.252072	0.0	0.0	0.0	2844	tags=56%, list=14%, signal=65%	
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY		21	-0.7658301	-2.1923475	0.0	4.9435028E-5	0.001	2016	tags=48%, list=10%, signal=53%	
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA		73	-0.57524997	-2.1684265	0.0	1.8588852E-4	0.004	5981	tags=63%, list=29%, signal=88%	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC		25	-0.71898127	-2.1672127	0.0	1.8025553E-4	0.004	2844	tags=68%, list=14%, signal=79%	
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2		78	-0.5521541	-2.1480315	0.0	2.1921434E-4	0.005	5965	tags=63%, list=29%, signal=88%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA		54	-0.59914804	-2.1433089	0.0	2.9485844E-4	0.007	5914	tags=63%, list=28%, signal=88%	
REACTOME_KEAP1_NFE2L2_PATHWAY	REACTOME_KEAP1_NFE2L2_PATHWAY		105	-0.51963603	-2.132096	0.0	4.9077714E-4	0.012	5965	tags=59%, list=29%, signal=82%	
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND		55	-0.57533234	-2.108056	0.0	9.514322E-4	0.023	4764	tags=58%, list=23%, signal=75%	
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS		130	-0.49078208	-2.0591397	0.0	0.0017673551	0.045	6093	tags=51%, list=29%, signal=71%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT		76	-0.5340851	-2.0516016	0.0	0.0019083828	0.049	4813	tags=53%, list=23%, signal=68%	
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS		60	-0.5639771	-2.0499392	0.0	0.0018958548	0.05	6073	tags=60%, list=29%, signal=84%	
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX		84	-0.5224761	-2.048916	0.0	0.0018496144	0.05	6024	tags=57%, list=29%, signal=80%	
REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION		42	-0.59884596	-2.0435946	0.0	0.001977814	0.055	6356	tags=69%, list=30%, signal=99%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE		109	-0.50243485	-2.0415726	0.0	0.0019318182	0.055	2950	tags=34%, list=14%, signal=39%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1		54	-0.5560032	-2.0370781	0.0	0.0020573467	0.059	5965	tags=63%, list=29%, signal=88%	
