NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	56	-0.7583104	-2.8541343	0.0	0.0	0.0	2039	tags=63%, list=11%, signal=70%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	66	-0.7281817	-2.8370976	0.0	0.0	0.0	3183	tags=64%, list=17%, signal=76%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	174	-0.61444044	-2.8234994	0.0	0.0	0.0	5009	tags=67%, list=27%, signal=90%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	66	-0.7279076	-2.79678	0.0	0.0	0.0	2039	tags=62%, list=11%, signal=69%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	64	-0.720256	-2.7572916	0.0	0.0	0.0	1179	tags=50%, list=6%, signal=53%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	74	-0.6898405	-2.7567399	0.0	0.0	0.0	2039	tags=57%, list=11%, signal=63%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	77	-0.68073016	-2.7408676	0.0	0.0	0.0	1214	tags=44%, list=6%, signal=47%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	81	-0.6763149	-2.7340066	0.0	0.0	0.0	3206	tags=54%, list=17%, signal=65%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	82	-0.6625152	-2.7042084	0.0	0.0	0.0	3231	tags=52%, list=17%, signal=63%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	81	-0.6717452	-2.6998987	0.0	0.0	0.0	2092	tags=44%, list=11%, signal=50%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	52	-0.70322025	-2.6472533	0.0	0.0	0.0	2825	tags=65%, list=15%, signal=77%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	89	-0.63004863	-2.6401093	0.0	0.0	0.0	3183	tags=52%, list=17%, signal=62%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.5937017	-2.6240916	0.0	0.0	0.0	5009	tags=63%, list=27%, signal=86%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.5982168	-2.5247383	0.0	0.0	0.0	5322	tags=68%, list=28%, signal=94%	
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Details ...	22	-0.8250495	-2.4966893	0.0	0.0	0.0	2279	tags=86%, list=12%, signal=98%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.5875636	-2.4720592	0.0	0.0	0.0	5060	tags=68%, list=27%, signal=92%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	108	-0.57195157	-2.4703898	0.0	0.0	0.0	2039	tags=41%, list=11%, signal=45%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	111	-0.5749346	-2.463866	0.0	0.0	0.0	1179	tags=29%, list=6%, signal=31%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	148	-0.5494975	-2.4551651	0.0	0.0	0.0	2039	tags=29%, list=11%, signal=32%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	129	-0.55808663	-2.4421668	0.0	0.0	0.0	4209	tags=47%, list=22%, signal=60%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE		85	-0.58781856	-2.4146962	0.0	0.0	0.0	5322	tags=66%, list=28%, signal=91%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE		89	-0.56995505	-2.3969138	0.0	0.0	0.0	5322	tags=65%, list=28%, signal=90%	
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION		30	-0.7325616	-2.3891046	0.0	0.0	0.0	2549	tags=67%, list=14%, signal=77%	
BETA-ALANINE SYNTHESIS	BETA-ALANINE SYNTHESIS		13	-0.8793652	-2.3329937	0.0	0.0	0.0	1873	tags=92%, list=10%, signal=102%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS		138	-0.52395666	-2.3198857	0.0	0.0	0.0	1214	tags=25%, list=6%, signal=26%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR		159	-0.5123448	-2.3143296	0.0	0.0	0.0	3238	tags=35%, list=17%, signal=42%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION		163	-0.5124731	-2.300605	0.0	0.0	0.0	5150	tags=58%, list=27%, signal=80%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION		123	-0.5272161	-2.2961872	0.0	0.0	0.0	2081	tags=32%, list=11%, signal=35%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION		67	-0.5843492	-2.283917	0.0	0.0	0.0	5120	tags=63%, list=27%, signal=86%	
REACTOME_PEROXISOMAL_LIPID_METABOLISM	REACTOME_PEROXISOMAL_LIPID_METABOLISM		27	-0.6937319	-2.2761204	0.0	0.0	0.0	3306	tags=70%, list=18%, signal=85%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA		64	-0.5833803	-2.2733934	0.0	0.0	0.0	1179	tags=53%, list=6%, signal=56%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS		57	-0.60679495	-2.2634819	0.0	3.819445E-5	0.001	6524	tags=81%, list=35%, signal=123%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION		34	-0.65851337	-2.2484353	0.0	3.7037036E-5	0.001	3088	tags=59%, list=16%, signal=70%	
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE		18	-0.77074933	-2.2380981	0.0	3.5947716E-5	0.001	2428	tags=61%, list=13%, signal=70%	
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY		21	-0.74658304	-2.2343884	0.0	3.492064E-5	0.001	2428	tags=48%, list=13%, signal=55%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT		64	-0.5764752	-2.2251413	0.0	3.395062E-5	0.001	5627	tags=64%, list=30%, signal=91%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		179	-0.4778034	-2.184685	0.0	9.635052E-5	0.003	4209	tags=38%, list=22%, signal=48%	
REACTOME_GAP_JUNCTION_ASSEMBLY	REACTOME_GAP_JUNCTION_ASSEMBLY		28	-0.6559495	-2.1628444	0.0	1.5721949E-4	0.005	3582	tags=54%, list=19%, signal=66%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)		45	-0.6013588	-2.161395	0.0	1.5318822E-4	0.005	6524	tags=80%, list=35%, signal=122%	
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM		21	-0.7117175	-2.1513996	0.0	1.789951E-4	0.006	3518	tags=86%, list=19%, signal=105%	
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III		29	-0.6561534	-2.1399374	0.0	2.3160047E-4	0.008	2428	tags=34%, list=13%, signal=40%	
REACTOME_MITOCHONDRIAL_BIOGENESIS	REACTOME_MITOCHONDRIAL_BIOGENESIS		93	-0.513217	-2.1381845	0.0	2.2608618E-4	0.008	5847	tags=62%, list=31%, signal=90%	
KREBS CYCLE - NADH GENERATION	KREBS CYCLE - NADH GENERATION		9	-0.90093064	-2.1361578	0.0	2.2082835E-4	0.008	1873	tags=100%, list=10%, signal=111%	
ASPARAGINE SYNTHESIS	ASPARAGINE SYNTHESIS		18	-0.73485434	-2.1284616	0.0	2.6943962E-4	0.01	1873	tags=67%, list=10%, signal=74%	
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		49	-0.5714049	-2.1283026	0.0	2.6345206E-4	0.01	2959	tags=39%, list=16%, signal=46%	
REACTOME_SELECTIVE_AUTOPHAGY	REACTOME_SELECTIVE_AUTOPHAGY		79	-0.53231806	-2.1277268	0.0	2.5772484E-4	0.01	3342	tags=39%, list=18%, signal=48%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION		31	-0.62179327	-2.0936813	0.0	5.013331E-4	0.02	5783	tags=77%, list=31%, signal=112%	
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS		26	-0.65864027	-2.092715	0.0	4.9088866E-4	0.02	2428	tags=46%, list=13%, signal=53%	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC		25	-0.65946555	-2.0822592	0.0	6.0115854E-4	0.025	2981	tags=52%, list=16%, signal=62%	
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION		21	-0.6844435	-2.07608	0.0	7.0886064E-4	0.03	3934	tags=67%, list=21%, signal=84%	
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND		53	-0.54869765	-2.072926	0.0	7.1874226E-4	0.031	2959	tags=43%, list=16%, signal=51%	
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		41	-0.5737403	-2.0722446	0.0	7.049203E-4	0.031	2428	tags=34%, list=13%, signal=39%	
