NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	31	0.7527651	2.2770975	0.0	0.0	0.0	1414	tags=58%, list=8%, signal=63%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	60	0.65517294	2.264858	0.0	0.0	0.0	2149	tags=42%, list=12%, signal=47%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Details ...	21	0.8117709	2.2280896	0.0	0.0	0.0	575	tags=48%, list=3%, signal=49%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	455	0.4952159	2.2109382	0.0	0.0	0.0	3500	tags=33%, list=19%, signal=40%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Details ...	220	0.5306341	2.194977	0.0	0.0	0.0	2797	tags=43%, list=15%, signal=50%	
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES	REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES	Details ...	30	0.72971904	2.1738951	0.0	1.914104E-4	0.001	2237	tags=47%, list=12%, signal=53%	
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Details ...	51	0.652837	2.1705687	0.0	1.6406606E-4	0.001	958	tags=33%, list=5%, signal=35%	
REACTOME_SLC_TRANSPORTER_DISORDERS	REACTOME_SLC_TRANSPORTER_DISORDERS	Details ...	93	0.58341914	2.128237	0.0	9.2533097E-4	0.006	1607	tags=35%, list=9%, signal=39%	
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	Details ...	13	0.8705754	2.122887	0.0	8.2251645E-4	0.006	1557	tags=85%, list=8%, signal=92%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	90	0.56949514	2.1097164	0.0	8.648907E-4	0.007	1557	tags=32%, list=8%, signal=35%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	66	0.6052216	2.100727	0.0	0.0010102679	0.009	2149	tags=38%, list=12%, signal=43%	
REACTOME_HEME_DEGRADATION	REACTOME_HEME_DEGRADATION	Details ...	13	0.8655356	2.093525	0.0	9.2607894E-4	0.009	1288	tags=62%, list=7%, signal=66%	
REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	Details ...	16	0.78416514	2.052402	0.0	0.0020132076	0.021	3174	tags=69%, list=17%, signal=83%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS	Details ...	10	0.8741568	2.0221322	0.0	0.0028453942	0.032	1979	tags=80%, list=11%, signal=90%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Details ...	74	0.55661756	1.9999774	0.0	0.0041660997	0.049	2697	tags=51%, list=15%, signal=60%	
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	Details ...	16	0.8015732	1.9902729	0.0	0.0049229586	0.061	2566	tags=69%, list=14%, signal=80%	
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	Details ...	97	0.52710754	1.9873798	0.0	0.004712022	0.062	2797	tags=43%, list=15%, signal=51%	
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	Details ...	15	0.7752682	1.9792441	0.001984127	0.005013476	0.07	2138	tags=40%, list=12%, signal=45%	
REACTOME_IRAK4_DEFICIENCY_TLR2_4	REACTOME_IRAK4_DEFICIENCY_TLR2_4	Details ...	18	0.7431962	1.9781696	0.0	0.0048176283	0.071	552	tags=33%, list=3%, signal=34%	
REACTOME_CELLULAR_HEXOSE_TRANSPORT	REACTOME_CELLULAR_HEXOSE_TRANSPORT	Details ...	19	0.7221788	1.9771211	0.0	0.004576747	0.071	1447	tags=42%, list=8%, signal=46%	
REACTOME_SURFACTANT_METABOLISM	REACTOME_SURFACTANT_METABOLISM		28	0.6732853	1.975794	0.0	0.0045410786	0.073	801	tags=32%, list=4%, signal=34%	
REACTOME_DECTIN_2_FAMILY	REACTOME_DECTIN_2_FAMILY		20	0.73229873	1.9551709	0.0	0.006667013	0.111	2232	tags=55%, list=12%, signal=62%	
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS		55	0.57771766	1.9547368	0.0	0.006430168	0.112	2495	tags=40%, list=13%, signal=46%	
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION		19	0.7186589	1.9265138	0.0	0.010135095	0.178	527	tags=32%, list=3%, signal=32%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		1004	0.40829057	1.9215375	0.0	0.01063456	0.194	3500	tags=29%, list=19%, signal=34%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE		32	0.6278456	1.9155043	0.0	0.010987022	0.208	2154	tags=41%, list=12%, signal=46%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS		185	0.4734677	1.9092029	0.0	0.011547114	0.224	2292	tags=29%, list=12%, signal=32%	
REACTOME_ORGANIC_ANION_TRANSPORT	REACTOME_ORGANIC_ANION_TRANSPORT		5	0.98639894	1.9045966	0.0	0.012475958	0.249	256	tags=100%, list=1%, signal=101%	
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE		33	0.6259802	1.9015943	0.0	0.012435395	0.258	3047	tags=67%, list=16%, signal=80%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		9	0.8647256	1.8946475	0.0	0.013517534	0.283	727	tags=56%, list=4%, signal=58%	
REACTOME_EICOSANOIDS	REACTOME_EICOSANOIDS		10	0.842505	1.8903786	0.0	0.013928994	0.294	250	tags=60%, list=1%, signal=61%	
