NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	Details ...	9	0.83589387	1.8852884	0.0	0.27131218	0.352	2245	tags=56%, list=13%, signal=63%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS	Details ...	12	0.7519574	1.7927605	0.0022123894	0.49177194	0.781	1389	tags=42%, list=8%, signal=45%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.70989406	1.7315232	0.0	0.68168	0.953	768	tags=38%, list=4%, signal=40%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	0.4553768	1.7246119	0.0	0.5506655	0.96	6214	tags=58%, list=35%, signal=89%	
REACTOME_LIPID_PARTICLE_ORGANIZATION	REACTOME_LIPID_PARTICLE_ORGANIZATION	Details ...	6	0.8468299	1.7116373	0.002074689	0.5069336	0.972	2131	tags=67%, list=12%, signal=76%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	26	0.5709633	1.6888621	0.0046189376	0.5516058	0.996	3664	tags=54%, list=20%, signal=68%	
REACTOME_GLUTATHIONE_CONJUGATION	REACTOME_GLUTATHIONE_CONJUGATION	Details ...	33	0.54669267	1.6697061	0.0075	0.5800362	1.0	2081	tags=21%, list=12%, signal=24%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	9	0.72757417	1.669285	0.017094018	0.5101677	1.0	768	tags=44%, list=4%, signal=46%	
REACTOME_CYP2E1_REACTIONS	REACTOME_CYP2E1_REACTIONS	Details ...	10	0.72828394	1.654181	0.01927195	0.5322787	1.0	408	tags=40%, list=2%, signal=41%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	0.43664756	1.6183791	0.0076726344	0.6805543	1.0	6273	tags=61%, list=35%, signal=93%	
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	Details ...	18	0.57666117	1.5789692	0.0247191	0.8785512	1.0	2245	tags=33%, list=13%, signal=38%	
REACTOME_AZATHIOPRINE_ADME	REACTOME_AZATHIOPRINE_ADME	Details ...	23	0.56119066	1.5666687	0.030837005	0.89646524	1.0	1440	tags=22%, list=8%, signal=24%	
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	Details ...	4	0.8753329	1.5579939	0.013645224	0.8920285	1.0	44	tags=25%, list=0%, signal=25%	
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	50	0.45067757	1.554956	0.0074257427	0.850281	1.0	5933	tags=48%, list=33%, signal=72%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	87	0.41232556	1.5401645	0.009925558	0.89658934	1.0	5771	tags=54%, list=32%, signal=79%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Details ...	64	0.43861353	1.5298367	0.014218009	0.91276467	1.0	6191	tags=53%, list=35%, signal=81%	
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	Details ...	10	0.6755478	1.5284184	0.043196544	0.8687549	1.0	3095	tags=50%, list=17%, signal=60%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	32	0.5004794	1.5190071	0.03809524	0.8807115	1.0	465	tags=22%, list=3%, signal=22%	
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM	Details ...	18	0.5608895	1.5078286	0.051685393	0.9121373	1.0	1030	tags=22%, list=6%, signal=24%	
REACTOME_PTK6_EXPRESSION	REACTOME_PTK6_EXPRESSION	Details ...	5	0.79750425	1.497864	0.048565123	0.934436	1.0	44	tags=20%, list=0%, signal=20%	
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5		7	0.72241825	1.4931917	0.05364807	0.92114973	1.0	641	tags=57%, list=4%, signal=59%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS		5	0.7903854	1.4857261	0.036511157	0.9294908	1.0	1340	tags=60%, list=7%, signal=65%	
REACTOME_PTK6_REGULATES_CELL_CYCLE	REACTOME_PTK6_REGULATES_CELL_CYCLE		6	0.74518585	1.4769107	0.07231405	0.94639033	1.0	482	tags=33%, list=3%, signal=34%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS		10	0.61685616	1.4615499	0.07956989	1.0	1.0	1571	tags=50%, list=9%, signal=55%	
REACTOME_HSF1_ACTIVATION	REACTOME_HSF1_ACTIVATION		28	0.4959109	1.4604452	0.06682578	0.9825778	1.0	2076	tags=18%, list=12%, signal=20%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS		14	0.5815797	1.4583367	0.05882353	0.95878553	1.0	2241	tags=50%, list=13%, signal=57%	
REACTOME_ORGANIC_ANION_TRANSPORT	REACTOME_ORGANIC_ANION_TRANSPORT		3	0.8959547	1.4571917	0.030131826	0.929879	1.0	338	tags=67%, list=2%, signal=68%	
REACTOME_MELANIN_BIOSYNTHESIS	REACTOME_MELANIN_BIOSYNTHESIS		2	0.9735224	1.4487776	0.010080645	0.9492862	1.0	223	tags=50%, list=1%, signal=51%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		112	0.37560228	1.4484841	0.0026041667	0.9182631	1.0	6965	tags=54%, list=39%, signal=87%	
REACTOME_CHYLOMICRON_ASSEMBLY	REACTOME_CHYLOMICRON_ASSEMBLY		10	0.6168314	1.4434266	0.078028746	0.9183711	1.0	3236	tags=50%, list=18%, signal=61%	
REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS		3	0.8745045	1.439068	0.051485147	0.9157575	1.0	2250	tags=100%, list=13%, signal=114%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		9	0.6525697	1.4369192	0.09615385	0.9007663	1.0	641	tags=44%, list=4%, signal=46%	
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES		10	0.61770344	1.4334728	0.111827955	0.89387023	1.0	465	tags=30%, list=3%, signal=31%	
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES		19	0.5266632	1.4327673	0.080434784	0.87144816	1.0	409	tags=21%, list=2%, signal=22%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS		123	0.36175653	1.4060841	0.022727273	1.0	1.0	6329	tags=54%, list=35%, signal=84%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT		101	0.3678273	1.4004246	0.026894866	1.0	1.0	6329	tags=53%, list=35%, signal=82%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS		20	0.5056834	1.387435	0.0988764	1.0	1.0	6123	tags=55%, list=34%, signal=83%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION		19	0.5069202	1.3791173	0.085253455	1.0	1.0	3424	tags=58%, list=19%, signal=71%	
REACTOME_CIPROFLOXACIN_ADME	REACTOME_CIPROFLOXACIN_ADME		4	0.7704576	1.368545	0.10526316	1.0	1.0	1610	tags=50%, list=9%, signal=55%	
