NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.82291293	-3.0380552	0.0	0.0	0.0	1788	tags=63%, list=9%, signal=69%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.8521349	-3.0180633	0.0	0.0	0.0	1675	tags=76%, list=8%, signal=83%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.8814696	-2.9963264	0.0	0.0	0.0	1675	tags=87%, list=8%, signal=94%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.8214637	-2.979468	0.0	0.0	0.0	1675	tags=64%, list=8%, signal=69%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.84697294	-2.9781563	0.0	0.0	0.0	1848	tags=80%, list=9%, signal=87%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.8064339	-2.9213324	0.0	0.0	0.0	1848	tags=67%, list=9%, signal=73%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.81283426	-2.9190595	0.0	0.0	0.0	1675	tags=63%, list=8%, signal=68%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	-0.8189337	-2.8570094	0.0	0.0	0.0	1848	tags=81%, list=9%, signal=89%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	-0.79879713	-2.8516333	0.0	0.0	0.0	1848	tags=77%, list=9%, signal=84%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	-0.77838236	-2.828407	0.0	0.0	0.0	1848	tags=61%, list=9%, signal=66%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.7333616	-2.7787063	0.0	0.0	0.0	1848	tags=47%, list=9%, signal=51%	
