NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	87	0.58991396	2.213275	0.0	7.5153745E-4	0.001	2399	tags=34%, list=12%, signal=39%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	56	0.590043	2.0624645	0.0	0.0050505763	0.014	2238	tags=34%, list=11%, signal=38%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	0.6981865	1.9621643	0.0	0.02970956	0.116	1488	tags=43%, list=8%, signal=46%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	Details ...	20	0.6991563	1.9554383	0.0020703934	0.024406863	0.127	27	tags=10%, list=0%, signal=10%	
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	Details ...	22	0.6789828	1.9033196	0.0	0.046526004	0.274	3541	tags=68%, list=18%, signal=83%	
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	Details ...	16	0.7110315	1.8676156	0.0	0.07155041	0.447	2103	tags=38%, list=11%, signal=42%	
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	Details ...	13	0.743627	1.8202304	0.0063157897	0.11626418	0.664	2103	tags=46%, list=11%, signal=52%	
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	Details ...	32	0.5817531	1.8147247	0.004132231	0.1095423	0.691	2766	tags=38%, list=14%, signal=44%	
REACTOME_SIGNALING_BY_ALK	REACTOME_SIGNALING_BY_ALK	Details ...	27	0.60712373	1.7982906	0.0040983604	0.12429442	0.775	305	tags=15%, list=2%, signal=15%	
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	Details ...	13	0.71502084	1.7842327	0.004149378	0.13662986	0.845	2207	tags=46%, list=11%, signal=52%	
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	Details ...	10	0.73796517	1.7010347	0.006060606	0.32945356	0.994	1432	tags=30%, list=7%, signal=32%	
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	Details ...	15	0.6641879	1.6943744	0.013972056	0.32585695	0.995	1206	tags=20%, list=6%, signal=21%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	Details ...	20	0.6066371	1.6863462	0.012526096	0.32829636	0.998	2925	tags=50%, list=15%, signal=59%	
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	Details ...	9	0.75623024	1.6673776	0.008316008	0.37108767	1.0	1931	tags=33%, list=10%, signal=37%	
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	Details ...	26	0.56770706	1.6635289	0.006198347	0.35940754	1.0	4302	tags=42%, list=22%, signal=54%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.66444767	1.6598943	0.015533981	0.34945625	1.0	569	tags=31%, list=3%, signal=32%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.54702497	1.658158	0.009615385	0.33445212	1.0	1488	tags=28%, list=8%, signal=30%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	88	0.44021198	1.6533455	0.0019569471	0.33303425	1.0	3004	tags=33%, list=15%, signal=39%	
