NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	61	0.7342347	2.5943525	0.0	0.0	0.0	1744	tags=59%, list=9%, signal=64%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	61	0.7030704	2.464727	0.0	0.0	0.0	1744	tags=56%, list=9%, signal=61%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	104	0.63902444	2.4643378	0.0	0.0	0.0	1676	tags=40%, list=8%, signal=44%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	69	0.67084616	2.4606256	0.0	0.0	0.0	1781	tags=58%, list=9%, signal=63%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	94	0.64648086	2.4602242	0.0	0.0	0.0	1781	tags=51%, list=9%, signal=56%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	61	0.68029374	2.3793726	0.0	0.0	0.0	1744	tags=59%, list=9%, signal=64%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	53	0.7056429	2.3617964	0.0	0.0	0.0	841	tags=49%, list=4%, signal=51%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	45	0.7047392	2.357218	0.0	0.0	0.0	1823	tags=58%, list=9%, signal=63%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	86	0.6195824	2.3132458	0.0	0.0	0.0	1744	tags=41%, list=9%, signal=44%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	90	0.61648077	2.2855718	0.0	0.0	0.0	2072	tags=50%, list=10%, signal=55%	
