NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	625	-0.22966546	---	---	1.0	0.0	3012	tags=22%, list=14%, signal=24%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	1035	-0.18789788	---	---	1.0	0.0	2125	tags=12%, list=10%, signal=13%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	725	-0.1859558	---	---	1.0	0.0	3678	tags=22%, list=18%, signal=26%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	709	-0.20969895	---	---	1.0	0.0	4339	tags=24%, list=21%, signal=29%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	955	-0.14945261	---	---	1.0	0.0	4847	tags=23%, list=23%, signal=29%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1370	-0.19475378	---	---	1.0	0.0	4854	tags=26%, list=23%, signal=32%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	706	-0.26501724	---	---	1.0	0.0	7804	tags=44%, list=37%, signal=68%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	772	-0.1868928	---	---	1.0	0.0	4747	tags=24%, list=23%, signal=29%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	-0.7263843	-2.7398148	0.0	0.0	0.0	2433	tags=58%, list=12%, signal=66%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	65	-0.6823429	-2.734758	0.0	0.0	0.0	2433	tags=52%, list=12%, signal=59%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	63	-0.68577933	-2.7004085	0.0	0.0	0.0	2433	tags=60%, list=12%, signal=68%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	73	-0.639128	-2.53691	0.0	0.0	0.0	2433	tags=48%, list=12%, signal=54%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	107	-0.5739013	-2.5164866	0.0	0.0	0.0	2462	tags=43%, list=12%, signal=48%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	-0.62580186	-2.4863715	0.0	0.0	0.0	2433	tags=52%, list=12%, signal=59%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.57424283	-2.453356	0.0	0.0	0.0	5901	tags=59%, list=28%, signal=82%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	65	-0.6153193	-2.4090679	0.0	0.0	0.0	3204	tags=58%, list=15%, signal=69%	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	18	-0.82276607	-2.4016623	0.0	0.0	0.0	274	tags=44%, list=1%, signal=45%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	22	-0.7790622	-2.3999035	0.0	0.0	0.0	341	tags=41%, list=2%, signal=42%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	80	-0.57721835	-2.3896565	0.0	0.0	0.0	2606	tags=45%, list=12%, signal=51%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	76	-0.57229805	-2.3288457	0.0	0.0	0.0	2433	tags=43%, list=12%, signal=49%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		92	-0.55862665	-2.3136353	0.0	0.0	0.0	2264	tags=47%, list=11%, signal=52%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND		21	-0.7330747	-2.251572	0.0	3.4573473E-4	0.004	899	tags=33%, list=4%, signal=35%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID		7	-0.98503524	-2.239822	0.0	3.3070278E-4	0.004	274	tags=86%, list=1%, signal=87%	
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM		22	-0.7156538	-2.2137308	0.0	4.8108745E-4	0.006	1076	tags=27%, list=5%, signal=29%	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS		188	-0.45499468	-2.1492667	0.0	0.0012373648	0.016	2957	tags=28%, list=14%, signal=33%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS		87	-0.52403176	-2.142273	0.0	0.0013416791	0.018	2433	tags=40%, list=12%, signal=45%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS		48	-0.56862575	-2.1203752	0.0	0.0020059056	0.028	2136	tags=35%, list=10%, signal=39%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES		33	-0.620312	-2.0948074	0.0	0.0031174147	0.045	2962	tags=42%, list=14%, signal=49%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES		33	-0.5921216	-2.0614333	0.0	0.005105635	0.074	323	tags=21%, list=2%, signal=22%	
