NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.8276731	3.097556	0.0	0.0	0.0	1772	tags=72%, list=9%, signal=79%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.80748475	3.085026	0.0	0.0	0.0	1853	tags=62%, list=9%, signal=68%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.8724955	3.0835922	0.0	0.0	0.0	1260	tags=82%, list=6%, signal=87%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.806464	3.0411747	0.0	0.0	0.0	1853	tags=66%, list=9%, signal=73%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.82870144	3.013868	0.0	0.0	0.0	1853	tags=73%, list=9%, signal=81%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.8338701	2.9842997	0.0	0.0	0.0	1772	tags=75%, list=9%, signal=83%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.820534	2.9635346	0.0	0.0	0.0	1260	tags=75%, list=6%, signal=80%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.7848153	2.941737	0.0	0.0	0.0	1418	tags=61%, list=7%, signal=65%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	165	0.71319187	2.9403589	0.0	0.0	0.0	1772	tags=40%, list=9%, signal=44%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.8016135	2.902652	0.0	0.0	0.0	1285	tags=71%, list=7%, signal=76%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	135	0.7174471	2.8651552	0.0	0.0	0.0	1853	tags=39%, list=9%, signal=43%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.729273	2.8627315	0.0	0.0	0.0	1850	tags=49%, list=9%, signal=54%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	0.75796545	2.84772	0.0	0.0	0.0	1772	tags=59%, list=9%, signal=64%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	0.72894704	2.7924538	0.0	0.0	0.0	1396	tags=54%, list=7%, signal=58%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.7683519	2.7797422	0.0	0.0	0.0	1285	tags=64%, list=7%, signal=68%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.71716607	2.7162511	0.0	0.0	0.0	1260	tags=55%, list=6%, signal=58%	
