NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.80451125	-2.5311866	0.0	0.0	0.0	2254	tags=68%, list=12%, signal=76%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	-0.8050959	-2.494473	0.0	0.0	0.0	1846	tags=70%, list=10%, signal=77%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.8208962	-2.47206	0.0	0.0	0.0	1876	tags=75%, list=10%, signal=83%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.7837443	-2.4402845	0.0	0.0	0.0	2547	tags=72%, list=13%, signal=83%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.7591574	-2.4189384	0.0	0.0	0.0	2254	tags=57%, list=12%, signal=64%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.7546324	-2.4074874	0.0	0.0	0.0	3453	tags=74%, list=18%, signal=90%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.75605744	-2.407263	0.0	0.0	0.0	1846	tags=52%, list=10%, signal=57%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	79	-0.74560225	-2.3746698	0.0	0.0	0.0	3404	tags=76%, list=18%, signal=92%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	-0.7244526	-2.358451	0.0	0.0	0.0	2254	tags=58%, list=12%, signal=65%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	71	-0.76115865	-2.3560517	0.0	0.0	0.0	2651	tags=72%, list=14%, signal=83%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	-0.72631586	-2.353027	0.0	0.0	0.0	3523	tags=66%, list=18%, signal=80%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	-0.74737716	-2.342269	0.0	0.0	0.0	2547	tags=63%, list=13%, signal=72%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	135	-0.69986874	-2.3386302	0.0	0.0	0.0	1846	tags=34%, list=10%, signal=37%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	114	-0.70848846	-2.3295243	0.0	0.0	0.0	1846	tags=53%, list=10%, signal=58%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.67473507	-2.267872	0.0	0.0	0.0	3537	tags=52%, list=18%, signal=63%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	-0.66586125	-2.2613335	0.0	0.0	0.0	2254	tags=37%, list=12%, signal=41%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	165	-0.6428457	-2.2140403	0.0	0.0	0.0	3453	tags=41%, list=18%, signal=50%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	128	-0.65594006	-2.1926231	0.0	0.0	0.0	3523	tags=52%, list=18%, signal=64%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	183	-0.6318705	-2.1917472	0.0	0.0	0.0	3448	tags=48%, list=18%, signal=58%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	181	-0.6310188	-2.188442	0.0	0.0	0.0	3404	tags=56%, list=18%, signal=67%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS		142	-0.6356801	-2.1427202	0.0	0.0	0.0	3537	tags=46%, list=18%, signal=56%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		185	-0.61214495	-2.1102397	0.0	0.0	0.0	2254	tags=28%, list=12%, signal=32%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION		36	-0.7507051	-2.090527	0.0	0.0	0.0	1216	tags=42%, list=6%, signal=44%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		10	-0.92800325	-1.9773202	0.0	5.565438E-4	0.014	1212	tags=80%, list=6%, signal=85%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		211	-0.56690735	-1.9752216	0.0	5.3428207E-4	0.014	3537	tags=38%, list=18%, signal=47%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE		71	-0.6344456	-1.9680971	0.0	6.5951224E-4	0.018	2189	tags=51%, list=11%, signal=57%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION		187	-0.55837286	-1.9457005	0.0	0.0011268895	0.032	2526	tags=29%, list=13%, signal=34%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION		74	-0.60959876	-1.9194729	0.0	0.0017604015	0.05	2189	tags=49%, list=11%, signal=55%	
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE		28	-0.7089951	-1.8873621	0.0	0.0029050307	0.086	4266	tags=64%, list=22%, signal=83%	
REACTOME_DEFENSINS	REACTOME_DEFENSINS		14	-0.82410526	-1.885248	0.0015128592	0.0028713862	0.087	2960	tags=79%, list=15%, signal=93%	
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5		8	-0.9356269	-1.8830565	0.0	0.0028999522	0.089	1212	tags=88%, list=6%, signal=93%	
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION		25	-0.7253507	-1.8662872	0.0	0.0038992444	0.119	2023	tags=40%, list=11%, signal=45%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME		34	-0.6744133	-1.8644619	0.0	0.0039239326	0.123	3350	tags=50%, list=18%, signal=61%	
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	REACTOME_G1_S_SPECIFIC_TRANSCRIPTION		29	-0.7001918	-1.8593417	0.0	0.0041736355	0.135	3903	tags=55%, list=20%, signal=69%	
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS		16	-0.7769304	-1.854028	0.0	0.004543158	0.151	2023	tags=56%, list=11%, signal=63%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES		45	-0.6335366	-1.8335536	0.0	0.0069494215	0.233	3111	tags=51%, list=16%, signal=61%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS		44	-0.6277895	-1.8251427	0.0	0.008018764	0.267	3672	tags=43%, list=19%, signal=53%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT		110	-0.5535619	-1.8179185	0.0	0.009253544	0.31	5878	tags=49%, list=31%, signal=70%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		120	-0.5423982	-1.8083105	0.0	0.011201146	0.37	4577	tags=44%, list=24%, signal=58%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION		32	-0.6449482	-1.786379	0.0	0.01639355	0.51	4606	tags=66%, list=24%, signal=86%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION		16	-0.75862914	-1.7861779	0.0016447369	0.016063517	0.512	1505	tags=50%, list=8%, signal=54%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		1041	-0.4729825	-1.762712	0.0	0.02303913	0.659	4796	tags=37%, list=25%, signal=47%	
REACTOME_DIGESTION	REACTOME_DIGESTION		12	-0.7859094	-1.7561963	0.0	0.02525709	0.704	1505	tags=50%, list=8%, signal=54%	
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS		10	-0.8110632	-1.75428	0.003338898	0.02558863	0.722	1298	tags=40%, list=7%, signal=43%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE		38	-0.62117845	-1.7535386	0.0055710305	0.025251478	0.723	3421	tags=50%, list=18%, signal=61%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND		21	-0.7015002	-1.749368	0.00295858	0.026493175	0.747	2655	tags=43%, list=14%, signal=50%	
REACTOME_G0_AND_EARLY_G1	REACTOME_G0_AND_EARLY_G1		27	-0.66218346	-1.742963	0.005882353	0.02885528	0.775	3660	tags=44%, list=19%, signal=55%	
REACTOME_UNWINDING_OF_DNA	REACTOME_UNWINDING_OF_DNA		12	-0.77879834	-1.7425867	0.003215434	0.028411314	0.777	3700	tags=92%, list=19%, signal=114%	
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY		8	-0.85624844	-1.7303082	0.0017006802	0.034164395	0.83	199	tags=25%, list=1%, signal=25%	
REACTOME_SURFACTANT_METABOLISM	REACTOME_SURFACTANT_METABOLISM		29	-0.64409155	-1.7293516	0.0028248588	0.03425621	0.832	3331	tags=48%, list=17%, signal=58%	
REACTOME_EICOSANOIDS	REACTOME_EICOSANOIDS		11	-0.7935897	-1.72915	0.0016501651	0.033603217	0.832	1868	tags=73%, list=10%, signal=81%	
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION		22	-0.6936512	-1.7267143	0.0014705883	0.034141462	0.841	1732	tags=45%, list=9%, signal=50%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM		55	-0.57586277	-1.7254345	0.0	0.034015764	0.843	2356	tags=35%, list=12%, signal=39%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION		475	-0.46562022	-1.7177653	0.0	0.038004316	0.885	4778	tags=39%, list=25%, signal=51%	
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX		19	-0.6963724	-1.7174935	0.0029411765	0.037417002	0.885	2298	tags=47%, list=12%, signal=54%	
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS		11	-0.77963686	-1.6991616	0.004901961	0.04782926	0.936	1298	tags=36%, list=7%, signal=39%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM		793	-0.4561225	-1.6972911	0.0	0.048289843	0.942	4425	tags=32%, list=23%, signal=40%	
REACTOME_CARDIAC_CONDUCTION	REACTOME_CARDIAC_CONDUCTION		115	-0.5164292	-1.694809	0.0	0.049436305	0.947	2622	tags=27%, list=14%, signal=31%	
