NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	68	0.79819816	2.8792999	0.0	0.0	0.0	1322	tags=43%, list=7%, signal=46%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES	Details ...	115	0.7089034	2.7715423	0.0	0.0	0.0	1322	tags=25%, list=7%, signal=27%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	52	0.81035775	2.7520773	0.0	0.0	0.0	1322	tags=48%, list=7%, signal=51%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	43	0.8393834	2.7451816	0.0	0.0	0.0	1322	tags=60%, list=7%, signal=65%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	90	0.7323859	2.7324502	0.0	0.0	0.0	1322	tags=33%, list=7%, signal=36%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	49	0.7924379	2.6806862	0.0	0.0	0.0	1322	tags=51%, list=7%, signal=55%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	67	0.7316948	2.6606023	0.0	0.0	0.0	1322	tags=37%, list=7%, signal=40%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	44	0.82129097	2.6522653	0.0	0.0	0.0	1322	tags=57%, list=7%, signal=61%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	45	0.8093428	2.636998	0.0	0.0	0.0	1322	tags=56%, list=7%, signal=59%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	46	0.7939607	2.6155498	0.0	0.0	0.0	1322	tags=43%, list=7%, signal=47%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	40	0.8130144	2.612949	0.0	0.0	0.0	1322	tags=63%, list=7%, signal=67%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	39	0.8145551	2.606032	0.0	0.0	0.0	1322	tags=51%, list=7%, signal=55%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Details ...	83	0.6930896	2.5775096	0.0	0.0	0.0	1322	tags=30%, list=7%, signal=32%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	67	0.72280765	2.572531	0.0	0.0	0.0	1322	tags=37%, list=7%, signal=40%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	51	0.7571607	2.570726	0.0	0.0	0.0	1322	tags=41%, list=7%, signal=44%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	60	0.7452043	2.570715	0.0	0.0	0.0	1322	tags=42%, list=7%, signal=45%	
REACTOME_HCMV_EARLY_EVENTS	REACTOME_HCMV_EARLY_EVENTS	Details ...	107	0.66499805	2.5689654	0.0	0.0	0.0	1322	tags=29%, list=7%, signal=31%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	62	0.7141428	2.5590293	0.0	0.0	0.0	1322	tags=37%, list=7%, signal=40%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	Details ...	87	0.67305726	2.553599	0.0	0.0	0.0	1322	tags=29%, list=7%, signal=31%	
