NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	100	-0.55141515	-2.347665	0.0	0.0	0.0	2574	tags=43%, list=11%, signal=48%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	60	-0.5958902	-2.3417375	0.0	0.0	0.0	2574	tags=52%, list=11%, signal=58%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	60	-0.594788	-2.31344	0.0	0.0	0.0	2312	tags=48%, list=10%, signal=54%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	68	-0.58721846	-2.2965236	0.0	0.0	0.0	2574	tags=47%, list=11%, signal=53%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	77	-0.55426407	-2.2851164	0.0	0.0	0.0	2312	tags=42%, list=10%, signal=46%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	52	-0.59624773	-2.283576	0.0	0.0	0.0	2312	tags=50%, list=10%, signal=55%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	134	-0.50660926	-2.2652793	0.0	0.0	0.0	6015	tags=58%, list=26%, signal=78%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	121	-0.48947647	-2.2112212	0.0	0.0012040623	0.005	3104	tags=40%, list=13%, signal=46%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	107	-0.5080705	-2.1796598	0.0	0.0012905532	0.006	6015	tags=60%, list=26%, signal=80%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	86	-0.5191251	-2.1764765	0.0	0.0011614979	0.006	2375	tags=38%, list=10%, signal=43%	
