NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	63	0.77939725	2.5449982	0.0	0.0	0.0	748	tags=29%, list=4%, signal=30%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	48	0.805051	2.5317628	0.0	0.0	0.0	748	tags=33%, list=4%, signal=35%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	45	0.81029236	2.4765606	0.0	0.0	0.0	748	tags=36%, list=4%, signal=37%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	37	0.82654244	2.4717817	0.0	0.0	0.0	723	tags=38%, list=3%, signal=39%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	49	0.7912628	2.4717536	0.0	0.0	0.0	723	tags=31%, list=3%, signal=32%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	41	0.81382257	2.4643197	0.0	0.0	0.0	748	tags=39%, list=4%, signal=40%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	40	0.80475485	2.4550653	0.0	0.0	0.0	748	tags=40%, list=4%, signal=41%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	39	0.8061413	2.4419763	0.0	0.0	0.0	748	tags=41%, list=4%, signal=42%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	36	0.8080662	2.4291508	0.0	0.0	0.0	748	tags=44%, list=4%, signal=46%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	84	0.70667684	2.4216502	0.0	0.0	0.0	1856	tags=32%, list=9%, signal=35%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	Details ...	69	0.7235152	2.4197404	0.0	0.0	0.0	748	tags=28%, list=4%, signal=28%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Details ...	79	0.69715834	2.4044735	0.0	0.0	0.0	748	tags=22%, list=4%, signal=22%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	44	0.78478855	2.398828	0.0	0.0	0.0	723	tags=32%, list=3%, signal=33%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	85	0.69911677	2.3880749	0.0	0.0	0.0	748	tags=21%, list=4%, signal=22%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	66	0.7194632	2.379245	0.0	0.0	0.0	748	tags=24%, list=4%, signal=25%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	45	0.76481384	2.370468	0.0	0.0	0.0	748	tags=36%, list=4%, signal=37%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	63	0.7118648	2.3676443	0.0	0.0	0.0	748	tags=27%, list=4%, signal=28%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	56	0.72716486	2.348816	0.0	0.0	0.0	748	tags=30%, list=4%, signal=31%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	55	0.72415423	2.3446386	0.0	0.0	0.0	723	tags=25%, list=3%, signal=26%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Details ...	78	0.6881135	2.325718	0.0	0.0	0.0	748	tags=22%, list=4%, signal=23%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		83	0.6713396	2.3249269	0.0	0.0	0.0	748	tags=20%, list=4%, signal=21%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE		63	0.71000415	2.304773	0.0	0.0	0.0	748	tags=27%, list=4%, signal=28%	
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE		95	0.65758574	2.2999349	0.0	0.0	0.0	786	tags=21%, list=4%, signal=22%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE		59	0.709326	2.2806447	0.0	0.0	0.0	1671	tags=32%, list=8%, signal=35%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		81	0.66348493	2.276489	0.0	0.0	0.0	748	tags=21%, list=4%, signal=22%	
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING		81	0.66048187	2.2730591	0.0	0.0	0.0	748	tags=21%, list=4%, signal=22%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR		72	0.67036325	2.2603276	0.0	0.0	0.0	723	tags=19%, list=3%, signal=20%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		63	0.6916734	2.2426422	0.0	0.0	0.0	748	tags=25%, list=4%, signal=26%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS		61	0.6787533	2.225373	0.0	0.0	0.0	748	tags=28%, list=4%, signal=29%	
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH		76	0.65283966	2.2139723	0.0	0.0	0.0	786	tags=25%, list=4%, signal=26%	
REACTOME_MITOTIC_PROPHASE	REACTOME_MITOTIC_PROPHASE		114	0.61480016	2.210999	0.0	0.0	0.0	748	tags=14%, list=4%, signal=14%	
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS		91	0.6350231	2.1931148	0.0	0.0	0.0	748	tags=21%, list=4%, signal=22%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES		110	0.60973597	2.1732337	0.0	0.0	0.0	748	tags=16%, list=4%, signal=17%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	0.9151874	2.1702192	0.0	0.0	0.0	276	tags=54%, list=1%, signal=55%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ		54	0.6856079	2.16066	0.0	0.0	0.0	623	tags=20%, list=3%, signal=21%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		59	0.67160195	2.150685	0.0	0.0	0.0	1726	tags=32%, list=8%, signal=35%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE		94	0.6139392	2.143799	0.0	0.0	0.0	1671	tags=19%, list=8%, signal=21%	
REACTOME_HCMV_EARLY_EVENTS	REACTOME_HCMV_EARLY_EVENTS		106	0.60441184	2.126258	0.0	0.0	0.0	1286	tags=21%, list=6%, signal=22%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE		64	0.63502425	2.1153052	0.0	2.065268E-5	0.001	648	tags=19%, list=3%, signal=19%	
REACTOME_MEIOSIS	REACTOME_MEIOSIS		87	0.6124065	2.112673	0.0	2.0136365E-5	0.001	1726	tags=25%, list=8%, signal=27%	
