NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HIV_INFECTION	REACTOME_HIV_INFECTION	Details ...	227	-0.34499767	---	---	1.0	0.0	5974	tags=59%, list=30%, signal=84%	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	651	-0.34566227	---	---	1.0	0.0	6911	tags=59%, list=35%, signal=87%	
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	Details ...	289	-0.27757382	---	---	1.0	0.0	6722	tags=49%, list=34%, signal=73%	
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	Details ...	289	-0.2795744	---	---	1.0	0.0	4925	tags=41%, list=25%, signal=53%	
REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT	Details ...	288	-0.2035701	---	---	1.0	0.0	4920	tags=40%, list=25%, signal=52%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	614	-0.20021458	---	---	1.0	0.0	6000	tags=46%, list=30%, signal=63%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	232	-0.48406392	---	---	1.0	0.0	5974	tags=62%, list=30%, signal=88%	
REACTOME_CHROMATIN_MODIFYING_ENZYMES	REACTOME_CHROMATIN_MODIFYING_ENZYMES	Details ...	237	-0.2990593	---	---	1.0	0.0	6968	tags=59%, list=35%, signal=89%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	358	-0.2629346	---	---	1.0	0.0	6831	tags=53%, list=34%, signal=79%	
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	Details ...	212	-0.30982387	---	---	1.0	0.0	7228	tags=67%, list=36%, signal=104%	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Details ...	301	-0.15407602	---	---	1.0	0.0	6021	tags=38%, list=30%, signal=53%	
REACTOME_PROGRAMMED_CELL_DEATH	REACTOME_PROGRAMMED_CELL_DEATH	Details ...	207	-0.18216619	---	---	1.0	0.0	4919	tags=40%, list=25%, signal=53%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	704	-0.16523585	---	---	1.0	0.0	4173	tags=28%, list=21%, signal=34%	
REACTOME_CILIUM_ASSEMBLY	REACTOME_CILIUM_ASSEMBLY	Details ...	196	-0.19024563	---	---	1.0	0.0	5942	tags=37%, list=30%, signal=52%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	423	-0.18179592	---	---	1.0	0.0	4988	tags=39%, list=25%, signal=51%	
REACTOME_DEUBIQUITINATION	REACTOME_DEUBIQUITINATION	Details ...	258	-0.29456845	---	---	1.0	0.0	5672	tags=50%, list=28%, signal=70%	
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	Details ...	181	-0.3242309	---	---	1.0	0.0	5672	tags=55%, list=28%, signal=76%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1350	-0.1820303	---	---	1.0	0.0	5684	tags=41%, list=29%, signal=54%	
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	Details ...	197	-0.28112924	---	---	1.0	0.0	6520	tags=53%, list=33%, signal=78%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE	Details ...	201	-0.35083422	---	---	1.0	0.0	5973	tags=50%, list=30%, signal=70%	
REACTOME_M_PHASE	REACTOME_M_PHASE		383	-0.35426623	---	---	1.0	0.0	6410	tags=56%, list=32%, signal=81%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC		527	-0.34787628	---	---	1.0	0.0	6522	tags=55%, list=33%, signal=80%	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES		358	-0.20330307	---	---	1.0	0.0	6297	tags=48%, list=32%, signal=69%	
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING		212	-0.39808425	---	---	1.0	0.0	7217	tags=61%, list=36%, signal=94%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA		280	-0.393572	---	---	1.0	0.0	7168	tags=61%, list=36%, signal=94%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION		293	-0.5221414	---	---	1.0	0.0	7511	tags=75%, list=38%, signal=119%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION		1307	-0.22543047	---	---	1.0	0.0	4942	tags=37%, list=25%, signal=46%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR		312	-0.22672822	---	---	1.0	0.0	5975	tags=42%, list=30%, signal=59%	
REACTOME_NEDDYLATION	REACTOME_NEDDYLATION		239	-0.40959147	---	---	1.0	0.0	5385	tags=56%, list=27%, signal=75%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA		704	-0.4418104	---	---	1.0	0.0	7627	tags=71%, list=38%, signal=112%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI		763	-0.26572788	---	---	1.0	0.0	6591	tags=52%, list=33%, signal=74%	
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION		184	-0.16142102	---	---	1.0	0.0	5554	tags=38%, list=28%, signal=52%	
REACTOME_SARS_COV_2_INFECTION	REACTOME_SARS_COV_2_INFECTION		280	-0.23795906	---	---	1.0	0.0	6266	tags=54%, list=31%, signal=77%	
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS		193	-0.31858173	---	---	1.0	0.0	4933	tags=49%, list=25%, signal=64%	
