NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.90359956	2.6822138	0.0	0.0	0.0	635	tags=77%, list=3%, signal=79%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.92076755	2.68014	0.0	0.0	0.0	635	tags=85%, list=3%, signal=88%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.89193636	2.656736	0.0	0.0	0.0	635	tags=75%, list=3%, signal=77%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.89476293	2.6552439	0.0	0.0	0.0	635	tags=76%, list=3%, signal=79%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.8791046	2.6440454	0.0	0.0	0.0	635	tags=67%, list=3%, signal=69%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.87690675	2.6417546	0.0	0.0	0.0	921	tags=73%, list=5%, signal=76%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.8609562	2.6313648	0.0	0.0	0.0	1128	tags=63%, list=6%, signal=66%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.8939738	2.6300817	0.0	0.0	0.0	673	tags=71%, list=3%, signal=74%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	85	0.8607205	2.6168196	0.0	0.0	0.0	635	tags=61%, list=3%, signal=63%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.86328745	2.583346	0.0	0.0	0.0	673	tags=61%, list=3%, signal=63%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	0.8385699	2.5644615	0.0	0.0	0.0	635	tags=56%, list=3%, signal=57%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.8361713	2.5462399	0.0	0.0	0.0	1696	tags=65%, list=9%, signal=71%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	115	0.81842023	2.506827	0.0	0.0	0.0	635	tags=45%, list=3%, signal=46%	
