NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	85	-0.55731255	-2.4653955	0.0	0.0	0.0	7654	tags=81%, list=39%, signal=133%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	474	-0.4309994	-2.3136342	0.0	5.2457623E-4	0.001	3851	tags=41%, list=20%, signal=50%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS	Details ...	21	-0.6626626	-2.1703084	0.0	0.00436813	0.012	4897	tags=67%, list=25%, signal=89%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	67	-0.51606166	-2.1400168	0.0	0.00637012	0.022	7167	tags=70%, list=37%, signal=111%	
ARGININE DEGRADATION	ARGININE DEGRADATION	Details ...	22	-0.65343904	-2.128143	0.0	0.0062122084	0.027	4897	tags=64%, list=25%, signal=85%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.5371517	-2.0584638	0.0	0.018458651	0.095	7654	tags=80%, list=39%, signal=131%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	125	-0.43563458	-2.0581076	0.0	0.01597549	0.096	7199	tags=64%, list=37%, signal=101%	
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	Details ...	59	-0.4955489	-2.0273333	0.0	0.023049712	0.153	6006	tags=59%, list=31%, signal=86%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.44324493	-2.0036118	0.0	0.029526882	0.219	7322	tags=66%, list=38%, signal=105%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	54	-0.49901146	-1.9766607	0.0	0.036086146	0.285	6006	tags=59%, list=31%, signal=85%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.47952417	-1.9516429	0.0	0.043652087	0.357	7167	tags=63%, list=37%, signal=100%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	Details ...	58	-0.46996748	-1.9472312	0.0	0.042022496	0.374	6006	tags=57%, list=31%, signal=82%	
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	Details ...	84	-0.42855495	-1.9210092	0.0	0.05211273	0.46	6186	tags=50%, list=32%, signal=73%	
REACTOME_PROTEIN_REPAIR	REACTOME_PROTEIN_REPAIR	Details ...	6	-0.8644721	-1.9103587	0.0	0.05556461	0.496	1394	tags=83%, list=7%, signal=90%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Details ...	18	-0.6091634	-1.9075489	0.0056980057	0.05348455	0.507	6071	tags=67%, list=31%, signal=97%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	Details ...	54	-0.48055932	-1.8922468	0.0	0.060244337	0.573	6006	tags=56%, list=31%, signal=80%	
REACTOME_INTERLEUKIN_1_SIGNALING	REACTOME_INTERLEUKIN_1_SIGNALING	Details ...	113	-0.41346234	-1.8885708	0.0	0.05910744	0.586	5147	tags=43%, list=26%, signal=59%	
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	Details ...	75	-0.43670562	-1.8831987	0.0	0.05947313	0.605	5812	tags=55%, list=30%, signal=78%	
