NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.6993477	2.6354432	0.0	0.0	0.0	3157	tags=60%, list=16%, signal=71%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	71	0.72529054	2.6286306	0.0	0.0	0.0	3323	tags=69%, list=17%, signal=83%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	79	0.7061357	2.5913196	0.0	0.0	0.0	3157	tags=66%, list=16%, signal=78%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	114	0.657011	2.577405	0.0	0.0	0.0	3479	tags=61%, list=18%, signal=74%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.7100675	2.548092	0.0	0.0	0.0	3157	tags=64%, list=16%, signal=76%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.688989	2.5132036	0.0	0.0	0.0	3157	tags=62%, list=16%, signal=74%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.6735936	2.4624488	0.0	0.0	0.0	3157	tags=55%, list=16%, signal=65%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.6888218	2.429934	0.0	0.0	0.0	3157	tags=59%, list=16%, signal=70%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.6571537	2.38477	0.0	0.0	0.0	3157	tags=56%, list=16%, signal=67%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	0.6360879	2.374394	0.0	0.0	0.0	3157	tags=51%, list=16%, signal=60%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.6347593	2.368188	0.0	0.0	0.0	3157	tags=52%, list=16%, signal=62%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.6191435	2.3053725	0.0	0.0	0.0	3157	tags=49%, list=16%, signal=59%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	183	0.5560025	2.2823029	0.0	0.0	0.0	3321	tags=48%, list=17%, signal=57%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	33	0.70753247	2.2307389	0.0	0.0	0.0	1359	tags=42%, list=7%, signal=46%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.5916203	2.2065473	0.0	0.0	0.0	3157	tags=45%, list=16%, signal=54%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	46	0.6488362	2.177533	0.0	0.0	0.0	2373	tags=43%, list=12%, signal=49%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	128	0.55023974	2.1672676	0.0	0.0	0.0	2263	tags=37%, list=12%, signal=41%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	181	0.52708167	2.16603	0.0	0.0	0.0	3244	tags=39%, list=17%, signal=47%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	55	0.6193405	2.1416247	0.0	5.0064184E-5	0.001	3523	tags=55%, list=18%, signal=66%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	34	0.6739255	2.1207004	0.0	9.500225E-5	0.002	2523	tags=56%, list=13%, signal=64%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME		93	0.5519721	2.0794556	0.0	2.7390174E-4	0.006	4152	tags=49%, list=21%, signal=63%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION		116	0.5391174	2.0494702	0.0	5.650337E-4	0.013	3601	tags=43%, list=18%, signal=53%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS		114	0.5336564	2.0459712	0.0	6.2301237E-4	0.015	3949	tags=43%, list=20%, signal=54%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS		143	0.5105433	2.0186944	0.0	0.0011949749	0.03	3601	tags=39%, list=18%, signal=48%	
