NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	44	-0.81891614	-2.5727055	0.0	0.0	0.0	1130	tags=59%, list=6%, signal=62%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	101	-0.6581316	-2.385837	0.0	0.0	0.0	1682	tags=35%, list=8%, signal=38%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	424	-0.5369477	-2.228753	0.0	0.0	0.0	3556	tags=31%, list=17%, signal=37%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	38	-0.67511076	-2.1010978	0.0	9.968019E-4	0.004	4510	tags=61%, list=22%, signal=78%	
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	18	-0.79369074	-2.0968132	0.0	7.974416E-4	0.004	3417	tags=78%, list=17%, signal=93%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	22	-0.7646217	-2.0896592	0.0	8.3238445E-4	0.005	2334	tags=64%, list=11%, signal=72%	
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	Details ...	25	-0.71314865	-2.0465343	0.0	0.0018716004	0.013	715	tags=24%, list=4%, signal=25%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	Details ...	66	-0.59757835	-2.034363	0.0	0.0021389548	0.017	2334	tags=35%, list=11%, signal=39%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	148	-0.534568	-2.0154347	0.0	0.002912072	0.026	3094	tags=41%, list=15%, signal=47%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	659	-0.4734416	-2.0142615	0.0	0.0027190482	0.027	3556	tags=28%, list=17%, signal=33%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	64	-0.6000704	-1.9999583	0.0	0.0028386598	0.031	4530	tags=48%, list=22%, signal=62%	
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	23	-0.71496993	-1.9962023	0.0	0.002771097	0.033	3660	tags=70%, list=18%, signal=85%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	56	-0.60206777	-1.9937779	0.0	0.0027111762	0.035	3660	tags=52%, list=18%, signal=63%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	33	-0.67019194	-1.993161	0.0	0.002517521	0.035	2334	tags=48%, list=11%, signal=55%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	87	-0.5568401	-1.9899391	0.0	0.0024847235	0.037	3660	tags=43%, list=18%, signal=52%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	44	-0.62722564	-1.9734162	0.0	0.0030916203	0.048	4510	tags=52%, list=22%, signal=67%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	75	-0.56086236	-1.9723529	0.0	0.0029691067	0.049	4354	tags=45%, list=21%, signal=57%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	393	-0.4743535	-1.964555	0.0	0.0029718834	0.052	5248	tags=49%, list=26%, signal=65%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	36	-0.6448098	-1.9553086	0.0	0.003450877	0.063	1997	tags=42%, list=10%, signal=46%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	83	-0.5445469	-1.9392695	0.0	0.0046964744	0.086	2563	tags=30%, list=13%, signal=34%	
