NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	999	-0.17492746	---	---	1.0	0.0	4311	tags=27%, list=21%, signal=32%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	954	-0.3455054	---	---	1.0	0.0	5953	tags=48%, list=30%, signal=65%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1356	-0.24100883	---	---	1.0	0.0	4989	tags=34%, list=25%, signal=42%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1312	-0.21880595	---	---	1.0	0.0	5241	tags=33%, list=26%, signal=42%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	231	-0.5976709	-3.0834665	0.0	0.0	0.0	5388	tags=61%, list=27%, signal=83%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	186	-0.6076042	-3.0266666	0.0	0.0	0.0	5287	tags=63%, list=26%, signal=85%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.5598745	-3.00676	0.0	0.0	0.0	6843	tags=74%, list=34%, signal=111%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Details ...	86	-0.65041137	-2.881666	0.0	0.0	0.0	4496	tags=65%, list=22%, signal=84%	
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	Details ...	60	-0.66907585	-2.8430245	0.0	0.0	0.0	4858	tags=77%, list=24%, signal=101%	
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Details ...	69	-0.6551524	-2.82915	0.0	0.0	0.0	4177	tags=67%, list=21%, signal=84%	
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	Details ...	90	-0.63171977	-2.7982285	0.0	0.0	0.0	4496	tags=62%, list=22%, signal=80%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Details ...	53	-0.6909928	-2.784687	0.0	0.0	0.0	3869	tags=72%, list=19%, signal=89%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Details ...	75	-0.6456608	-2.7826474	0.0	0.0	0.0	4177	tags=68%, list=21%, signal=86%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	123	-0.5830794	-2.7790895	0.0	0.0	0.0	5287	tags=59%, list=26%, signal=80%	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Details ...	72	-0.6551924	-2.7779996	0.0	0.0	0.0	4858	tags=67%, list=24%, signal=88%	
