NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	20	0.7413919	2.0321858	0.0	0.0054985173	0.011	2330	tags=50%, list=12%, signal=57%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE	Details ...	24	0.70701104	2.0032213	0.0	0.0070071258	0.027	4789	tags=75%, list=24%, signal=98%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.8163988	1.9930058	0.0	0.0063529606	0.037	1490	tags=54%, list=7%, signal=58%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	24	0.6926686	1.9721057	0.0	0.007625039	0.06	2330	tags=46%, list=12%, signal=52%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	9	0.8718219	1.9614295	0.0	0.0067938804	0.067	1490	tags=78%, list=7%, signal=84%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID	Details ...	7	0.90257	1.9193208	0.0	0.014160084	0.159	1386	tags=86%, list=7%, signal=92%	
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	Details ...	16	0.6909366	1.7961627	0.0	0.095461346	0.74	5196	tags=75%, list=26%, signal=101%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	33	0.5858882	1.7734386	0.0027739252	0.11634784	0.861	1979	tags=45%, list=10%, signal=50%	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	Details ...	79	0.49215463	1.7417018	0.0011933175	0.15873563	0.951	3687	tags=41%, list=18%, signal=49%	
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	Details ...	8	0.7885368	1.7250957	0.004761905	0.17758825	0.976	1856	tags=50%, list=9%, signal=55%	
REACTOME_XENOBIOTICS	REACTOME_XENOBIOTICS	Details ...	20	0.63763	1.7127492	0.0028169013	0.18977083	0.992	4812	tags=55%, list=24%, signal=72%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	8	0.7875864	1.7075688	0.006369427	0.18654168	0.993	1856	tags=50%, list=9%, signal=55%	
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	Details ...	40	0.5341877	1.6815146	0.0	0.23641749	0.999	5085	tags=43%, list=25%, signal=57%	
REACTOME_ADRENOCEPTORS	REACTOME_ADRENOCEPTORS	Details ...	9	0.7594608	1.6784314	0.0065897857	0.22757433	1.0	2882	tags=67%, list=14%, signal=78%	
REACTOME_HEME_SIGNALING	REACTOME_HEME_SIGNALING	Details ...	47	0.51538897	1.6774238	0.0012987013	0.2147406	1.0	4	tags=6%, list=0%, signal=6%	
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	Details ...	6	0.81989205	1.6654339	0.008605852	0.230694	1.0	2122	tags=67%, list=11%, signal=75%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	293	0.41310328	1.6549898	0.0	0.2462112	1.0	4961	tags=41%, list=25%, signal=54%	
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	Details ...	30	0.5585046	1.6547515	0.0056657223	0.23337016	1.0	2882	tags=47%, list=14%, signal=54%	
REACTOME_PROSTANOID_LIGAND_RECEPTORS	REACTOME_PROSTANOID_LIGAND_RECEPTORS	Details ...	9	0.7300528	1.6473662	0.016	0.24050167	1.0	2198	tags=44%, list=11%, signal=50%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.75830334	1.6418823	0.014423077	0.24296813	1.0	1856	tags=50%, list=9%, signal=55%	
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION		17	0.6208545	1.6394882	0.013803681	0.23735577	1.0	5787	tags=59%, list=29%, signal=83%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES		67	0.47417775	1.6311567	0.0037546933	0.2473799	1.0	5362	tags=52%, list=27%, signal=71%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION		21	0.59529614	1.6216891	0.019117648	0.2619631	1.0	2406	tags=33%, list=12%, signal=38%	
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE		8	0.7358365	1.6200407	0.024958402	0.25550836	1.0	2330	tags=50%, list=12%, signal=57%	
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE		9	0.72986287	1.613767	0.021311475	0.26209027	1.0	4874	tags=89%, list=24%, signal=117%	
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS		8	0.74688005	1.6085042	0.018062398	0.26632512	1.0	4996	tags=75%, list=25%, signal=100%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA		69	0.45766097	1.5956165	0.008728179	0.29362676	1.0	2816	tags=22%, list=14%, signal=25%	
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE		57	0.47506028	1.5938494	0.008860759	0.28816372	1.0	5007	tags=47%, list=25%, signal=63%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION		44	0.49106854	1.5894277	0.0066137565	0.29040617	1.0	3891	tags=48%, list=19%, signal=59%	
