NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	66	0.88212943	3.0684536	0.0	0.0	0.0	1052	tags=68%, list=5%, signal=72%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	56	0.9041447	3.0483735	0.0	0.0	0.0	1052	tags=80%, list=5%, signal=85%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	64	0.8739706	3.012197	0.0	0.0	0.0	1194	tags=72%, list=6%, signal=76%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	77	0.85135984	3.003016	0.0	0.0	0.0	1269	tags=62%, list=7%, signal=66%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	82	0.8425696	2.9941275	0.0	0.0	0.0	1156	tags=56%, list=6%, signal=59%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	81	0.8341969	2.9492617	0.0	0.0	0.0	673	tags=54%, list=3%, signal=56%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	88	0.8183124	2.942054	0.0	0.0	0.0	673	tags=49%, list=3%, signal=50%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	64	0.8448259	2.8910654	0.0	0.0	0.0	673	tags=67%, list=3%, signal=69%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	99	0.76517355	2.8771653	0.0	0.0	0.0	1311	tags=53%, list=7%, signal=56%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	81	0.8213228	2.873471	0.0	0.0	0.0	673	tags=53%, list=3%, signal=55%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	72	0.8238772	2.855126	0.0	0.0	0.0	1311	tags=68%, list=7%, signal=73%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	129	0.74954414	2.850304	0.0	0.0	0.0	673	tags=35%, list=3%, signal=36%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	123	0.73837054	2.831533	0.0	0.0	0.0	2016	tags=46%, list=10%, signal=51%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	111	0.7553757	2.8117208	0.0	0.0	0.0	673	tags=40%, list=3%, signal=41%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	64	0.83252263	2.8068078	0.0	0.0	0.0	673	tags=67%, list=3%, signal=69%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	138	0.7139892	2.7476907	0.0	0.0	0.0	673	tags=33%, list=3%, signal=34%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	163	0.6954496	2.7357285	0.0	0.0	0.0	2266	tags=50%, list=12%, signal=56%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	148	0.6882764	2.7061815	0.0	0.0	0.0	1565	tags=37%, list=8%, signal=40%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	159	0.69614017	2.7053225	0.0	0.0	0.0	673	tags=29%, list=3%, signal=30%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	92	0.7304238	2.674416	0.0	0.0	0.0	1052	tags=50%, list=5%, signal=53%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		179	0.6601066	2.6302545	0.0	0.0	0.0	673	tags=25%, list=3%, signal=26%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		206	0.633779	2.5587122	0.0	0.0	0.0	2247	tags=33%, list=12%, signal=37%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		171	0.6178299	2.4572082	0.0	0.0	0.0	2266	tags=41%, list=12%, signal=46%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING		21	0.786977	2.1763923	0.0	4.2508185E-5	0.002	2016	tags=62%, list=10%, signal=69%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS		19	0.78451824	2.1111548	0.0	1.4306828E-4	0.007	903	tags=21%, list=5%, signal=22%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES		32	0.69218516	2.0605397	0.0	4.137402E-4	0.021	2791	tags=53%, list=14%, signal=62%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES		86	0.54108924	1.9376608	0.0	0.0029704464	0.149	2767	tags=30%, list=14%, signal=35%	
REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS		446	0.4467483	1.9299413	0.0	0.0034152812	0.173	1719	tags=15%, list=9%, signal=16%	
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS		13	0.78580004	1.917748	0.0	0.0041987477	0.212	639	tags=38%, list=3%, signal=40%	
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS		11	0.80521303	1.8935624	0.0	0.0061090696	0.304	903	tags=36%, list=5%, signal=38%	
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS		9	0.85208696	1.8899325	0.0	0.006226579	0.314	2042	tags=56%, list=11%, signal=62%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS		56	0.54322433	1.8520837	0.0016129032	0.010809551	0.487	2767	tags=30%, list=14%, signal=35%	
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS		10	0.7917146	1.8237039	0.0	0.016040452	0.653	382	tags=30%, list=2%, signal=31%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM		783	0.39053628	1.7439573	0.0	0.044073127	0.946	2266	tags=18%, list=12%, signal=20%	
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT		27	0.5962144	1.7154603	0.010016695	0.06187343	0.987	4113	tags=41%, list=21%, signal=52%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES		20	0.62529826	1.70818	0.006956522	0.06637386	0.989	1477	tags=35%, list=8%, signal=38%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS		12	0.69656116	1.684789	0.014705882	0.085698344	0.998	3889	tags=58%, list=20%, signal=73%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS		26	0.58146256	1.6823074	0.01724138	0.08633489	0.999	1870	tags=31%, list=10%, signal=34%	
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS		16	0.6491172	1.6746392	0.010869565	0.09178257	1.0	3296	tags=44%, list=17%, signal=53%	
REACTOME_DOPAMINE_RECEPTORS	REACTOME_DOPAMINE_RECEPTORS		4	0.9091252	1.6596242	0.0	0.105641864	1.0	362	tags=75%, list=2%, signal=76%	
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION		7	0.77930576	1.6355478	0.011257036	0.1326243	1.0	3699	tags=71%, list=19%, signal=88%	
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION	REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION		7	0.77601147	1.5975451	0.0149532715	0.18834148	1.0	1965	tags=71%, list=10%, signal=79%	
REACTOME_RET_SIGNALING	REACTOME_RET_SIGNALING		37	0.51580137	1.5940652	0.011804384	0.19034868	1.0	2424	tags=24%, list=13%, signal=28%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		66	0.4614376	1.5824362	0.008090615	0.20751773	1.0	2702	tags=27%, list=14%, signal=32%	
REACTOME_HYDROLYSIS_OF_LPC	REACTOME_HYDROLYSIS_OF_LPC		9	0.71117127	1.5717885	0.037300177	0.22384636	1.0	2438	tags=44%, list=13%, signal=51%	
REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION	REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION		12	0.6515039	1.5713278	0.03468208	0.21979304	1.0	1039	tags=33%, list=5%, signal=35%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION		43	0.49306753	1.5622474	0.014705882	0.23330423	1.0	2523	tags=35%, list=13%, signal=40%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		14	0.6245967	1.544449	0.040350877	0.2658602	1.0	5447	tags=50%, list=28%, signal=70%	
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE		23	0.545201	1.5222664	0.0395189	0.31350285	1.0	4435	tags=39%, list=23%, signal=51%	
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING		27	0.52505016	1.5218244	0.037037037	0.30851287	1.0	1932	tags=22%, list=10%, signal=25%	
REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS	REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS		8	0.70587206	1.5192742	0.05291971	0.30948776	1.0	2984	tags=50%, list=15%, signal=59%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS		602	0.34110644	1.5072	0.0	0.3343934	1.0	2275	tags=17%, list=12%, signal=19%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING		87	0.41604146	1.5024391	0.02017291	0.34089074	1.0	3657	tags=30%, list=19%, signal=37%	
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS	REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS		8	0.69320387	1.4937164	0.05185185	0.35785094	1.0	806	tags=25%, list=4%, signal=26%	
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES		7	0.7252457	1.4888731	0.043560605	0.36444014	1.0	4033	tags=57%, list=21%, signal=72%	
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL		25	0.5303706	1.4835069	0.036777582	0.373166	1.0	3129	tags=32%, list=16%, signal=38%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT		698	0.33574566	1.4828048	0.0	0.3688081	1.0	1855	tags=12%, list=10%, signal=12%	
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE		18	0.54753816	1.4724673	0.051785715	0.3922828	1.0	4435	tags=39%, list=23%, signal=50%	
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION		17	0.5649272	1.4611518	0.061962135	0.41940555	1.0	2760	tags=41%, list=14%, signal=48%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID		6	0.74741465	1.4569213	0.06043956	0.4255677	1.0	978	tags=50%, list=5%, signal=53%	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES		12	0.6040398	1.4549288	0.07692308	0.42446697	1.0	2951	tags=50%, list=15%, signal=59%	
