NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.8819022	3.270855	0.0	0.0	0.0	717	tags=47%, list=3%, signal=48%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.91724735	3.2139578	0.0	0.0	0.0	717	tags=61%, list=3%, signal=63%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	165	0.84660727	3.2103949	0.0	0.0	0.0	784	tags=34%, list=4%, signal=35%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	185	0.8193041	3.1916137	0.0	0.0	0.0	784	tags=29%, list=4%, signal=30%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	135	0.8690256	3.1913176	0.0	0.0	0.0	784	tags=39%, list=4%, signal=40%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	0.90388286	3.191296	0.0	0.0	0.0	717	tags=57%, list=3%, signal=59%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.9124153	3.1887367	0.0	0.0	0.0	717	tags=64%, list=3%, signal=66%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.93222666	3.165599	0.0	0.0	0.0	717	tags=81%, list=3%, signal=84%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.9134607	3.140901	0.0	0.0	0.0	717	tags=65%, list=3%, signal=67%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	0.8476275	3.1388466	0.0	0.0	0.0	717	tags=38%, list=3%, signal=39%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.89977914	3.1310441	0.0	0.0	0.0	717	tags=59%, list=3%, signal=61%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.9390135	3.1242726	0.0	0.0	0.0	717	tags=77%, list=3%, signal=79%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.88169384	3.103801	0.0	0.0	0.0	717	tags=59%, list=3%, signal=61%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	0.885656	3.1010056	0.0	0.0	0.0	717	tags=71%, list=3%, signal=73%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	154	0.816054	3.1009977	0.0	0.0	0.0	717	tags=35%, list=3%, signal=36%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.92669415	3.0851634	0.0	0.0	0.0	717	tags=72%, list=3%, signal=74%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.9436178	3.0831077	0.0	0.0	0.0	717	tags=87%, list=3%, signal=90%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	129	0.8390516	3.0792272	0.0	0.0	0.0	717	tags=42%, list=3%, signal=43%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	104	0.84418213	3.0401416	0.0	0.0	0.0	1512	tags=66%, list=7%, signal=71%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION	Details ...	213	0.7512228	2.9858253	0.0	0.0	0.0	717	tags=27%, list=3%, signal=27%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS		70	0.90466684	2.9831488	0.0	0.0	0.0	717	tags=77%, list=3%, signal=80%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		177	0.76976377	2.9706423	0.0	0.0	0.0	881	tags=34%, list=4%, signal=36%	
