NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	202	-0.85706156	-3.3023245	0.0	0.0	0.0	820	tags=52%, list=4%, signal=54%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	1076	-0.57984555	-2.568521	0.0	0.0	0.0	1756	tags=17%, list=9%, signal=18%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	127	-0.6621288	-2.3975194	0.0	0.0	0.0	1236	tags=31%, list=6%, signal=32%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	33	-0.71704376	-2.0556877	0.0	0.006722808	0.027	1478	tags=33%, list=7%, signal=36%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	13	-0.819269	-1.9600577	0.0	0.032423627	0.151	1698	tags=62%, list=8%, signal=67%	
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	Details ...	37	-0.65490925	-1.9307604	0.002008032	0.046566762	0.247	3820	tags=46%, list=19%, signal=56%	
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM	Details ...	22	-0.7138119	-1.9017037	0.0	0.063160166	0.358	1325	tags=27%, list=6%, signal=29%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.6152949	-1.8833058	0.0018181818	0.07477657	0.45	4224	tags=55%, list=21%, signal=69%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	Details ...	10	-0.842116	-1.8754959	0.002074689	0.07264546	0.478	1816	tags=70%, list=9%, signal=77%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	8	-0.89551175	-1.8604958	0.004338395	0.084394984	0.563	935	tags=63%, list=5%, signal=65%	
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	Details ...	13	-0.78450495	-1.8451308	0.0058252425	0.095577225	0.652	1257	tags=46%, list=6%, signal=49%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	10	-0.84276015	-1.8316133	0.0	0.10680665	0.715	1536	tags=70%, list=8%, signal=76%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES	Details ...	34	-0.61979145	-1.822931	0.0038986355	0.11118317	0.757	1816	tags=32%, list=9%, signal=35%	
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	Details ...	7	-0.90286374	-1.8215673	0.0	0.10559346	0.768	735	tags=43%, list=4%, signal=44%	
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	Details ...	11	-0.8285681	-1.8213402	0.0020283975	0.09909094	0.769	1705	tags=64%, list=8%, signal=69%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	7	-0.87879425	-1.8052927	0.0	0.118952885	0.839	935	tags=57%, list=5%, signal=60%	
REACTOME_LINOLEIC_ACID_LA_METABOLISM	REACTOME_LINOLEIC_ACID_LA_METABOLISM	Details ...	8	-0.8537911	-1.7892972	0.0019762847	0.13946152	0.901	2994	tags=100%, list=15%, signal=117%	
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	Details ...	24	-0.6560843	-1.782726	0.0056710774	0.14545421	0.923	3820	tags=46%, list=19%, signal=56%	
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	Details ...	7	-0.85833776	-1.7732258	0.005988024	0.15509413	0.945	1498	tags=57%, list=7%, signal=62%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	723	-0.4076117	-1.767306	0.0	0.15865873	0.956	4355	tags=31%, list=21%, signal=38%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF		55	-0.5511335	-1.7504199	0.0	0.18858291	0.98	4224	tags=47%, list=21%, signal=59%	
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY		8	-0.81678164	-1.7380103	0.009689922	0.20996723	0.986	1937	tags=38%, list=9%, signal=41%	
