NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	62	0.7231561	2.49348	0.0	0.0	0.0	2375	tags=53%, list=12%, signal=60%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	75	0.6712556	2.4165328	0.0	0.0	0.0	2469	tags=45%, list=12%, signal=51%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	86	0.6464046	2.407297	0.0	0.0	0.0	2499	tags=42%, list=12%, signal=47%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	80	0.6485819	2.3601685	0.0	0.0	0.0	2545	tags=48%, list=12%, signal=54%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	62	0.686757	2.3548975	0.0	0.0	0.0	2375	tags=56%, list=12%, signal=64%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	64	0.663061	2.3173518	0.0	0.0	0.0	2375	tags=52%, list=12%, signal=58%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	34	0.75585186	2.316639	0.0	0.0	0.0	2545	tags=59%, list=12%, signal=67%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	79	0.6411621	2.3112373	0.0	0.0	0.0	2996	tags=52%, list=15%, signal=61%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	54	0.68663603	2.295435	0.0	0.0	0.0	2375	tags=54%, list=12%, signal=61%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	109	0.58940554	2.2735815	0.0	0.0	0.0	2375	tags=33%, list=12%, signal=37%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	160	0.5697373	2.2534482	0.0	0.0	0.0	3079	tags=47%, list=15%, signal=55%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	23	0.78461987	2.2373443	0.0	0.0	0.0	2234	tags=65%, list=11%, signal=73%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	64	0.6377	2.2169127	0.0	0.0	0.0	2375	tags=48%, list=12%, signal=55%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	72	0.6198902	2.20289	0.0	0.0	0.0	2375	tags=47%, list=12%, signal=53%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	127	0.5526888	2.1365452	0.0	1.2939684E-4	0.002	2996	tags=30%, list=15%, signal=35%	
